bank_id,destination,section,stage,exact_target,mastery_goal,evidence_job,response_type,representation,estimated_time_sec
U1-S12-ETA-001,Exit Ticket A,1.2,Intro,"I can formulate a rule that connects inputs to outputs in a table, graph, equation, or context.",,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S12-ETA-002,Exit Ticket A,1.2,Intro,I can apply an input-output rule to generate missing values and ordered pairs.,,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S12-ETA-003,Exit Ticket A,1.2,Intro,I can assess whether a rule gives one output for each input in a situation.,,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S12-ETA-004,Exit Ticket A,1.2,Intro,I can apply an input-output rule to generate missing values and ordered pairs.,,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S12-ETB-001,Exit Ticket B,1.2,Review,"Identify patterns and represent relationships using input-output rules, tables, words, and symbols.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S12-ETB-002,Exit Ticket B,1.2,Review,"Identify patterns and represent relationships using input-output rules, tables, words, and symbols.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S12-ETB-003,Exit Ticket B,1.2,Review,"Identify patterns and represent relationships using input-output rules, tables, words, and symbols.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S12-ETB-004,Exit Ticket B,1.2,Review,"Identify patterns and represent relationships using input-output rules, tables, words, and symbols.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S12-ETC-001,Exit Ticket C,1.2,Mastery,Evaluate numerical and algebraic expressions correctly using substitution and order of operations.,U1-MG01,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S12-ETC-002,Exit Ticket C,1.2,Mastery,Evaluate numerical and algebraic expressions correctly using substitution and order of operations.,U1-MG01,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S12-ETC-003,Exit Ticket C,1.2,Mastery,Evaluate numerical and algebraic expressions correctly using substitution and order of operations.,U1-MG01,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S12-ETC-004,Exit Ticket C,1.2,Mastery,Evaluate numerical and algebraic expressions correctly using substitution and order of operations.,U1-MG01,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S13-ETA-001,Exit Ticket A,1.3,Intro,"I can critique a proposed function family choice using evidence from rate of change, shape, or equation structure.",,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S13-ETA-002,Exit Ticket A,1.3,Intro,"I can extend patterns in tables, graphs, equations, and contexts to work with common function families.",,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S13-ETA-003,Exit Ticket A,1.3,Intro,"I can critique a proposed function family choice using evidence from rate of change, shape, or equation structure.",,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S13-ETA-004,Exit Ticket A,1.3,Intro,"I can design examples of linear, quadratic, exponential, and absolute value relationships using more than one representation.",,Independent Intro evidence for designing and connecting multiple representations of a common function family.,constructed response,Graph + Equation + Table,105
U1-S13-ETB-001,Exit Ticket B,1.3,Review,"Recognize constant rate of change in tables, graphs, visual patterns, and situations.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S13-ETB-002,Exit Ticket B,1.3,Review,"Recognize constant rate of change in tables, graphs, visual patterns, and situations.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S13-ETB-003,Exit Ticket B,1.3,Review,"Recognize constant rate of change in tables, graphs, visual patterns, and situations.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S13-ETB-004,Exit Ticket B,1.3,Review,"Recognize constant rate of change in tables, graphs, visual patterns, and situations.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S13-ETC-001,Exit Ticket C,1.3,Mastery,"Accurately perform operations with integers, fractions, and decimals while interpreting results in mathematical and contextual situations.",U1-MG01,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S13-ETC-002,Exit Ticket C,1.3,Mastery,"Accurately perform operations with integers, fractions, and decimals while interpreting results in mathematical and contextual situations.",U1-MG01,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S13-ETC-003,Exit Ticket C,1.3,Mastery,"Accurately perform operations with integers, fractions, and decimals while interpreting results in mathematical and contextual situations.",U1-MG01,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S13-ETC-004,Exit Ticket C,1.3,Mastery,"Accurately perform operations with integers, fractions, and decimals while interpreting results in mathematical and contextual situations.",U1-MG01,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S14-ETA-001,Exit Ticket A,1.4,Intro,"I can build equivalent expressions by using structure, grouping, and properties of operations.",,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S14-ETA-002,Exit Ticket A,1.4,Intro,I can apply rewriting strategies to make the meaning of an expression easier to work with.,,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S14-ETA-003,Exit Ticket A,1.4,Intro,"I can determine whether two expressions are equivalent by using structure, substitution, or properties.",,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S14-ETA-004,Exit Ticket A,1.4,Intro,I can apply rewriting strategies to make the meaning of an expression easier to work with.,,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S14-ETB-001,Exit Ticket B,1.4,Review,"Compare relationships using equations, graphs, tables, visual patterns, and contexts, then justify conclusions.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S14-ETB-002,Exit Ticket B,1.4,Review,"Compare relationships using equations, graphs, tables, visual patterns, and contexts, then justify conclusions.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S14-ETB-003,Exit Ticket B,1.4,Review,"Compare relationships using equations, graphs, tables, visual patterns, and contexts, then justify conclusions.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S14-ETB-004,Exit Ticket B,1.4,Review,"Compare relationships using equations, graphs, tables, visual patterns, and contexts, then justify conclusions.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S14-ETC-001,Exit Ticket C,1.4,Mastery,Analyze and rewrite algebraic expressions using properties of operations and algebraic structure.,U1-MG02,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S14-ETC-002,Exit Ticket C,1.4,Mastery,Analyze and rewrite algebraic expressions using properties of operations and algebraic structure.,U1-MG02,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S14-ETC-003,Exit Ticket C,1.4,Mastery,Analyze and rewrite algebraic expressions using properties of operations and algebraic structure.,U1-MG02,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S14-ETC-004,Exit Ticket C,1.4,Mastery,Analyze and rewrite algebraic expressions using properties of operations and algebraic structure.,U1-MG02,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S15-ETA-001,Exit Ticket A,1.5,Intro,I can construct an equation that models a situation using meaningful quantities and operations.,,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S15-ETA-002,Exit Ticket A,1.5,Intro,I can use solution steps to solve an equation and connect the result to the situation.,,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S15-ETA-003,Exit Ticket A,1.5,Intro,I can predict whether a solution is reasonable by interpreting it in the original context.,,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S15-ETA-004,Exit Ticket A,1.5,Intro,I can construct an equation that models a situation using meaningful quantities and operations.,,Intro-focused quick evidence on current section learning.,constructed response,Current-section representation,75
U1-S15-ETB-001,Exit Ticket B,1.5,Review,"Represent linear relationships using tables, graphs, equations, and contextual descriptions.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S15-ETB-002,Exit Ticket B,1.5,Review,"Represent linear relationships using tables, graphs, equations, and contextual descriptions.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S15-ETB-003,Exit Ticket B,1.5,Review,"Represent linear relationships using tables, graphs, equations, and contextual descriptions.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S15-ETB-004,Exit Ticket B,1.5,Review,"Represent linear relationships using tables, graphs, equations, and contextual descriptions.",,Review-focused evidence pulse.,constructed response,Review representation,75
U1-S15-ETC-001,Exit Ticket C,1.5,Mastery,Solve one-variable equations and interpret solutions within mathematical and contextual situations.,U1-MG03,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S15-ETC-002,Exit Ticket C,1.5,Mastery,Solve one-variable equations and interpret solutions within mathematical and contextual situations.,U1-MG03,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S15-ETC-003,Exit Ticket C,1.5,Mastery,Solve one-variable equations and interpret solutions within mathematical and contextual situations.,U1-MG03,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-S15-ETC-004,Exit Ticket C,1.5,Mastery,Solve one-variable equations and interpret solutions within mathematical and contextual situations.,U1-MG03,Mastery/portfolio-focused evidence; mapped to the actual Mastery Goal.,constructed response,Mastery representation,85
U1-SUM-V1-Q01,Secure Summative V1,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Numerical expression,150
U1-SUM-V1-Q02,Secure Summative V1,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Fraction expression,180
U1-SUM-V1-Q03,Secure Summative V1,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Algebraic expression,180
U1-SUM-V1-Q04,Secure Summative V1,Summative,Summative,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",U1-MG02,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Expression,210
U1-SUM-V1-Q05,Secure Summative V1,Summative,Summative,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",U1-MG02,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Expression,210
U1-SUM-V1-Q06,Secure Summative V1,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Equation,210
U1-SUM-V1-Q07,Secure Summative V1,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Context + Equation,270
U1-SUM-V1-Q08,Secure Summative V1,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Equation + Number line,240
U1-SUM-V1-Q09,Secure Summative V1,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Context + Inequality,240
U1-SUM-V1-Q10,Secure Summative V1,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Equation + Check,240
U1-SUM-V2-Q01,Secure Summative V2,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Equation,210
U1-SUM-V2-Q02,Secure Summative V2,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Numerical expression,150
U1-SUM-V2-Q03,Secure Summative V2,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Equation + Number line,240
U1-SUM-V2-Q04,Secure Summative V2,Summative,Summative,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",U1-MG02,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Expression,210
U1-SUM-V2-Q05,Secure Summative V2,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Fraction expression,180
U1-SUM-V2-Q06,Secure Summative V2,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Context + Inequality,240
U1-SUM-V2-Q07,Secure Summative V2,Summative,Summative,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",U1-MG02,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Expression,210
U1-SUM-V2-Q08,Secure Summative V2,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Algebraic expression,180
U1-SUM-V2-Q09,Secure Summative V2,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Equation + Check,240
U1-SUM-V2-Q10,Secure Summative V2,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Context + Equation,270
U1-SUM-V3-Q01,Secure Summative V3,Summative,Summative,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",U1-MG02,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Expression,210
U1-SUM-V3-Q02,Secure Summative V3,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Context + Equation,270
U1-SUM-V3-Q03,Secure Summative V3,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Fraction expression,180
U1-SUM-V3-Q04,Secure Summative V3,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Context + Inequality,240
U1-SUM-V3-Q05,Secure Summative V3,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Equation,210
U1-SUM-V3-Q06,Secure Summative V3,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Numerical expression,150
U1-SUM-V3-Q07,Secure Summative V3,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Equation + Check,240
U1-SUM-V3-Q08,Secure Summative V3,Summative,Summative,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",U1-MG02,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Expression,210
U1-SUM-V3-Q09,Secure Summative V3,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Equation + Number line,240
U1-SUM-V3-Q10,Secure Summative V3,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Algebraic expression,180
U1-SUM-V4-Q01,Secure Summative V4,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Context + Inequality,240
U1-SUM-V4-Q02,Secure Summative V4,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Algebraic expression,180
U1-SUM-V4-Q03,Secure Summative V4,Summative,Summative,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",U1-MG02,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Expression,210
U1-SUM-V4-Q04,Secure Summative V4,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Numerical expression,150
U1-SUM-V4-Q05,Secure Summative V4,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Context + Equation,270
U1-SUM-V4-Q06,Secure Summative V4,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Equation + Check,240
U1-SUM-V4-Q07,Secure Summative V4,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Fraction expression,180
U1-SUM-V4-Q08,Secure Summative V4,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Equation,210
U1-SUM-V4-Q09,Secure Summative V4,Summative,Summative,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",U1-MG02,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Expression,210
U1-SUM-V4-Q10,Secure Summative V4,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure independent evidence for the mapped Unit Mastery Goal.,constructed response,Equation + Number line,240
U1-SUM-V5-Q01,Secure Summative V5,Summative,Summative,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",U1-MG02,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Context + Expression,240
U1-SUM-V5-Q02,Secure Summative V5,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Number line + Inequality,210
U1-SUM-V5-Q03,Secure Summative V5,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Number line + Integer operation,210
U1-SUM-V5-Q04,Secure Summative V5,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Context + Equation,240
U1-SUM-V5-Q05,Secure Summative V5,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Table + Expression,210
U1-SUM-V5-Q06,Secure Summative V5,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Inequality,210
U1-SUM-V5-Q07,Secure Summative V5,Summative,Summative,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",U1-MG02,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Expression + Error analysis,210
U1-SUM-V5-Q08,Secure Summative V5,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Context + Equation,270
U1-SUM-V5-Q09,Secure Summative V5,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Equation + Error analysis,240
U1-SUM-V5-Q10,Secure Summative V5,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Context + Inequality,300
U1-SUM-V6-Q01,Secure Summative V6,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Context + Equation,270
U1-SUM-V6-Q02,Secure Summative V6,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Table + Expression,210
U1-SUM-V6-Q03,Secure Summative V6,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Equation + Error analysis,240
U1-SUM-V6-Q04,Secure Summative V6,Summative,Summative,"Compute with rational numbers and evaluate numerical or algebraic expressions accurately, using order of operations and substitution while checking reasonableness.",U1-MG01,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Number line + Integer operation,210
U1-SUM-V6-Q05,Secure Summative V6,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Inequality,210
U1-SUM-V6-Q06,Secure Summative V6,Summative,Summative,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",U1-MG02,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Context + Expression,240
U1-SUM-V6-Q07,Secure Summative V6,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Context + Inequality,300
U1-SUM-V6-Q08,Secure Summative V6,Summative,Summative,"Rewrite algebraic expressions into equivalent forms by using properties, structure, terms, factors, and the distributive property.",U1-MG02,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Expression + Error analysis,210
U1-SUM-V6-Q09,Secure Summative V6,Summative,Summative,"Solve one-variable inequalities, represent solution sets on number lines, and interpret boundaries and constraints.",U1-MG04,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Number line + Inequality,210
U1-SUM-V6-Q10,Secure Summative V6,Summative,Summative,Solve one-variable equations with equivalent transformations and verify and interpret solutions.,U1-MG03,Secure alternate-form evidence for the mapped Unit Mastery Goal.,constructed response,Context + Equation,240
