bank_id,section,destination,priority_phase,issue_category,issue_severity,original_status,repair_action,student_prompt_changed,answer_changed,figure_or_table_changed,metadata_changed,original_prompt_hash,final_prompt_hash,validation_method,final_status,notes
U1-S5-NOTE-EX01,1.5,Notes Example,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,68f08452f5bf9f8220eae0f95d09878c5c5256e133869b287aeaaffaefee54f8,68f08452f5bf9f8220eae0f95d09878c5c5256e133869b287aeaaffaefee54f8,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S5-NOTE-YTI01,1.5,Notes You Try It,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,f8fbd56eb2515813013876a13e7085f8585863cdd5d68ea904b7738e004c2323,f8fbd56eb2515813013876a13e7085f8585863cdd5d68ea904b7738e004c2323,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S5-NOTE-EX02,1.5,Notes Example,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,dcd002b4ab43bb6fb08f661f8624bd3b020327c072915dccea0cf76abe0e8ccf,dcd002b4ab43bb6fb08f661f8624bd3b020327c072915dccea0cf76abe0e8ccf,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S5-NOTE-YTI02,1.5,Notes You Try It,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,9987eaf017e8988cf8e4124b0063bc385ff97fbf4e2ecaee4d99dbefafdb51b4,9987eaf017e8988cf8e4124b0063bc385ff97fbf4e2ecaee4d99dbefafdb51b4,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S5-NOTE-EX03,1.5,Notes Example,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,e68aa57799016663330d1135a13b7d25e3f86fcacb4354427c9cbe7ac3005e48,e68aa57799016663330d1135a13b7d25e3f86fcacb4354427c9cbe7ac3005e48,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S5-NOTE-YTI03,1.5,Notes You Try It,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,c3c726fbd984dc95a525237aa9cbb9a54e16179f10ea1b7836b45cfe7c09ab2c,c3c726fbd984dc95a525237aa9cbb9a54e16179f10ea1b7836b45cfe7c09ab2c,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S5-NOTE-EX04,1.5,Notes Example,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,6b6de536d826ceb20573f81d11d2912ac40c6dca553c1649ffabab1fcd414f1d,6b6de536d826ceb20573f81d11d2912ac40c6dca553c1649ffabab1fcd414f1d,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-S5-NOTE-YTI04,1.5,Notes You Try It,8,package_structure,BLOCKER,REPAIR,Rebuilt the affected WTC/Notes HTML region from synchronized canonical bank_data; canonical content preserved.,false,false,false,false,1d6101e96afdf1f85ec302898468a7014a9eb7dd3fb48107008b86e18634dd58,1d6101e96afdf1f85ec302898468a7014a9eb7dd3fb48107008b86e18634dd58,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered article/presentation only; no student prompt change.
U1-EXT10,,Extended Reasoning,8,package_structure,BLOCKER,REPAIR,Rebuilt the corrupted teacher-key article from synchronized canonical bank_data; canonical student content and stable Bank ID preserved.,false,false,false,false,7fd06ca5ca8c65d3f67b13f9ac0ad0825aa9f004c05383f73d326de3ec5e80ba,7fd06ca5ca8c65d3f67b13f9ac0ad0825aa9f004c05383f73d326de3ec5e80ba,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered teacher-key presentation/MathJax structure only; no student prompt change.
U1-SUM-V5-Q09,,Summative V5,8,package_structure,BLOCKER,REPAIR,Rebuilt the corrupted teacher-key article from synchronized canonical bank_data; canonical student content and stable Bank ID preserved.,false,false,false,false,2aa498a2a2267ddfdf1c72a98a53eb1d3a1c0f76bf03448b46eb5a8d85d6863f,2aa498a2a2267ddfdf1c72a98a53eb1d3a1c0f76bf03448b46eb5a8d85d6863f,Framework deterministic audit; article/ID reconstruction; final HTML/bank_data consistency check,PASS,Recovered teacher-key presentation/MathJax structure only; no student prompt change.
U1-S3-NOTE-YTI01,1.3,Notes You Try It,2,malformed_expression_and_incomplete_key,BLOCKER,REPAIR,Corrected malformed exponential TeX and supplied item-specific clues for all four classifications.,true,true,false,false,d13e84d62ebf51eb33a13098ad98f622fb7a683b78564adde75c03e9f6736af7,6e396a6bc08fd8a32d847878ac69c6e2f575c3bacdac5255c51ae2722fdb8993,Independent expression/representation check; Notes pair review,PASS,
U1-S3-XP-R04,1.3,Extra Practice,3,approximate_answer_without_rounding_instruction,MAJOR,REPAIR,Changed to an exact unit-rate context and added explicit computation in the solution.,true,true,false,false,a32aa0042dc00fbdb1833270c582dc8b7e2c7cca3dbbaf864157f21dfda998fd,cc29e5a7c33c7646855a2243a7885b29458603e948bd59e7927a0490ae964aa9,Independent arithmetic check,PASS,
U1-S4-ET-A-M01,1.4,Exit Ticket A,5,formative_security_semantic_near_duplicate,MAJOR,REPLACE,Re-architected the formative-secure evidence task while preserving its Mastery Goal/evidence point and stable Bank ID.,true,true,false,true,3cea5f8bf87b030d32d08e2ab941005ace8def4563289cb2103848cb043deee8,60c45a1601340955173fafc2ac2cf0f1a5050f98dcb2a73759f7ee7da9778d77,"Semantic security comparison across structure, representation, reasoning action, values/context, and response type",PASS,
U1-S4-ET-A-M02,1.4,Exit Ticket A,5,formative_security_semantic_near_duplicate,MAJOR,REPLACE,Re-architected the formative-secure evidence task while preserving its Mastery Goal/evidence point and stable Bank ID.,true,true,false,true,8cf8b178dc269989af1f202f68e28fab7d63a120090fdc8d0043c967bd0ebe09,7b3ad0d87f72b71129deafd83ddd52a9f86c348375354017387581c38213ec8f,"Semantic security comparison across structure, representation, reasoning action, values/context, and response type",PASS,
U1-S5-ET-A-M01,1.5,Exit Ticket A,5,formative_security_semantic_near_duplicate,MAJOR,REPLACE,Re-architected the formative-secure evidence task while preserving its Mastery Goal/evidence point and stable Bank ID.,true,true,false,true,dd0722a99f96a86b7a5e62ea824bc228144acdaae82cad928e51012f6d2e944a,3b276844ce63138463386c9ec0309bb6934529d8328fcdcca1a4e5d8ced50ad7,"Semantic security comparison across structure, representation, reasoning action, values/context, and response type",PASS,
U1-S5-PS1-I08,1.5,Practice Set 1,3,impossible_discrete_context_family,MAJOR,REPLACE,Replaced generated values/context with whole-number discrete-count models while preserving the Practice family and Bank ID.,true,true,false,true,d26e95851e8b9e3aa363eb6fa35f7ec0a190bdbb8d785b15d5ddf2b8e277a79b,0bfdf51c1f6fbc3747a0b10105aae318a35a639fcb1b86bcfa0704b101ff5ef4,Independent equation solution and context-feasibility check; family-level review,PASS,Systemic repair across U1-S5-PF08.
U1-S5-PS1-M05,1.5,Practice Set 1,3,selected_response_no_exact_solution_family,BLOCKER,REPLACE,Replaced rounded-approximation answer choices with exact integer-solution variants and item-specific distractors.,true,true,false,false,fb696bf0139bd61fb40daa3b7d488f83463c402e41f39e23c412c1806da949d0,f270c3e881f127de94753b284805b20beef8203cc75b32e75ef1bc666e3b8a8b,Independent equation solve; one-best-answer choice audit; family-level review,PASS,Systemic repair across U1-S5-PF18.
U1-S5-PS1-M07,1.5,Practice Set 1,3,fractional_discrete_context_and_generic_context_family,MAJOR,REPLACE,Replaced generic service/session templates with natural contexts and whole-number counts.,true,true,false,false,f6f7225863b6f3371e6f07f023d767e740653e368b191d8ac150468426dde6b8,4a992a3e17173bad49b5cafa524d6734e7147c1ef7f4fd949660b301f6ebbf85,Independent equation solution and context-feasibility check; family-level review,PASS,Systemic repair across U1-S5-PF20.
U1-S5-PS2-I08,1.5,Practice Set 2,3,impossible_discrete_context_family,MAJOR,REPLACE,Replaced generated values/context with whole-number discrete-count models while preserving the Practice family and Bank ID.,true,true,false,true,a8b4b0bae966ee761ad14589ba3df6004c6ec169372da6a7e59f6cc0c973e360,83f9a2e7b4e013ca714999240bd105e3bf17e4b7853662187460d51910140eec,Independent equation solution and context-feasibility check; family-level review,PASS,Systemic repair across U1-S5-PF08.
U1-S5-PS2-M03,1.5,Practice Set 2,3,selected_response_no_exact_solution_family,BLOCKER,REPLACE,Replaced rounded-approximation answer choices with exact integer-solution variants and item-specific distractors.,true,true,false,false,f9f9d2448848efec27d4de920e5c3fcb4b94f08f0a5f4e5ab6f2972d6fbdcc37,ee668f645d00ba2b54326e5e9dfa558d6c73552c29abf8f39a116f88df955bbb,Independent equation solve; one-best-answer choice audit; family-level review,PASS,Systemic repair across U1-S5-PF18.
U1-S5-PS2-M05,1.5,Practice Set 2,3,fractional_discrete_context_and_generic_context_family,MAJOR,REPLACE,Replaced generic service/session templates with natural contexts and whole-number counts.,true,true,false,false,fdef155a3bc6428e6e75ce79834cf0c5563bc83f7d72562f2a31814bd977a7b3,31db1ad5918eb5fdec48f571050c00cbc887b321ffafaa98048bdb6403ca4b72,Independent equation solution and context-feasibility check; family-level review,PASS,Systemic repair across U1-S5-PF20.
U1-S5-PS3-I08,1.5,Practice Set 3,3,impossible_discrete_context_family,MAJOR,REPLACE,Replaced generated values/context with whole-number discrete-count models while preserving the Practice family and Bank ID.,true,true,false,true,cd40aa24370778deac0afa6d46314634015a4018d6b845bcced516dbb35dc47e,98be0e5e7cb1f9d498cc607d962d89cb8fac649778e470edca53fa6b885f9791,Independent equation solution and context-feasibility check; family-level review,PASS,Systemic repair across U1-S5-PF08.
U1-S5-PS3-M05,1.5,Practice Set 3,3,selected_response_no_exact_solution_family,BLOCKER,REPLACE,Replaced rounded-approximation answer choices with exact integer-solution variants and item-specific distractors.,true,true,false,false,ecedbd956f4544eedc3128d62edfb5d3a954f492d04428c8283fa51175ae0a24,d5234a96b262e373db1ab7078b20627e2e5eae9f5f6af0bf2184cc0b50874b30,Independent equation solve; one-best-answer choice audit; family-level review,PASS,Systemic repair across U1-S5-PF18.
U1-S5-PS3-M07,1.5,Practice Set 3,3,fractional_discrete_context_and_generic_context_family,MAJOR,REPLACE,Replaced generic service/session templates with natural contexts and whole-number counts.,true,true,false,false,a68fcf9aa36444533871616c6bee1e93a236bef35727b51e6a44a370844003e0,c04595484e766d8d03f22248e64e2944d6ad88de63ecc22df4d71bfe8ca67c2d,Independent equation solution and context-feasibility check; family-level review,PASS,Systemic repair across U1-S5-PF20.
U1-S5-XP-I03,1.5,Extra Practice,3,impossible_discrete_context_family,MAJOR,REPLACE,Replaced generated values/context with whole-number discrete-count models while preserving the Practice family and Bank ID.,true,true,false,true,790cd4a1aa0fdaf2409a94548342398fcf8a0d62ae973ad75a05fad07eb2a76d,3b5dfaefbcfbdaf8b1a0c6168e54a92b046ad5a4826d86e05311d773428aca6f,Independent equation solution and context-feasibility check; family-level review,PASS,Systemic repair across U1-S5-PF08.
U1-S5-XP-M05,1.5,Extra Practice,3,selected_response_no_exact_solution_family,BLOCKER,REPLACE,Replaced rounded-approximation answer choices with exact integer-solution variants and item-specific distractors.,true,true,false,false,813558ae2947c91a8cb30b80ece39d7547324fa1f6d5e9f2c87ae0aea61f7824,23da3a0cd716f9f3d0edf924e242dea4c6e0563eeeac4bdb2b5be1bb76c2a06d,Independent equation solve; one-best-answer choice audit; family-level review,PASS,Systemic repair across U1-S5-PF18.
U1-S5-XP-M07,1.5,Extra Practice,3,fractional_discrete_context_and_generic_context_family,MAJOR,REPLACE,Replaced generic service/session templates with natural contexts and whole-number counts.,true,true,false,false,7885d97cf66bcfb60639e83872a14bb84b63c4a83f83194956c228c5e2ae803c,9927672309af7ef1c2c014a403f1192d17803cd0fda83462c4560f81c2ce568e,Independent equation solution and context-feasibility check; family-level review,PASS,Systemic repair across U1-S5-PF20.
U1-SUM-V2-Q11,,Summative V2,7,nonexact_key_for_exact_response_prompt,BLOCKER,REPAIR,Repaired the secure key to an exact fraction and explicit benchmark check.,false,true,false,false,c16abf5dbf38aea3890b8275c1c66406808debe64aa2fa7348cf9984abb09bce,c16abf5dbf38aea3890b8275c1c66406808debe64aa2fa7348cf9984abb09bce,Independent fraction/decimal computation,PASS,
U1-SUM-V4-Q10,,Summative V4,7,wrong_reasonableness_conclusion_and_nonexact_key,BLOCKER,REPAIR,Corrected the exact value and the contradictory reasonableness conclusion.,false,true,false,false,2756c1d31b9950a2aed0ebb1ebade8b834019bcc50b8fef89c86c91dfd2613e4,2756c1d31b9950a2aed0ebb1ebade8b834019bcc50b8fef89c86c91dfd2613e4,Independent fraction/decimal computation and benchmark check,PASS,
