bank_id,destination,section,exact_i_can,stage,evidence_job,mastery_goal,representation,security,summative_version
U7_S1_EXIT_TICKET_C_03,Exit Ticket C,1,Recognize and factor special polynomial patterns.,Mastery,Portfolio evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,instructional,
U7_S1_EXIT_TICKET_C_04,Exit Ticket C,1,Recognize and factor special polynomial patterns.,Mastery,Portfolio evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,instructional,
U7_S2_EXIT_TICKET_A_01,Exit Ticket A,2,I can formulate exponential equations that represent repeated percent increase or decrease.,Intro,Quick evidence for current Unit 7 section 2 Intro learning.,,Context + Equation,instructional,
U7_S2_EXIT_TICKET_A_02,Exit Ticket A,2,"I can use exponential equations to predict values from tables, graphs, and situations.",Intro,Quick evidence for current Unit 7 section 2 Intro learning.,,Context + Equation,instructional,
U7_S2_EXIT_TICKET_A_03,Exit Ticket A,2,I can build exponential equations using an initial value and a growth or decay factor.,Intro,Quick evidence for current Unit 7 section 2 Intro learning.,,Graph + Equation,instructional,
U7_S2_EXIT_TICKET_A_04,Exit Ticket A,2,I can build exponential equations using an initial value and a growth or decay factor.,Intro,Quick evidence for current Unit 7 section 2 Intro learning.,,Table + Equation,instructional,
U7_S2_EXIT_TICKET_B_01,Exit Ticket B,2,Solve quadratic equations using factored form and interpret solutions.,Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 2.,,Equation,instructional,
U7_S2_EXIT_TICKET_B_02,Exit Ticket B,2,Solve quadratic equations using factored form and interpret solutions.,Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 2.,,Context + Equation,instructional,
U7_S2_EXIT_TICKET_B_03,Exit Ticket B,2,Solve quadratic equations using factored form and interpret solutions.,Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 2.,,Equation,instructional,
U7_S2_EXIT_TICKET_B_04,Exit Ticket B,2,Solve quadratic equations using factored form and interpret solutions.,Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 2.,,Equation,instructional,
U7_S2_EXIT_TICKET_C_01,Exit Ticket C,2,Identify common factors and use structure to rewrite polynomial expressions.,Mastery,Portfolio evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Equation,instructional,
U7_S2_EXIT_TICKET_C_02,Exit Ticket C,2,Identify common factors and use structure to rewrite polynomial expressions.,Mastery,Portfolio evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Equation,instructional,
U7_S2_EXIT_TICKET_C_03,Exit Ticket C,2,Identify common factors and use structure to rewrite polynomial expressions.,Mastery,Portfolio evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Equation,instructional,
U7_S2_EXIT_TICKET_C_04,Exit Ticket C,2,Identify common factors and use structure to rewrite polynomial expressions.,Mastery,Portfolio evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Equation,instructional,
U7_S3_EXIT_TICKET_A_01,Exit Ticket A,3,"I can design graphs of exponential functions using key points, growth or decay factors, and asymptote behavior.",Intro,Quick evidence for current Unit 7 section 3 Intro learning.,,Equation + Graph,instructional,
U7_S3_EXIT_TICKET_A_02,Exit Ticket A,3,"I can apply key features of exponential graphs to interpret domain, range, intercepts, and end behavior.",Intro,Quick evidence for current Unit 7 section 3 Intro learning.,,Equation,instructional,
U7_S3_EXIT_TICKET_A_03,Exit Ticket A,3,"I can design graphs of exponential functions using key points, growth or decay factors, and asymptote behavior.",Intro,Quick evidence for current Unit 7 section 3 Intro learning.,,Graph,instructional,
U7_S3_EXIT_TICKET_A_04,Exit Ticket A,3,I can assess whether a graph is reasonable for an exponential equation or situation.,Intro,Quick evidence for current Unit 7 section 3 Intro learning.,,Graph + Equation,instructional,
U7_S3_EXIT_TICKET_B_01,Exit Ticket B,3,Solve quadratic equations by completing the square and connect the process to vertex form.,Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 3.,,Equation,instructional,
U7_S3_EXIT_TICKET_B_02,Exit Ticket B,3,Solve quadratic equations by completing the square and connect the process to vertex form.,Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 3.,,Equation,instructional,
U7_S3_EXIT_TICKET_B_03,Exit Ticket B,3,Solve quadratic equations by completing the square and connect the process to vertex form.,Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 3.,,Equation,instructional,
U7_S3_EXIT_TICKET_B_04,Exit Ticket B,3,Solve quadratic equations by completing the square and connect the process to vertex form.,Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 3.,,Equation,instructional,
U7_S3_EXIT_TICKET_C_01,Exit Ticket C,3,"Connect factors, zeros, intercepts, and graphs of quadratic functions.",Mastery,"Portfolio evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Equation,instructional,
U7_S3_EXIT_TICKET_C_02,Exit Ticket C,3,"Connect factors, zeros, intercepts, and graphs of quadratic functions.",Mastery,"Portfolio evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Equation,instructional,
U7_S3_EXIT_TICKET_C_03,Exit Ticket C,3,"Connect factors, zeros, intercepts, and graphs of quadratic functions.",Mastery,"Portfolio evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Graph + Equation,instructional,
U7_S3_EXIT_TICKET_C_04,Exit Ticket C,3,"Connect factors, zeros, intercepts, and graphs of quadratic functions.",Mastery,"Portfolio evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Equation,instructional,
U7_S4_EXIT_TICKET_A_01,Exit Ticket A,4,"I can formulate comparisons among linear, quadratic, and exponential functions using rates, differences, ratios, and graph features.",Intro,Quick evidence for current Unit 7 section 4 Intro learning.,,Equation,instructional,
U7_S4_EXIT_TICKET_A_02,Exit Ticket A,4,I can critique claims about function families using evidence from multiple representations.,Intro,Quick evidence for current Unit 7 section 4 Intro learning.,,Equation + Table,instructional,
U7_S4_EXIT_TICKET_A_03,Exit Ticket A,4,"I can formulate comparisons among linear, quadratic, and exponential functions using rates, differences, ratios, and graph features.",Intro,Quick evidence for current Unit 7 section 4 Intro learning.,,Equation + Table,instructional,
U7_S4_EXIT_TICKET_A_04,Exit Ticket A,4,"I can use tables, graphs, equations, and situations to distinguish additive, quadratic, and multiplicative patterns.",Intro,Quick evidence for current Unit 7 section 4 Intro learning.,,Table,instructional,
U7_S4_EXIT_TICKET_B_01,Exit Ticket B,4,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 4.,,Equation,instructional,
U7_S4_EXIT_TICKET_B_02,Exit Ticket B,4,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 4.,,Equation,instructional,
U7_S4_EXIT_TICKET_B_03,Exit Ticket B,4,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 4.,,Equation,instructional,
U7_S4_EXIT_TICKET_B_04,Exit Ticket B,4,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 4.,,Equation,instructional,
U7_S4_EXIT_TICKET_C_01,Exit Ticket C,4,"Compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.",Mastery,"Portfolio evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,instructional,
U7_S4_EXIT_TICKET_C_02,Exit Ticket C,4,"Compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.",Mastery,"Portfolio evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,instructional,
U7_S4_EXIT_TICKET_C_03,Exit Ticket C,4,"Compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.",Mastery,"Portfolio evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Context + Equation,instructional,
U7_S4_EXIT_TICKET_C_04,Exit Ticket C,4,"Compare standard, vertex, and factored forms of quadratic functions and determine which form best reveals key features.",Mastery,"Portfolio evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,instructional,
U7_S5_EXIT_TICKET_A_01,Exit Ticket A,5,I can construct exponential models from real-world data using an initial value and a growth or decay factor.,Intro,Quick evidence for current Unit 7 section 5 Intro learning.,,Table + Equation,instructional,
U7_S5_EXIT_TICKET_A_02,Exit Ticket A,5,I can assess model fit and limitations when exponential data do not follow a perfect pattern.,Intro,Quick evidence for current Unit 7 section 5 Intro learning.,,Graph,instructional,
U7_S5_EXIT_TICKET_A_03,Exit Ticket A,5,I can extend exponential models to make predictions and interpret results in context.,Intro,Quick evidence for current Unit 7 section 5 Intro learning.,,Context + Equation,instructional,
U7_S5_EXIT_TICKET_A_04,Exit Ticket A,5,I can construct exponential models from real-world data using an initial value and a growth or decay factor.,Intro,Quick evidence for current Unit 7 section 5 Intro learning.,,Table,instructional,
U7_S5_EXIT_TICKET_B_01,Exit Ticket B,5,"Use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 5.,,Context + Equation,instructional,
U7_S5_EXIT_TICKET_B_02,Exit Ticket B,5,"Use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 5.,,Context + Equation,instructional,
U7_S5_EXIT_TICKET_B_03,Exit Ticket B,5,"Use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 5.,,Context + Graph concept,instructional,
U7_S5_EXIT_TICKET_B_04,Exit Ticket B,5,"Use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",Review,Quick evidence for Unit 6 quadratic review retrieval embedded in Unit 7 section 5.,,Context + Equation,instructional,
U7_S5_EXIT_TICKET_C_01,Exit Ticket C,5,"Factor quadratic trinomials using patterns, products, sums, and structure.",Mastery,Portfolio evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,instructional,
U7_S5_EXIT_TICKET_C_02,Exit Ticket C,5,"Factor quadratic trinomials using patterns, products, sums, and structure.",Mastery,Portfolio evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,instructional,
U7_S5_EXIT_TICKET_C_03,Exit Ticket C,5,"Factor quadratic trinomials using patterns, products, sums, and structure.",Mastery,Portfolio evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,instructional,
U7_S5_EXIT_TICKET_C_04,Exit Ticket C,5,"Factor quadratic trinomials using patterns, products, sums, and structure.",Mastery,Portfolio evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,instructional,
U7_SUM_SUMMATIVE_V1_01,Summative V1,,Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,Mastery,Summative evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Equation,summative-secure,V1
U7_SUM_SUMMATIVE_V1_02,Summative V1,,Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,Mastery,Summative evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Table + Equation,summative-secure,V1
U7_SUM_SUMMATIVE_V1_03,Summative V1,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,summative-secure,V1
U7_SUM_SUMMATIVE_V1_04,Summative V1,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation + Table,summative-secure,V1
U7_SUM_SUMMATIVE_V1_05,Summative V1,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,summative-secure,V1
U7_SUM_SUMMATIVE_V1_06,Summative V1,,"Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",Mastery,"Summative evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Equation,summative-secure,V1
U7_SUM_SUMMATIVE_V1_07,Summative V1,,"Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",Mastery,"Summative evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Graph + Equation,summative-secure,V1
U7_SUM_SUMMATIVE_V1_08,Summative V1,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,summative-secure,V1
U7_SUM_SUMMATIVE_V1_09,Summative V1,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,summative-secure,V1
U7_SUM_SUMMATIVE_V1_10,Summative V1,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Context + Equation,summative-secure,V1
U7_SUM_SUMMATIVE_V2_01,Summative V2,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,summative-secure,V2
U7_SUM_SUMMATIVE_V2_02,Summative V2,,"Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",Mastery,"Summative evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Equation,summative-secure,V2
U7_SUM_SUMMATIVE_V2_03,Summative V2,,Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,Mastery,Summative evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Equation,summative-secure,V2
U7_SUM_SUMMATIVE_V2_04,Summative V2,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,summative-secure,V2
U7_SUM_SUMMATIVE_V2_05,Summative V2,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation + Table,summative-secure,V2
U7_SUM_SUMMATIVE_V2_06,Summative V2,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,summative-secure,V2
U7_SUM_SUMMATIVE_V2_07,Summative V2,,Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,Mastery,Summative evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Table + Equation,summative-secure,V2
U7_SUM_SUMMATIVE_V2_08,Summative V2,,"Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",Mastery,"Summative evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Graph + Equation,summative-secure,V2
U7_SUM_SUMMATIVE_V2_09,Summative V2,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,summative-secure,V2
U7_SUM_SUMMATIVE_V2_10,Summative V2,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Context + Equation,summative-secure,V2
U7_SUM_SUMMATIVE_V3_01,Summative V3,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,summative-secure,V3
U7_SUM_SUMMATIVE_V3_02,Summative V3,,Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,Mastery,Summative evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Equation,summative-secure,V3
U7_SUM_SUMMATIVE_V3_03,Summative V3,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,summative-secure,V3
U7_SUM_SUMMATIVE_V3_04,Summative V3,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,summative-secure,V3
U7_SUM_SUMMATIVE_V3_05,Summative V3,,"Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",Mastery,"Summative evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Graph + Equation,summative-secure,V3
U7_SUM_SUMMATIVE_V3_06,Summative V3,,Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,Mastery,Summative evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Table + Equation,summative-secure,V3
U7_SUM_SUMMATIVE_V3_07,Summative V3,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Context + Equation,summative-secure,V3
U7_SUM_SUMMATIVE_V3_08,Summative V3,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation + Table,summative-secure,V3
U7_SUM_SUMMATIVE_V3_09,Summative V3,,"Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",Mastery,"Summative evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Equation,summative-secure,V3
U7_SUM_SUMMATIVE_V3_10,Summative V3,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,summative-secure,V3
U7_SUM_SUMMATIVE_V4_01,Summative V4,,"Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",Mastery,"Summative evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Equation,summative-secure,V4
U7_SUM_SUMMATIVE_V4_02,Summative V4,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation + Table,summative-secure,V4
U7_SUM_SUMMATIVE_V4_03,Summative V4,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,summative-secure,V4
U7_SUM_SUMMATIVE_V4_04,Summative V4,,Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,Mastery,Summative evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Equation,summative-secure,V4
U7_SUM_SUMMATIVE_V4_05,Summative V4,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Equation,summative-secure,V4
U7_SUM_SUMMATIVE_V4_06,Summative V4,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,summative-secure,V4
U7_SUM_SUMMATIVE_V4_07,Summative V4,,Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,Mastery,Summative evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Table + Equation,summative-secure,V4
U7_SUM_SUMMATIVE_V4_08,Summative V4,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Context + Equation,summative-secure,V4
U7_SUM_SUMMATIVE_V4_09,Summative V4,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,summative-secure,V4
U7_SUM_SUMMATIVE_V4_10,Summative V4,,"Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",Mastery,"Summative evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Graph + Equation,summative-secure,V4
U7_SUM_SUMMATIVE_V5_01,Summative V5,,Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,Mastery,Summative evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Context + Equation,summative-secure,V5
U7_SUM_SUMMATIVE_V5_02,Summative V5,,Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,Mastery,Summative evidence for U7-MG01: Factor polynomial expressions by identifying a greatest common factor and use multiplication to verify equivalent forms.,U7-MG01,Equation,summative-secure,V5
U7_SUM_SUMMATIVE_V5_03,Summative V5,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,summative-secure,V5
U7_SUM_SUMMATIVE_V5_04,Summative V5,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,summative-secure,V5
U7_SUM_SUMMATIVE_V5_05,Summative V5,,Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,Mastery,Summative evidence for U7-MG02: Factor quadratic trinomials and special polynomial patterns by using product-sum reasoning and recognizable structure.,U7-MG02,Equation,summative-secure,V5
U7_SUM_SUMMATIVE_V5_06,Summative V5,,"Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",Mastery,"Summative evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Table + Equation,summative-secure,V5
U7_SUM_SUMMATIVE_V5_07,Summative V5,,"Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",Mastery,"Summative evidence for U7-MG03: Connect factored form, factors, zeros, x-intercepts, and quadratic graph behavior.",U7-MG03,Graph + Equation,summative-secure,V5
U7_SUM_SUMMATIVE_V5_08,Summative V5,,"Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",Mastery,"Summative evidence for U7-MG04: Compare standard, vertex, and factored forms and choose the form that most directly reveals the feature needed for a problem or context.",U7-MG04,Context + Equation,summative-secure,V5
