bank_id,destination,section,exact_i_can,question_family_id,variation,task_architecture,representation,response_type,mastery_goal,summative_version,secure
U2-S21-PRACTICESET1-20,Practice Set 1,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,F1-R2,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-PRACTICESET1-21,Practice Set 1,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,F1-R3,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-PRACTICESET1-22,Practice Set 1,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,F1-M1,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-PRACTICESET1-23,Practice Set 1,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,F1-M2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-PRACTICESET1-24,Practice Set 1,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,F1-M3,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-PRACTICESET2-01,Practice Set 2,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,F2-1,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-PRACTICESET2-02,Practice Set 2,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,F2-2,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-PRACTICESET2-03,Practice Set 2,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,F2-3,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-PRACTICESET2-04,Practice Set 2,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,F2-1,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-PRACTICESET2-05,Practice Set 2,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,F2-2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-PRACTICESET2-06,Practice Set 2,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,F2-3,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-PRACTICESET2-07,Practice Set 2,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,F2-1,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-PRACTICESET2-08,Practice Set 2,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,F2-2,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-PRACTICESET2-09,Practice Set 2,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,F2-3,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-PRACTICESET2-10,Practice Set 2,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,F2-1,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-PRACTICESET2-11,Practice Set 2,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,F2-2,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-PRACTICESET2-12,Practice Set 2,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,F2-3,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-PRACTICESET2-13,Practice Set 2,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,F2-1,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-PRACTICESET2-14,Practice Set 2,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,F2-2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-PRACTICESET2-15,Practice Set 2,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,F2-3,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-PRACTICESET2-16,Practice Set 2,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,F2-1,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-PRACTICESET2-17,Practice Set 2,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,F2-2,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-PRACTICESET2-18,Practice Set 2,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,F2-3,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-PRACTICESET2-19,Practice Set 2,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,F2-R1,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-PRACTICESET2-20,Practice Set 2,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,F2-R2,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-PRACTICESET2-21,Practice Set 2,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,F2-R3,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-PRACTICESET2-22,Practice Set 2,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,F2-M1,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-PRACTICESET2-23,Practice Set 2,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,F2-M2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-PRACTICESET2-24,Practice Set 2,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,F2-M3,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-PRACTICESET3-01,Practice Set 3,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,F3-1,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-PRACTICESET3-02,Practice Set 3,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,F3-2-Q3E,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-PRACTICESET3-03,Practice Set 3,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,F3-3,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-PRACTICESET3-04,Practice Set 3,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,F3-1-Q3E,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-PRACTICESET3-05,Practice Set 3,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,F3-2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-PRACTICESET3-06,Practice Set 3,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,F3-3-Q3E,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-PRACTICESET3-07,Practice Set 3,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,F3-1,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-PRACTICESET3-08,Practice Set 3,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,F3-2,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-PRACTICESET3-09,Practice Set 3,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,F3-3,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-PRACTICESET3-10,Practice Set 3,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,F3-1-Q3E,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-PRACTICESET3-11,Practice Set 3,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,F3-2-Q3E,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-PRACTICESET3-12,Practice Set 3,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,F3-3-Q3E,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-PRACTICESET3-13,Practice Set 3,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,F3-1-Q3E,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-PRACTICESET3-14,Practice Set 3,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,F3-2-Q3E,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-PRACTICESET3-15,Practice Set 3,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,F3-3-Q3E,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-PRACTICESET3-16,Practice Set 3,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,F3-1-Q3E,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-PRACTICESET3-17,Practice Set 3,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,F3-2-Q3E,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-PRACTICESET3-18,Practice Set 3,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,F3-3-Q3E,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-PRACTICESET3-19,Practice Set 3,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,F3-R1-Q3E,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-PRACTICESET3-20,Practice Set 3,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,F3-R2-Q3E,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-PRACTICESET3-21,Practice Set 3,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,F3-R3-Q3E,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-PRACTICESET3-22,Practice Set 3,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,F3-M1-Q3E,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-PRACTICESET3-23,Practice Set 3,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,F3-M2-Q3E,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-PRACTICESET3-24,Practice Set 3,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,F3-M3,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-EXTRAPRACTICE-01,Extra Practice,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,F4-1,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-EXTRAPRACTICE-02,Extra Practice,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,F4-2,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-EXTRAPRACTICE-03,Extra Practice,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,F4-3,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-EXTRAPRACTICE-04,Extra Practice,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,F4-1,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-EXTRAPRACTICE-05,Extra Practice,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,F4-2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-EXTRAPRACTICE-06,Extra Practice,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,F4-3,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-EXTRAPRACTICE-07,Extra Practice,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,F4-1,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-EXTRAPRACTICE-08,Extra Practice,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,F4-2,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-EXTRAPRACTICE-09,Extra Practice,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,F4-3,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-EXTRAPRACTICE-10,Extra Practice,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,F4-1-Q3E,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-EXTRAPRACTICE-11,Extra Practice,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,F4-2-Q3E,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-EXTRAPRACTICE-12,Extra Practice,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,F4-3-Q3E,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-EXTRAPRACTICE-13,Extra Practice,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,F4-1-Q3E,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-EXTRAPRACTICE-14,Extra Practice,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,F4-2-Q3E,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-EXTRAPRACTICE-15,Extra Practice,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,F4-3-Q3E,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-EXTRAPRACTICE-16,Extra Practice,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,F4-1-Q3E,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-EXTRAPRACTICE-17,Extra Practice,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,F4-2-Q3E,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-EXTRAPRACTICE-18,Extra Practice,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,F4-3-Q3E,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-EXTRAPRACTICE-19,Extra Practice,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,F4-R1-Q3E,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-EXTRAPRACTICE-20,Extra Practice,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,F4-R2-Q3E,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-EXTRAPRACTICE-21,Extra Practice,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,F4-R3-Q3E,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-EXTRAPRACTICE-22,Extra Practice,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,F4-M1-Q3E,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-EXTRAPRACTICE-23,Extra Practice,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,F4-M2-Q3E,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-EXTRAPRACTICE-24,Extra Practice,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,F4-M3-Q3E,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-CYU-01,CYU,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,CYU-1,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-CYU-02,CYU,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,CYU-2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-CYU-03,CYU,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,CYU-3,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-CYU-04,CYU,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",context_rate,CYU-4,PROC-DIRECT-EXECUTE-01,Context,constructed response,,,False
U2-S21-CYU-05,CYU,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_sign_special,CYU-5,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph / Context,constructed response,,,False
U2-S21-CYU-06,CYU,2.1,I can determine whether a slope value is reasonable for a given context.,reasonableness_error,CYU-6,ERROR-CRITIQUE-CLAIM-01,Context / Equation,constructed response,,,False
U2-S21-WARMUP1-01,Warm-Up 1,2.1,"I can build equivalent expressions by using structure, grouping, and properties of operations.",diamond_expression_structure,WU1-Diamond,FACTORPAIR-SUM-PRODUCT-PUZZLE-01,Diagram + Equation,constructed response,,,False
U2-S21-WARMUP1-02,Warm-Up 1,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,WU1-R1,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-WARMUP1-03,Warm-Up 1,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,WU1-R2,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-WARMUP1-04,Warm-Up 1,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,WU1-R3,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-WARMUP2-01,Warm-Up 2,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,WU2-I1,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-WARMUP2-02,Warm-Up 2,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,WU2-I2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
U2-S21-WARMUP2-03,Warm-Up 2,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,WU2-R,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-WARMUP2-04,Warm-Up 2,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,WU2-M,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-WARMUP3-01,Warm-Up 3,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_graph,WU3-I,GRAPH-INFER-BEHAVIOR-01,Graph,constructed response,,,False
U2-S21-WARMUP3-02,Warm-Up 3,2.1,I can apply an input-output rule to generate missing values and ordered pairs.,review_retrieval,WU3-R,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed response,,,False
U2-S21-WARMUP3-03,Warm-Up 3,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,WU3-M1,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-WARMUP3-04,Warm-Up 3,2.1,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",mastery_retrieval,WU3-M2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,U2-MG03,,False
U2-S21-EXITTICKETA-01,Exit Ticket A,2.1,I can apply slope calculations to interpret constant change between quantities.,slope_from_points,ETA-1,PROC-DIRECT-EXECUTE-01,Equation,constructed response,,,False
U2-S21-EXITTICKETA-02,Exit Ticket A,2.1,"I can construct rate-of-change statements from tables, graphs, and situations.",rate_from_table,ETA-2,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Table,constructed response,,,False
