bank_id,destination,section,exact_target,mastery_goal,evidence_job,representation,response_type,summative_version
U2-S23-EXITTICKETA-02,Exit Ticket A,2.3,"I can formulate linear equations from graphs, tables, and situations.",,Intro evidence pulse: Translate a table into a linear equation.,Table -> Equation,constructed response,
U2-S23-EXITTICKETA-03,Exit Ticket A,2.3,I can apply slope-intercept structure to connect rate and starting value.,,Intro evidence pulse: Interpret slope-intercept parameters as structural features.,Equation,constructed response,
U2-S23-EXITTICKETA-04,Exit Ticket A,2.3,I can design equivalent equations that represent the same linear relationship.,,Intro evidence pulse: Create and verify an equivalent equation for the same line.,Equation,constructed response,
U2-S23-EXITTICKETB-01,Exit Ticket B,2.3,"I can build equivalent expressions by using structure, grouping, and properties of operations.",,Review evidence pulse on the exact prior I-can routed for this section.,Equation,constructed response,
U2-S23-EXITTICKETB-02,Exit Ticket B,2.3,"I can build equivalent expressions by using structure, grouping, and properties of operations.",,Review evidence pulse on the exact prior I-can routed for this section.,Equation,constructed response,
U2-S23-EXITTICKETB-03,Exit Ticket B,2.3,"I can build equivalent expressions by using structure, grouping, and properties of operations.",,Review evidence pulse on the exact prior I-can routed for this section.,Equation,constructed response,
U2-S23-EXITTICKETB-04,Exit Ticket B,2.3,"I can build equivalent expressions by using structure, grouping, and properties of operations.",,Review evidence pulse on the exact prior I-can routed for this section.,Equation,constructed response,
U2-S23-EXITTICKETC-01,Exit Ticket C,2.3,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Portfolio evidence pulse on U2-MG03.,Table -> Equation,constructed response,
U2-S23-EXITTICKETC-02,Exit Ticket C,2.3,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Portfolio evidence pulse on U2-MG03.,Table -> Equation,constructed response,
U2-S23-EXITTICKETC-03,Exit Ticket C,2.3,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Portfolio evidence pulse on U2-MG03.,Table -> Equation,constructed response,
U2-S23-EXITTICKETC-04,Exit Ticket C,2.3,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Portfolio evidence pulse on U2-MG03.,Table -> Equation,constructed response,
U2-S24-EXITTICKETA-01,Exit Ticket A,2.4,I can construct comparison models for linear relationships shown in different forms.,,Intro evidence pulse: Build a common feature comparison from unlike representations.,Equation + Table,constructed response,
U2-S24-EXITTICKETA-02,Exit Ticket A,2.4,I can use slope and intercept information to interpret similarities and differences.,,Intro evidence pulse: Compare slope and intercept across graph/equation forms.,Graph + Equation,constructed response,
U2-S24-EXITTICKETA-03,Exit Ticket A,2.4,I can critique conclusions about linear relationships using evidence from representations.,,Intro evidence pulse: Critique a comparison claim using slope/intercept evidence.,Graph / Context,constructed response,
U2-S24-EXITTICKETA-04,Exit Ticket A,2.4,I can use slope and intercept information to interpret similarities and differences.,,Intro evidence pulse: Compare linear models and locate an equal-output point.,Equation + Comparison,constructed response,
U2-S24-EXITTICKETB-01,Exit Ticket B,2.4,"I can critique a proposed function family choice using evidence from rate of change, shape, or equation structure.",,Review evidence pulse on the exact prior I-can routed for this section.,Equation,constructed response,
U2-S24-EXITTICKETB-02,Exit Ticket B,2.4,"I can critique a proposed function family choice using evidence from rate of change, shape, or equation structure.",,Review evidence pulse on the exact prior I-can routed for this section.,Equation,constructed response,
U2-S24-EXITTICKETB-03,Exit Ticket B,2.4,"I can critique a proposed function family choice using evidence from rate of change, shape, or equation structure.",,Review evidence pulse on the exact prior I-can routed for this section.,Equation,constructed response,
U2-S24-EXITTICKETB-04,Exit Ticket B,2.4,"I can critique a proposed function family choice using evidence from rate of change, shape, or equation structure.",,Review evidence pulse on the exact prior I-can routed for this section.,Equation,constructed response,
U2-S24-EXITTICKETC-01,Exit Ticket C,2.4,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Portfolio evidence pulse on U2-MG04.,Equation + Equation,constructed response,
U2-S24-EXITTICKETC-02,Exit Ticket C,2.4,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Portfolio evidence pulse on U2-MG04.,Equation + Equation,constructed response,
U2-S24-EXITTICKETC-03,Exit Ticket C,2.4,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Portfolio evidence pulse on U2-MG04.,Equation + Equation,constructed response,
U2-S24-EXITTICKETC-04,Exit Ticket C,2.4,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Portfolio evidence pulse on U2-MG04.,Equation + Equation,constructed response,
U2-S25-EXITTICKETA-01,Exit Ticket A,2.5,I can design linear models that represent patterns in real-world data.,,Intro evidence pulse: Judge whether a linear model fits observed data.,Scatter Plot,constructed response,
U2-S25-EXITTICKETA-02,Exit Ticket A,2.5,I can predict values using a linear model and interpret the result.,,Intro evidence pulse: Use a linear model to make and interpret a prediction.,Equation / Context,constructed response,
U2-S25-EXITTICKETA-03,Exit Ticket A,2.5,I can assess whether a linear model fits a data situation well enough for the question being asked.,,Intro evidence pulse: Distinguish interpolation from extrapolation and discuss reliability.,Context / Data Range,constructed response,
U2-S25-EXITTICKETA-04,Exit Ticket A,2.5,I can assess whether a linear model fits a data situation well enough for the question being asked.,,Intro evidence pulse: Evaluate a linear model using observed-vs-predicted differences.,Table,constructed response,
U2-S25-EXITTICKETB-01,Exit Ticket B,2.5,I can construct an equation that models a situation using meaningful quantities and operations.,,Review evidence pulse on the exact prior I-can routed for this section.,Context -> Equation,constructed response,
U2-S25-EXITTICKETB-02,Exit Ticket B,2.5,I can construct an equation that models a situation using meaningful quantities and operations.,,Review evidence pulse on the exact prior I-can routed for this section.,Context -> Equation,constructed response,
U2-S25-EXITTICKETB-03,Exit Ticket B,2.5,I can construct an equation that models a situation using meaningful quantities and operations.,,Review evidence pulse on the exact prior I-can routed for this section.,Context -> Equation,constructed response,
U2-S25-EXITTICKETB-04,Exit Ticket B,2.5,I can construct an equation that models a situation using meaningful quantities and operations.,,Review evidence pulse on the exact prior I-can routed for this section.,Context -> Equation,constructed response,
U2-S25-EXITTICKETC-01,Exit Ticket C,2.5,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Portfolio evidence pulse on U2-MG02.,Equation / Ordered Pair,constructed response,
U2-S25-EXITTICKETC-02,Exit Ticket C,2.5,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Portfolio evidence pulse on U2-MG02.,Equation / Ordered Pair,constructed response,
U2-S25-EXITTICKETC-03,Exit Ticket C,2.5,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Portfolio evidence pulse on U2-MG02.,Equation / Ordered Pair,constructed response,
U2-S25-EXITTICKETC-04,Exit Ticket C,2.5,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Portfolio evidence pulse on U2-MG02.,Equation / Ordered Pair,constructed response,
U2-SSUM-SECURESUMMATIV-01,Secure Summative,SUMMATIVE,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Secure independent evidence for U2-MG01.,Graph,constructed response,V1
U2-SSUM-SECURESUMMATIV-02,Secure Summative,SUMMATIVE,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Secure independent evidence for U2-MG03.,Table + Equation,constructed response,V1
U2-SSUM-SECURESUMMATIV-03,Secure Summative,SUMMATIVE,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Secure independent evidence for U2-MG02.,Table -> Rule,constructed response,V1
U2-SSUM-SECURESUMMATIV-04,Secure Summative,SUMMATIVE,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Secure independent evidence for U2-MG04.,Equation + Table,constructed response,V1
U2-SSUM-SECURESUMMATIV-05,Secure Summative,SUMMATIVE,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Secure independent evidence for U2-MG01.,Equation -> Graph,constructed response,V1
U2-SSUM-SECURESUMMATIV-06,Secure Summative,SUMMATIVE,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Secure independent evidence for U2-MG03.,Context + Equation,constructed response,V1
U2-SSUM-SECURESUMMATIV-07,Secure Summative,SUMMATIVE,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Secure independent evidence for U2-MG02.,Context -> Table + Rule,constructed response,V1
U2-SSUM-SECURESUMMATIV-08,Secure Summative,SUMMATIVE,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Secure independent evidence for U2-MG04.,Graph / Scale,constructed response,V1
U2-SSUM-SECURESUMMATIV-09,Secure Summative,SUMMATIVE,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Secure independent evidence for U2-MG03.,Context + Equation,constructed response,V2
U2-SSUM-SECURESUMMATIV-10,Secure Summative,SUMMATIVE,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Secure independent evidence for U2-MG01.,Equation -> Graph,constructed response,V2
U2-SSUM-SECURESUMMATIV-11,Secure Summative,SUMMATIVE,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Secure independent evidence for U2-MG04.,Equation + Table,constructed response,V2
U2-SSUM-SECURESUMMATIV-12,Secure Summative,SUMMATIVE,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Secure independent evidence for U2-MG02.,Table -> Rule,constructed response,V2
U2-SSUM-SECURESUMMATIV-13,Secure Summative,SUMMATIVE,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Secure independent evidence for U2-MG03.,Table + Equation,constructed response,V2
U2-SSUM-SECURESUMMATIV-14,Secure Summative,SUMMATIVE,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Secure independent evidence for U2-MG04.,Graph / Scale,constructed response,V2
U2-SSUM-SECURESUMMATIV-15,Secure Summative,SUMMATIVE,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Secure independent evidence for U2-MG01.,Graph,constructed response,V2
U2-SSUM-SECURESUMMATIV-16,Secure Summative,SUMMATIVE,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Secure independent evidence for U2-MG02.,Context -> Table + Rule,constructed response,V2
U2-SSUM-SECURESUMMATIV-17,Secure Summative,SUMMATIVE,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Secure independent evidence for U2-MG02.,Context -> Table + Rule,constructed response,V3
U2-SSUM-SECURESUMMATIV-18,Secure Summative,SUMMATIVE,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Secure independent evidence for U2-MG04.,Equation + Table,constructed response,V3
U2-SSUM-SECURESUMMATIV-19,Secure Summative,SUMMATIVE,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Secure independent evidence for U2-MG01.,Graph,constructed response,V3
U2-SSUM-SECURESUMMATIV-20,Secure Summative,SUMMATIVE,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Secure independent evidence for U2-MG03.,Context + Equation,constructed response,V3
U2-SSUM-SECURESUMMATIV-21,Secure Summative,SUMMATIVE,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Secure independent evidence for U2-MG02.,Table -> Rule,constructed response,V3
U2-SSUM-SECURESUMMATIV-22,Secure Summative,SUMMATIVE,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Secure independent evidence for U2-MG01.,Equation -> Graph,constructed response,V3
U2-SSUM-SECURESUMMATIV-23,Secure Summative,SUMMATIVE,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Secure independent evidence for U2-MG04.,Graph / Scale,constructed response,V3
U2-SSUM-SECURESUMMATIV-24,Secure Summative,SUMMATIVE,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Secure independent evidence for U2-MG03.,Table + Equation,constructed response,V3
U2-SSUM-SECURESUMMATIV-25,Secure Summative,SUMMATIVE,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Secure independent evidence for U2-MG04.,Graph / Scale,constructed response,V4
U2-SSUM-SECURESUMMATIV-26,Secure Summative,SUMMATIVE,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Secure independent evidence for U2-MG02.,Table -> Rule,constructed response,V4
U2-SSUM-SECURESUMMATIV-27,Secure Summative,SUMMATIVE,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Secure independent evidence for U2-MG03.,Table + Equation,constructed response,V4
U2-SSUM-SECURESUMMATIV-28,Secure Summative,SUMMATIVE,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Secure independent evidence for U2-MG01.,Equation -> Graph,constructed response,V4
U2-SSUM-SECURESUMMATIV-29,Secure Summative,SUMMATIVE,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Secure independent evidence for U2-MG04.,Equation + Table,constructed response,V4
U2-SSUM-SECURESUMMATIV-30,Secure Summative,SUMMATIVE,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Secure independent evidence for U2-MG02.,Context -> Table + Rule,constructed response,V4
U2-SSUM-SECURESUMMATIV-31,Secure Summative,SUMMATIVE,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Secure independent evidence for U2-MG03.,Context + Equation,constructed response,V4
U2-SSUM-SECURESUMMATIV-32,Secure Summative,SUMMATIVE,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Secure independent evidence for U2-MG01.,Graph,constructed response,V4
U2-SSUM-SECURESUMMATIV-33,Secure Summative,SUMMATIVE,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Secure independent alternate-form evidence for U2-MG01.,Graph / Ordered Pairs,constructed response,V5
U2-SSUM-SECURESUMMATIV-34,Secure Summative,SUMMATIVE,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Secure independent alternate-form evidence for U2-MG02.,Context -> Rule + Pairs,constructed response,V5
U2-SSUM-SECURESUMMATIV-35,Secure Summative,SUMMATIVE,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Secure independent alternate-form evidence for U2-MG03.,Table Comparison,constructed response,V5
U2-SSUM-SECURESUMMATIV-36,Secure Summative,SUMMATIVE,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Secure independent alternate-form evidence for U2-MG04.,Context + Equation,constructed response,V5
U2-SSUM-SECURESUMMATIV-37,Secure Summative,SUMMATIVE,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Secure independent alternate-form evidence for U2-MG01.,Equation / Graph Reasoning,constructed response,V5
U2-SSUM-SECURESUMMATIV-38,Secure Summative,SUMMATIVE,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Secure independent alternate-form evidence for U2-MG03.,Context + Equation + Table,constructed response,V5
U2-SSUM-SECURESUMMATIV-39,Secure Summative,SUMMATIVE,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Secure independent alternate-form evidence for U2-MG02.,Ordered Pairs + Equation,constructed response,V5
U2-SSUM-SECURESUMMATIV-40,Secure Summative,SUMMATIVE,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Secure independent alternate-form evidence for U2-MG04.,Equation / Comparison,constructed response,V5
U2-SSUM-SECURESUMMATIV-41,Secure Summative,SUMMATIVE,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Secure independent alternate-form evidence for U2-MG04.,Equations -> Shared Graph + Comparison,constructed response,V6
U2-SSUM-SECURESUMMATIV-42,Secure Summative,SUMMATIVE,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Secure independent alternate-form evidence for U2-MG01.,Context Table -> Coordinate Graph,constructed response,V6
U2-SSUM-SECURESUMMATIV-43,Secure Summative,SUMMATIVE,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Secure independent alternate-form evidence for U2-MG03.,Ordered Pairs -> Equation,constructed response,V6
U2-SSUM-SECURESUMMATIV-44,Secure Summative,SUMMATIVE,"Recognize constant rate of change and represent linear relationships with tables, graphs, equations, slope, and starting value.",U2-MG03,Secure independent alternate-form evidence for U2-MG03.,Equation + Table / Error Analysis,constructed response,V6
U2-SSUM-SECURESUMMATIV-45,Secure Summative,SUMMATIVE,"Compare relationships across equations, graphs, tables, visual patterns, and contexts and justify conclusions with representation evidence.",U2-MG04,Secure independent alternate-form evidence for U2-MG04.,Scatter Plot + Equations,constructed response,V6
U2-SSUM-SECURESUMMATIV-46,Secure Summative,SUMMATIVE,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Secure independent alternate-form evidence for U2-MG02.,Pattern Data -> Ordered Pairs + Rule,constructed response,V6
U2-SSUM-SECURESUMMATIV-47,Secure Summative,SUMMATIVE,"Interpret and create coordinate-plane graphs, including ordered pairs, axes, scales, and intercepts, in mathematical and contextual situations.",U2-MG01,Secure independent alternate-form evidence for U2-MG01.,Graph + Equation Check,constructed response,V6
U2-SSUM-SECURESUMMATIV-48,Secure Summative,SUMMATIVE,"Represent patterns with input-output tables, verbal rules, symbolic rules, and ordered pairs, then use the rule to extend the relationship.",U2-MG02,Secure independent alternate-form evidence for U2-MG02.,Rule + Table / Error Analysis,constructed response,V6
