unit,target,version_family,sections,dok,question_type,source_bank_items,version_positions,figure_needed,visual_opportunity,modification_mode
4,T4,V5-6,4.5,1,quadratic feature reading,4-S5-DOK1.05 + 4-S5-DOK1.06,V5:Q4; V6:Q4,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T4,V7-8,4.5,1,quadratic feature reading,4-S5-DOK1.07 + 4-S5-DOK1.08 + 4-S5-DOK1.10,V7:Q1; V8:Q1,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T5,V1-4,4.1,2,classify family from representation,4-S1-DOK2.01 + 4-S1-DOK2.02 + 4-S1-DOK2.03,V1:Q5; V2:Q5; V3:Q5; V4:Q5,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T5,V5-6,4.1,2,classify family from representation,4-S1-DOK2.09,V5:Q8; V6:Q8,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T5,V7-8,4.1,2,classify family from representation,4-S1-DOK2.10,V7:Q10; V8:Q10,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T6,V1-4,4.2,2,translated equation/graph/table,4-S2-DOK2.01 + 4-S2-DOK2.02,V1:Q6; V2:Q6; V3:Q6; V4:Q6,YES,USED,number-swap/light-rewrite
4,T6,V5-6,4.2,2,translated equation/graph/table,4-S2-DOK2.05 + 4-S2-DOK2.07,V5:Q1; V6:Q1,YES,USED,number-swap/light-rewrite
4,T6,V7-8,4.2,2,translated equation/graph/table,4-S2-DOK2.08 + 4-S2-DOK2.09,V7:Q8; V8:Q8,YES,USED,number-swap/light-rewrite
4,T7,V1-4,4.3,2,apply transformations,4-S3-DOK2.05 + 4-S3-DOK2.06,V1:Q7; V2:Q7; V3:Q7; V4:Q7,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T7,V5-6,4.3,2,apply transformations,4-S3-DOK2.08 + 4-S3-DOK2.09,V5:Q5; V6:Q5,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T7,V7-8,4.3,2,apply transformations,4-S3-DOK2.10,V7:Q4; V8:Q4,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T8,V1-4,4.4,2,polynomial operations and area model,4-S4-DOK2.01 + 4-S4-DOK2.02 + 4-S4-DOK2.03 + 4-S4-DOK2.04,V1:Q8; V2:Q8; V3:Q8; V4:Q8,YES,USED,number-swap/light-rewrite
4,T8,V5-6,4.4,2,polynomial operations and area model,4-S4-DOK2.06 + 4-S4-DOK2.07,V5:Q3; V6:Q3,YES,USED,number-swap/light-rewrite
4,T8,V7-8,4.4,2,polynomial operations and area model,4-S4-DOK2.08 + 4-S4-DOK2.09 + 4-S4-DOK2.10,V7:Q9; V8:Q9,YES,USED,number-swap/light-rewrite
4,T9,V1-4,4.4,3,polynomial error/structure analysis,4-S4-DOK3.03,V1:Q9; V2:Q9; V3:Q9; V4:Q9,YES,USED,number-swap/light-rewrite
4,T9,V5-6,4.4,3,polynomial error/structure analysis,4-S4-DOK3.01,V5:Q10; V6:Q10,YES,USED,number-swap/light-rewrite
4,T9,V7-8,4.4,3,polynomial error/structure analysis,4-S4-DOK3.02 + 4-S4-DOK3.04,V7:Q2; V8:Q2,YES,USED,number-swap/light-rewrite
4,T10,V1-4,4.5,3,quadratic feature/form reasoning,4-S5-DOK3.01,V1:Q10; V2:Q10; V3:Q10; V4:Q10,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T10,V5-6,4.5,3,quadratic feature/form reasoning,4-S5-DOK3.03,V5:Q6; V6:Q6,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
4,T10,V7-8,4.5,3,quadratic feature/form reasoning,4-S5-DOK3.04,V7:Q6; V8:Q6,NO,NOT USED - text/table/equation better isolates the target,number-swap/light-rewrite
