bank_id,destination,section,exact_target,mastery_goal_id,expected_evidence,representation,response_type,source_basis
U4-SUM-V2-Q03,Secure Summative V2,SUM,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",U4-MG02,"Secure evidence for U4-MG02: Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",Table + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V2-Q04,Secure Summative V2,SUM,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",U4-MG04,"Secure evidence for U4-MG04: Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",Scatter plot,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V2-Q05,Secure Summative V2,SUM,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",U4-MG02,"Secure evidence for U4-MG02: Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",Graph production,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V2-Q06,Secure Summative V2,SUM,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",U4-MG04,"Secure evidence for U4-MG04: Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",Context + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V2-Q07,Secure Summative V2,SUM,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",U4-MG01,"Secure evidence for U4-MG01: Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",Table + Context,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V2-Q08,Secure Summative V2,SUM,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Secure evidence for U4-MG03: Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Graph,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V3-Q01,Secure Summative V3,SUM,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",U4-MG04,"Secure evidence for U4-MG04: Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",Context + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V3-Q02,Secure Summative V3,SUM,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Secure evidence for U4-MG03: Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Graph,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V3-Q03,Secure Summative V3,SUM,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",U4-MG01,"Secure evidence for U4-MG01: Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",Table + Context,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V3-Q04,Secure Summative V3,SUM,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",U4-MG02,"Secure evidence for U4-MG02: Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",Graph production,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V3-Q05,Secure Summative V3,SUM,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",U4-MG04,"Secure evidence for U4-MG04: Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",Scatter plot,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V3-Q06,Secure Summative V3,SUM,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",U4-MG02,"Secure evidence for U4-MG02: Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",Table + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V3-Q07,Secure Summative V3,SUM,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Secure evidence for U4-MG03: Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Equation + Table,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V3-Q08,Secure Summative V3,SUM,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",U4-MG01,"Secure evidence for U4-MG01: Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",Context + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V4-Q01,Secure Summative V4,SUM,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",U4-MG02,"Secure evidence for U4-MG02: Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",Graph production,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V4-Q02,Secure Summative V4,SUM,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",U4-MG04,"Secure evidence for U4-MG04: Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",Scatter plot,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V4-Q03,Secure Summative V4,SUM,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Secure evidence for U4-MG03: Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Equation + Table,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V4-Q04,Secure Summative V4,SUM,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",U4-MG01,"Secure evidence for U4-MG01: Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",Table + Context,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V4-Q05,Secure Summative V4,SUM,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Secure evidence for U4-MG03: Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Graph,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V4-Q06,Secure Summative V4,SUM,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",U4-MG01,"Secure evidence for U4-MG01: Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",Context + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V4-Q07,Secure Summative V4,SUM,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",U4-MG04,"Secure evidence for U4-MG04: Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",Context + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V4-Q08,Secure Summative V4,SUM,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",U4-MG02,"Secure evidence for U4-MG02: Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",Table + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V5-Q01,Secure Summative V5,SUM,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",U4-MG01,"Secure evidence for U4-MG01: Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",Context + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V5-Q02,Secure Summative V5,SUM,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",U4-MG02,"Secure evidence for U4-MG02: Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V5-Q03,Secure Summative V5,SUM,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Secure evidence for U4-MG03: Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Context + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V5-Q04,Secure Summative V5,SUM,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",U4-MG04,"Secure evidence for U4-MG04: Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",Table + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V5-Q05,Secure Summative V5,SUM,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",U4-MG01,"Secure evidence for U4-MG01: Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",Context,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V5-Q06,Secure Summative V5,SUM,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",U4-MG02,"Secure evidence for U4-MG02: Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",Equation + Table + Graph production,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V5-Q07,Secure Summative V5,SUM,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Secure evidence for U4-MG03: Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Context + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V5-Q08,Secure Summative V5,SUM,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",U4-MG04,"Secure evidence for U4-MG04: Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",Model reasoning,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V6-Q01,Secure Summative V6,SUM,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",U4-MG01,"Secure evidence for U4-MG01: Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",Graph reasoning + Equation,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V6-Q02,Secure Summative V6,SUM,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",U4-MG02,"Secure evidence for U4-MG02: Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",Context + Equation + Table,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V6-Q03,Secure Summative V6,SUM,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Secure evidence for U4-MG03: Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Equation + Points,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V6-Q04,Secure Summative V6,SUM,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",U4-MG04,"Secure evidence for U4-MG04: Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",Scatter plot,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V6-Q05,Secure Summative V6,SUM,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",U4-MG01,"Secure evidence for U4-MG01: Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",Context + Units,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V6-Q06,Secure Summative V6,SUM,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",U4-MG02,"Secure evidence for U4-MG02: Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",Equation + Graph production,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V6-Q07,Secure Summative V6,SUM,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",U4-MG03,"Secure evidence for U4-MG03: Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Table + Context,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-SUM-V6-Q08,Secure Summative V6,SUM,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",U4-MG04,"Secure evidence for U4-MG04: Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",Model reasoning,constructed/open response,Original Unit 4 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U4-S1-WTC-001,WTC,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,"A has constant first differences of 3, so linear is likely. B doubles, so exponential is likely. A line-like graph and an exponential growth curve would support those predictions.",Table + Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-EX-01,Notes Example,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,Absolute Value; the equation structure is characteristic of an absolute value function.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-YTI-01,Notes YTI,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,Absolute Value; values mirror around x=0 and change like absolute distance.,Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-EX-02,Notes Example,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,Linear; constant first difference of 3.,Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-YTI-02,Notes YTI,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,"Linear, quadratic, exponential, absolute value.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-EX-03,Notes Example,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,"Linear, quadratic, exponential, absolute value.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-YTI-03,Notes YTI,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,A constant ratio supports an exponential relationship; the small graph window is less decisive than the exact multiplicative table pattern.,Multiple-representation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-EX-04,Notes Example,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,"It is absolute value. The absolute-value equation structure is decisive, and the two linear-looking arms are consistent with that family.",Multiple-representation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-YTI-04,Notes YTI,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,Exponential; the equation structure is characteristic of an exponential function.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-EX-05,Notes Example,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,Absolute Value; the equation structure is characteristic of an absolute value function.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-YTI-05,Notes YTI,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,"The outputs have constant second differences of 2, so quadratic is the strongest classification.",Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-EX-06,Notes Example,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,Constant second differences are stronger exact evidence and support a quadratic family; one cropped side of a graph can hide the turning point and symmetry.,Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-YTI-06,Notes YTI,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,"The top-right graph has a smooth curved vertex, so it is quadratic. The bottom-right graph has a sharp corner, so it is absolute value.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-01,Practice Set 1,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,"Linear, quadratic, exponential, absolute value.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-02,Practice Set 1,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,"It is absolute value. The absolute-value equation structure is decisive, and the two linear-looking arms are consistent with that family.",Multiple-representation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-03,Practice Set 1,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,Absolute Value; the equation structure is characteristic of an absolute value function.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-04,Practice Set 1,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,Linear; constant first difference of 3.,Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-05,Practice Set 1,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,The bottom-right graph is absolute value; its V-shape has a sharp corner.,Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-06,Practice Set 1,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,Exponential; constant ratio of 2.,Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-07,Practice Set 1,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,Top-left: constant slope; top-right: smooth turning point; bottom-left: accelerating growth; bottom-right: sharp corner.,Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-08,Practice Set 1,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,Quadratic; constant second differences and symmetry around the middle x-value.,Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-09,Practice Set 1,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,Top-right is quadratic and bottom-right is absolute value. The quadratic has a smooth curved vertex; the absolute-value graph has a sharp corner.,Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-10,Practice Set 1,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,The squared term in the equation is decisive; the function is quadratic.,Multiple-representation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-11,Practice Set 1,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,Absolute Value; the equation structure is characteristic of an absolute value function.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-12,Practice Set 1,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,Exponential; constant ratio of 2.,Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-13,Practice Set 1,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,Quadratic; constant second differences.,Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-14,Practice Set 1,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,"A constant slope across the full line supports linear, while increasing steepness supports exponential.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-15,Practice Set 1,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,Absolute Value; the equation structure is characteristic of an absolute value function.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-16,Practice Set 1,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,Absolute value; mirror symmetry with equal changes away from the center.,Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-17,Practice Set 1,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,"A table would be decisive: constant first differences support linear, while a constant ratio supports exponential.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P1-18,Practice Set 1,4.1,I can determine which representation gives the strongest evidence for a function family when features seem similar.,,"The exact constant first differences are stronger evidence, so the relationship is linear.",Multiple-representation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-PracticeSet1-19,Practice Set 1,4.1,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,,"$(1,5)$.",Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-PracticeSet1-20,Practice Set 1,4.1,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,,"$(2,3)$.",Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-PracticeSet1-21,Practice Set 1,4.1,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,,"$(-1,4)$.",Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-PracticeSet1-22,Practice Set 1,4.1,Analyze and compare linear relationships using multiple representations.,,A has slope 0.5 and intercept -2; B has slope -0.5 and intercept 3. A has the greater slope; B has the greater starting value.,Equation + Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-PracticeSet1-23,Practice Set 1,4.1,Analyze and compare linear relationships using multiple representations.,,A has slope 3 and intercept 0; B has slope 0.5 and intercept 2. A changes faster; B has the greater starting value.,Equation + Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-PracticeSet1-24,Practice Set 1,4.1,Analyze and compare linear relationships using multiple representations.,,A has slope 2 and intercept 1; B has slope 1 and intercept 5. A changes faster; B has the greater starting value.,Equation + Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P2-01,Practice Set 2,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,A constant ratio supports an exponential relationship; the small graph window is less decisive than the exact multiplicative table pattern.,Multiple-representation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P2-02,Practice Set 2,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,Exponential; the equation structure is characteristic of an exponential function.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P2-03,Practice Set 2,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,Absolute Value; values mirror around x=0 and change like absolute distance.,Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P2-04,Practice Set 2,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,"Linear, quadratic, exponential, absolute value.",Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P2-05,Practice Set 2,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,The absolute-value notation is decisive and supports an absolute-value family.,Multiple-representation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P2-06,Practice Set 2,4.1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",,Exponential; constant ratio of 2.,Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P2-07,Practice Set 2,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,Top-right is quadratic and bottom-right is absolute value. The quadratic has a smooth curved vertex; the absolute-value graph has a sharp corner.,Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P2-08,Practice Set 2,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,Top-left is linear because its slope is constant. Bottom-left is exponential because its rate of increase grows as x increases.,Graph,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P2-09,Practice Set 2,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,The repeated doubling and constant ratio support an exponential family.,Multiple-representation reasoning,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P2-10,Practice Set 2,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,Exponential; the equation structure is characteristic of an exponential function.,Equation,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
U4-S1-P2-11,Practice Set 2,4.1,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",,Linear; constant first difference of 2.,Table,constructed/open response,Original Unit Assessment Plan + current Algebra Framework
