bank_id,destination,section,spiral_stage,exact_target,mastery_goal,evidence_job,representation,response_type,source_basis,summative_version
U6_S2_ETB_04,Exit Ticket B,6.2,Review,I can critique which quadratic form best supports a given question or context.,,Short independent Review evidence for the routed prior-unit skill.,Prose + Equation forms,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.5,
U6_S2_ETC_01,Exit Ticket C,6.2,Mastery,"I can predict how changing values in an equation moves a graph left, right, up, or down.",U6-MG02,"Portfolio evidence slice for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Equation + Graph transformation,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.2,
U6_S2_ETC_02,Exit Ticket C,6.2,Mastery,I can use horizontal and vertical shifts to write equations for translated functions.,U6-MG02,"Portfolio evidence slice for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Equation,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.2,
U6_S2_ETC_03,Exit Ticket C,6.2,Mastery,I can build translated graphs by moving key points and key features from a parent function.,U6-MG02,"Portfolio evidence slice for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Coordinate point,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.2,
U6_S2_ETC_04,Exit Ticket C,6.2,Mastery,"I can predict how changing values in an equation moves a graph left, right, up, or down.",U6-MG02,"Portfolio evidence slice for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Equation + Prose,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.2,
U6_S3_ETA_01,Exit Ticket A,6.3,Intro,"I can design a coefficient map that organizes $a$, $b$, and $c$ before using the quadratic formula.",,Short independent Intro evidence for the mapped current-section I-can.,Equation,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_ETA_02,Exit Ticket A,6.3,Intro,"I can apply the quadratic formula to solve equations with rational, irrational, or no real solutions.",,Short independent Intro evidence for the mapped current-section I-can.,Equation,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_ETA_03,Exit Ticket A,6.3,Intro,I can assess how the discriminant predicts the number and type of real solutions.,,Short independent Intro evidence for the mapped current-section I-can.,Equation,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_ETA_04,Exit Ticket A,6.3,Intro,"I can design a coefficient map that organizes $a$, $b$, and $c$ before using the quadratic formula.",,Short independent Intro evidence for the mapped current-section I-can.,Equation + Prose,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_ETB_01,Exit Ticket B,6.3,Review,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Short independent Review evidence for the routed prior-unit skill.,Expression,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.1,
U6_S3_ETB_02,Exit Ticket B,6.3,Review,I can apply structure to rewrite polynomial expressions in a more useful form.,,Short independent Review evidence for the routed prior-unit skill.,Expression,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.1,
U6_S3_ETB_03,Exit Ticket B,6.3,Review,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Short independent Review evidence for the routed prior-unit skill.,Expression + Prose,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.1,
U6_S3_ETB_04,Exit Ticket B,6.3,Review,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Short independent Review evidence for the routed prior-unit skill.,Expression,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.1,
U6_S3_ETC_01,Exit Ticket C,6.3,Mastery,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",U6-MG03,"Portfolio evidence slice for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Expression,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.4,
U6_S3_ETC_02,Exit Ticket C,6.3,Mastery,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",U6-MG03,"Portfolio evidence slice for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Expression,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.4,
U6_S3_ETC_03,Exit Ticket C,6.3,Mastery,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",U6-MG03,"Portfolio evidence slice for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Expression,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.4,
U6_S3_ETC_04,Exit Ticket C,6.3,Mastery,"I can formulate polynomial sums, differences, and products from area, perimeter, and expression contexts.",U6-MG03,"Portfolio evidence slice for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Context + Equation,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.4,
U6_S4_ETA_01,Exit Ticket A,6.4,Intro,I can formulate a solution-method plan based on the structure of a quadratic equation.,,Short independent Intro evidence for the mapped current-section I-can.,Equation,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_ETA_02,Exit Ticket A,6.4,Intro,"I can use factoring, completing the square, or the quadratic formula when the equation structure supports the method.",,Short independent Intro evidence for the mapped current-section I-can.,Equation,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_ETA_03,Exit Ticket A,6.4,Intro,I can formulate a solution-method plan based on the structure of a quadratic equation.,,Short independent Intro evidence for the mapped current-section I-can.,Table + Equation,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_ETA_04,Exit Ticket A,6.4,Intro,"I can critique a selected solution method for efficiency, accuracy, and fit to the equation.",,Short independent Intro evidence for the mapped current-section I-can.,Equation + Prose,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_ETB_01,Exit Ticket B,6.4,Review,I can apply difference-of-squares and perfect-square-trinomial patterns.,,Short independent Review evidence for the routed prior-unit skill.,Expression,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.3,
U6_S4_ETB_02,Exit Ticket B,6.4,Review,I can apply difference-of-squares and perfect-square-trinomial patterns.,,Short independent Review evidence for the routed prior-unit skill.,Expression,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.3,
U6_S4_ETB_03,Exit Ticket B,6.4,Review,I can assess whether a polynomial fits a special factoring pattern before rewriting it.,,Short independent Review evidence for the routed prior-unit skill.,Expression,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.3,
U6_S4_ETB_04,Exit Ticket B,6.4,Review,I can design a strategy for factoring special polynomial patterns.,,Short independent Review evidence for the routed prior-unit skill.,Expression + Prose,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.3,
U6_S4_ETC_01,Exit Ticket C,6.4,Mastery,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",U6-MG01,"Portfolio evidence slice for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Table,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.1,
U6_S4_ETC_02,Exit Ticket C,6.4,Mastery,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",U6-MG01,"Portfolio evidence slice for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Table,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.1,
U6_S4_ETC_03,Exit Ticket C,6.4,Mastery,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",U6-MG01,"Portfolio evidence slice for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Equation,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.1,
U6_S4_ETC_04,Exit Ticket C,6.4,Mastery,I can determine which representation gives the strongest evidence for a function family when features seem similar.,U6-MG01,"Portfolio evidence slice for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Table + Prose,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.1,
U6_S5_ETA_01,Exit Ticket A,6.5,Intro,"I can construct quadratic models from real-world constraints, data, or key features.",,Short independent Intro evidence for the mapped current-section I-can.,Equation + Key features,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_ETA_02,Exit Ticket A,6.5,Intro,"I can construct quadratic models from real-world constraints, data, or key features.",,Short independent Intro evidence for the mapped current-section I-can.,Equation + Key features,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_ETA_03,Exit Ticket A,6.5,Intro,"I can extend quadratic models to predict maximums, minimums, intercepts, and meaningful solution values.",,Short independent Intro evidence for the mapped current-section I-can.,Graph + Context,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_ETA_04,Exit Ticket A,6.5,Intro,I can assess whether a quadratic model and its solutions are reasonable for the situation.,,Short independent Intro evidence for the mapped current-section I-can.,Context + Equation,constructed/open response,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_ETB_01,Exit Ticket B,6.5,Review,I can build factored forms of quadratic trinomials using product-sum relationships.,,Short independent Review evidence for the routed prior-unit skill.,Expression,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.2,
U6_S5_ETB_02,Exit Ticket B,6.5,Review,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Short independent Review evidence for the routed prior-unit skill.,Expression,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.2,
U6_S5_ETB_03,Exit Ticket B,6.5,Review,I can build factored forms of quadratic trinomials using product-sum relationships.,,Short independent Review evidence for the routed prior-unit skill.,Equation + Number structure,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.2,
U6_S5_ETB_04,Exit Ticket B,6.5,Review,I can predict missing factors or terms by extending product-sum reasoning.,,Short independent Review evidence for the routed prior-unit skill.,Expression,constructed/open response,Unit 6 Assessment Plan Review evidence route + Algebra 1 Framework source section 5.2,
U6_S5_ETC_01,Exit Ticket C,6.5,Mastery,"I can design transformed graphs using stretches, compressions, reflections, and translations of parent functions.",U6-MG02,"Portfolio evidence slice for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Equation + Graph transformation,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.3,
U6_S5_ETC_02,Exit Ticket C,6.5,Mastery,I can apply transformation rules to key points and features across function families.,U6-MG02,"Portfolio evidence slice for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Coordinate point,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.3,
U6_S5_ETC_03,Exit Ticket C,6.5,Mastery,"I can assess whether an equation, graph, or table represents the same transformed function.",U6-MG02,"Portfolio evidence slice for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Equation + Points,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.3,
U6_S5_ETC_04,Exit Ticket C,6.5,Mastery,"I can design transformed graphs using stretches, compressions, reflections, and translations of parent functions.",U6-MG02,"Portfolio evidence slice for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Equation,constructed/open response,Unit 6 Assessment Plan Mastery/portfolio evidence route + Algebra 1 Framework source section 4.3,
U6_SUM_V1_Q01,Secure Summative V1,SUM,Mastery,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",U6-MG01,"Independent secure evidence for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Table + Prose,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V1
U6_SUM_V1_Q02,Secure Summative V1,SUM,Mastery,"I can assess whether an equation, graph, or table represents the same transformed function.",U6-MG02,"Independent secure evidence for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Equation + Key point,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V1
U6_SUM_V1_Q03,Secure Summative V1,SUM,Mastery,"I can formulate polynomial sums, differences, and products from area, perimeter, and expression contexts.",U6-MG03,"Independent secure evidence for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Context + Polynomial,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V1
U6_SUM_V1_Q04,Secure Summative V1,SUM,Mastery,I can predict graph features from equivalent quadratic expressions.,U6-MG04,"Independent secure evidence for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equation + Graph features,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V1
U6_SUM_V1_Q05,Secure Summative V1,SUM,Mastery,I can determine which representation gives the strongest evidence for a function family when features seem similar.,U6-MG01,"Independent secure evidence for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Graph + Prose,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V1
U6_SUM_V1_Q06,Secure Summative V1,SUM,Mastery,I can apply transformation rules to key points and features across function families.,U6-MG02,"Independent secure evidence for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Table + Equation + Key points,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V1
U6_SUM_V1_Q07,Secure Summative V1,SUM,Mastery,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",U6-MG03,"Independent secure evidence for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Context + Polynomial,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V1
U6_SUM_V1_Q08,Secure Summative V1,SUM,Mastery,"I can construct connections between polynomial structure, quadratic graphs, and key features.",U6-MG04,"Independent secure evidence for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equivalent equations + Graph features,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V1
U6_SUM_V2_Q01,Secure Summative V2,SUM,Mastery,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",U6-MG03,"Independent secure evidence for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Context + Polynomial,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V2
U6_SUM_V2_Q02,Secure Summative V2,SUM,Mastery,I can apply transformation rules to key points and features across function families.,U6-MG02,"Independent secure evidence for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Table + Equation + Key points,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V2
U6_SUM_V2_Q03,Secure Summative V2,SUM,Mastery,I can determine which representation gives the strongest evidence for a function family when features seem similar.,U6-MG01,"Independent secure evidence for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Table + Prose,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V2
U6_SUM_V2_Q04,Secure Summative V2,SUM,Mastery,"I can construct connections between polynomial structure, quadratic graphs, and key features.",U6-MG04,"Independent secure evidence for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equivalent equations + Graph features,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V2
U6_SUM_V2_Q05,Secure Summative V2,SUM,Mastery,"I can design transformed graphs using stretches, compressions, reflections, and translations of parent functions.",U6-MG02,"Independent secure evidence for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Equation + Key point,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V2
U6_SUM_V2_Q06,Secure Summative V2,SUM,Mastery,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",U6-MG03,"Independent secure evidence for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Context + Polynomial,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V2
U6_SUM_V2_Q07,Secure Summative V2,SUM,Mastery,"I can critique whether a polynomial expression supports a claimed vertex, intercept, axis of symmetry, or direction of opening.",U6-MG04,"Independent secure evidence for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equation + Graph features,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V2
U6_SUM_V2_Q08,Secure Summative V2,SUM,Mastery,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",U6-MG01,"Independent secure evidence for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Graph + Prose,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V2
U6_SUM_V3_Q01,Secure Summative V3,SUM,Mastery,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",U6-MG01,"Independent secure evidence for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Graph + Prose,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V3
U6_SUM_V3_Q02,Secure Summative V3,SUM,Mastery,I can extend polynomial operations to equivalent expressions written in different forms.,U6-MG03,"Independent secure evidence for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Context + Polynomial,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V3
U6_SUM_V3_Q03,Secure Summative V3,SUM,Mastery,"I can construct connections between polynomial structure, quadratic graphs, and key features.",U6-MG04,"Independent secure evidence for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equivalent equations + Graph features,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V3
U6_SUM_V3_Q04,Secure Summative V3,SUM,Mastery,I can apply transformation rules to key points and features across function families.,U6-MG02,"Independent secure evidence for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Equation + Key point,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V3
U6_SUM_V3_Q05,Secure Summative V3,SUM,Mastery,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",U6-MG03,"Independent secure evidence for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Context + Polynomial,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V3
U6_SUM_V3_Q06,Secure Summative V3,SUM,Mastery,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",U6-MG01,"Independent secure evidence for U6-MG01: Identify common function families using evidence from graphs, equations, tables, contexts, and key features.",Table + Prose,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V3
U6_SUM_V3_Q07,Secure Summative V3,SUM,Mastery,I can apply transformation rules to key points and features across function families.,U6-MG02,"Independent secure evidence for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Table + Equation + Key points,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V3
U6_SUM_V3_Q08,Secure Summative V3,SUM,Mastery,"I can construct connections between polynomial structure, quadratic graphs, and key features.",U6-MG04,"Independent secure evidence for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equation + Graph features,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V3
U6_SUM_V4_Q01,Secure Summative V4,SUM,Mastery,"I can assess whether an equation, graph, or table represents the same transformed function.",U6-MG02,"Independent secure evidence for U6-MG02: Represent translations, stretches, compressions, and reflections of parent functions across graphs, equations, tables, and key points.",Equation + Key point,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V4
U6_SUM_V4_Q02,Secure Summative V4,SUM,Mastery,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",U6-MG03,"Independent secure evidence for U6-MG03: Add, subtract, and multiply polynomial expressions using structure, like terms, equivalent forms, and area-based representations.",Context + Polynomial,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V4
U6_SUM_V4_Q03,Secure Summative V4,SUM,Mastery,I can predict graph features from equivalent quadratic expressions.,U6-MG04,"Independent secure evidence for U6-MG04: Connect polynomial and quadratic expression structure to graph features such as vertex, intercepts, symmetry, and direction of opening.",Equation + Graph features,constructed/open response,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning,V4
