version,question_number,bank_id,mastery_goal,exact_target,question_family_id,representation,response_type,estimated_time_sec,source_basis
V3,7,U6_SUM_V3_Q07,U6-MG02,I can apply transformation rules to key points and features across function families.,sum_transform_point_table_infer,Table + Equation + Key points,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V3,8,U6_SUM_V3_Q08,U6-MG04,"I can construct connections between polynomial structure, quadratic graphs, and key features.",sum_quad_structure_features,Equation + Graph features,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V4,1,U6_SUM_V4_Q01,U6-MG02,"I can assess whether an equation, graph, or table represents the same transformed function.",sum_transform_equation_point,Equation + Key point,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V4,2,U6_SUM_V4_Q02,U6-MG03,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",sum_poly_composite_area,Context + Polynomial,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V4,3,U6_SUM_V4_Q03,U6-MG04,I can predict graph features from equivalent quadratic expressions.,sum_quad_structure_features,Equation + Graph features,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V4,4,U6_SUM_V4_Q04,U6-MG01,I can determine which representation gives the strongest evidence for a function family when features seem similar.,sum_family_graph,Graph + Prose,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V4,5,U6_SUM_V4_Q05,U6-MG04,"I can construct connections between polynomial structure, quadratic graphs, and key features.",sum_quad_vertex_from_standard,Equivalent equations + Graph features,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V4,6,U6_SUM_V4_Q06,U6-MG03,"I can formulate polynomial sums, differences, and products from area, perimeter, and expression contexts.",sum_poly_area_product,Context + Polynomial,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V4,7,U6_SUM_V4_Q07,U6-MG01,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",sum_family_table,Table + Prose,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V4,8,U6_SUM_V4_Q08,U6-MG02,I can apply transformation rules to key points and features across function families.,sum_transform_point_table_infer,Table + Equation + Key points,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V5,1,U6_SUM_V5_Q01,U6-MG02,I can apply transformation rules to key points and features across function families.,sum_transform_table_rule,Table + Transformation rule,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V5,2,U6_SUM_V5_Q02,U6-MG04,"I can critique whether a polynomial expression supports a claimed vertex, intercept, axis of symmetry, or direction of opening.",sum_quad_claim_critique,Equation + Prose,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V5,3,U6_SUM_V5_Q03,U6-MG01,I can determine which representation gives the strongest evidence for a function family when features seem similar.,sum_family_table_model_select,Table + Equation + Prose,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V5,4,U6_SUM_V5_Q04,U6-MG03,I can extend polynomial operations to equivalent expressions written in different forms.,sum_poly_multioperation,Polynomial expression,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V5,5,U6_SUM_V5_Q05,U6-MG04,"I can construct connections between polynomial structure, quadratic graphs, and key features.",sum_alt_equivalent_quad_forms,Equations + Graph features,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V5,6,U6_SUM_V5_Q06,U6-MG02,"I can design transformed graphs using stretches, compressions, reflections, and translations of parent functions.",sum_alt_transform_abs,Equation + Key feature,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V5,7,U6_SUM_V5_Q07,U6-MG03,"I can formulate polynomial sums, differences, and products from area, perimeter, and expression contexts.",sum_alt_poly_area_model,Area model + Polynomial,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V5,8,U6_SUM_V5_Q08,U6-MG01,I can determine which representation gives the strongest evidence for a function family when features seem similar.,sum_alt_family_equation_table,Equation + Table + Prose,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V6,1,U6_SUM_V6_Q01,U6-MG03,I can extend polynomial operations to equivalent expressions written in different forms.,sum_poly_equivalent_forms,Context + Polynomial + Prose,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V6,2,U6_SUM_V6_Q02,U6-MG01,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",sum_family_context_model,Context + Equation + Table pattern,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V6,3,U6_SUM_V6_Q03,U6-MG02,"I can design transformed graphs using stretches, compressions, reflections, and translations of parent functions.",sum_transform_graph_to_equation,Graph + Equation,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V6,4,U6_SUM_V6_Q04,U6-MG04,"I can construct connections between polynomial structure, quadratic graphs, and key features.",sum_quad_table_structure,Table + Equation + Graph features,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V6,5,U6_SUM_V6_Q05,U6-MG01,I can determine which representation gives the strongest evidence for a function family when features seem similar.,sum_alt_family_ratio_evidence,Table + Prose,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V6,6,U6_SUM_V6_Q06,U6-MG03,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",sum_alt_poly_expand_combine,Polynomial expression,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V6,7,U6_SUM_V6_Q07,U6-MG04,"I can construct connections between polynomial structure, quadratic graphs, and key features.",sum_alt_equivalent_quad_forms,Equations + Graph features,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
V6,8,U6_SUM_V6_Q08,U6-MG02,"I can design transformed graphs using stretches, compressions, reflections, and translations of parent functions.",sum_alt_transform_sqrt_constraints,Equation + Key point,constructed/open response,270,Unit 6 Assessment Plan Summative mastery evidence + Algebra 1 Framework Unit 4 supporting learning
