bank_id,destination,section,spiral_stage,i_can,learning_target,question_family_id,variation,task_architecture,representation,response_type,mastery_goal,source_basis,summative_version
U6_S2_EX_01,Notes Example,6.2,Intro,I can build perfect-square trinomials by adding the needed constant term.,Students will solve quadratic equations by completing the square and connect the process to vertex form.,complete_square_constant,example-1,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_YTI_01,Notes YTI,6.2,Intro,I can build perfect-square trinomials by adding the needed constant term.,Students will solve quadratic equations by completing the square and connect the process to vertex form.,complete_square_constant,yti-1,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_EX_02,Notes Example,6.2,Intro,I can use completing the square to solve quadratic equations and write equivalent vertex-form expressions.,Students will solve quadratic equations by completing the square and connect the process to vertex form.,complete_square_solve,example-2,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_YTI_02,Notes YTI,6.2,Intro,I can use completing the square to solve quadratic equations and write equivalent vertex-form expressions.,Students will solve quadratic equations by completing the square and connect the process to vertex form.,complete_square_solve,yti-2,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_EX_03,Notes Example,6.2,Intro,I can use completing the square to solve quadratic equations and write equivalent vertex-form expressions.,Students will solve quadratic equations by completing the square and connect the process to vertex form.,standard_to_vertex,example-3,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_YTI_03,Notes YTI,6.2,Intro,I can use completing the square to solve quadratic equations and write equivalent vertex-form expressions.,Students will solve quadratic equations by completing the square and connect the process to vertex form.,standard_to_vertex,yti-3,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_EX_04,Notes Example,6.2,Intro,I can predict how completing the square reveals the vertex and symmetry of a quadratic function.,Students will solve quadratic equations by completing the square and connect the process to vertex form.,vertex_symmetry_graph,example-4,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_YTI_04,Notes YTI,6.2,Intro,I can predict how completing the square reveals the vertex and symmetry of a quadratic function.,Students will solve quadratic equations by completing the square and connect the process to vertex form.,vertex_symmetry_graph,yti-4,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Graph + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_EX_05,Notes Example,6.2,Intro,I can build perfect-square trinomials by adding the needed constant term.,Students will solve quadratic equations by completing the square and connect the process to vertex form.,complete_square_area_model,example-5,REPTRANS-GRAPH-TABLE-EQUATION-01,Diagram + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_YTI_05,Notes YTI,6.2,Intro,I can build perfect-square trinomials by adding the needed constant term.,Students will solve quadratic equations by completing the square and connect the process to vertex form.,complete_square_area_model,yti-5,REPTRANS-GRAPH-TABLE-EQUATION-01,Diagram + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_EX_06,Notes Example,6.2,Intro,I can predict how completing the square reveals the vertex and symmetry of a quadratic function.,Students will solve quadratic equations by completing the square and connect the process to vertex form.,vertex_form_context,example-6,PROC-MULTISTEP-CHAIN-01,Context + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S2_YTI_06,Notes YTI,6.2,Intro,I can predict how completing the square reveals the vertex and symmetry of a quadratic function.,Students will solve quadratic equations by completing the square and connect the process to vertex form.,vertex_form_context,yti-6,PROC-MULTISTEP-CHAIN-01,Context + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_EX_01,Notes Example,6.3,Intro,"I can design a coefficient map that organizes $a$, $b$, and $c$ before using the quadratic formula.",Students will solve quadratic equations using the quadratic formula and interpret solutions.,coefficient_map,example-1,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_YTI_01,Notes YTI,6.3,Intro,"I can design a coefficient map that organizes $a$, $b$, and $c$ before using the quadratic formula.",Students will solve quadratic equations using the quadratic formula and interpret solutions.,coefficient_map,yti-1,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_EX_02,Notes Example,6.3,Intro,"I can apply the quadratic formula to solve equations with rational, irrational, or no real solutions.",Students will solve quadratic equations using the quadratic formula and interpret solutions.,quadratic_formula_rational,example-2,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_YTI_02,Notes YTI,6.3,Intro,"I can apply the quadratic formula to solve equations with rational, irrational, or no real solutions.",Students will solve quadratic equations using the quadratic formula and interpret solutions.,quadratic_formula_rational,yti-2,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_EX_03,Notes Example,6.3,Intro,"I can apply the quadratic formula to solve equations with rational, irrational, or no real solutions.",Students will solve quadratic equations using the quadratic formula and interpret solutions.,quadratic_formula_irrational,example-3,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_YTI_03,Notes YTI,6.3,Intro,"I can apply the quadratic formula to solve equations with rational, irrational, or no real solutions.",Students will solve quadratic equations using the quadratic formula and interpret solutions.,quadratic_formula_irrational,yti-3,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_EX_04,Notes Example,6.3,Intro,I can assess how the discriminant predicts the number and type of real solutions.,Students will solve quadratic equations using the quadratic formula and interpret solutions.,discriminant_classify,example-4,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_YTI_04,Notes YTI,6.3,Intro,I can assess how the discriminant predicts the number and type of real solutions.,Students will solve quadratic equations using the quadratic formula and interpret solutions.,discriminant_classify,yti-4,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_EX_05,Notes Example,6.3,Intro,I can assess how the discriminant predicts the number and type of real solutions.,Students will solve quadratic equations using the quadratic formula and interpret solutions.,graph_discriminant_connection,example-5,GRAPH-INFER-BEHAVIOR-01,Graph + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_YTI_05,Notes YTI,6.3,Intro,I can assess how the discriminant predicts the number and type of real solutions.,Students will solve quadratic equations using the quadratic formula and interpret solutions.,graph_discriminant_connection,yti-5,GRAPH-INFER-BEHAVIOR-01,Graph + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_EX_06,Notes Example,6.3,Intro,I can assess how the discriminant predicts the number and type of real solutions.,Students will solve quadratic equations using the quadratic formula and interpret solutions.,discriminant_context,example-6,VERIFY-REASONABLENESS-01,Context + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S3_YTI_06,Notes YTI,6.3,Intro,I can assess how the discriminant predicts the number and type of real solutions.,Students will solve quadratic equations using the quadratic formula and interpret solutions.,discriminant_context,yti-6,VERIFY-REASONABLENESS-01,Context + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_EX_01,Notes Example,6.4,Intro,I can formulate a solution-method plan based on the structure of a quadratic equation.,"Students will compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",method_factor_ready,example-1,PROC-SELECT-STRATEGY-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_YTI_01,Notes YTI,6.4,Intro,I can formulate a solution-method plan based on the structure of a quadratic equation.,"Students will compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",method_factor_ready,yti-1,PROC-SELECT-STRATEGY-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_EX_02,Notes Example,6.4,Intro,I can formulate a solution-method plan based on the structure of a quadratic equation.,"Students will compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",method_complete_square,example-2,PROC-SELECT-STRATEGY-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_YTI_02,Notes YTI,6.4,Intro,I can formulate a solution-method plan based on the structure of a quadratic equation.,"Students will compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",method_complete_square,yti-2,PROC-SELECT-STRATEGY-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_EX_03,Notes Example,6.4,Intro,"I can use factoring, completing the square, or the quadratic formula when the equation structure supports the method.","Students will compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",method_formula,example-3,PROC-SELECT-STRATEGY-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_YTI_03,Notes YTI,6.4,Intro,"I can use factoring, completing the square, or the quadratic formula when the equation structure supports the method.","Students will compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",method_formula,yti-3,PROC-SELECT-STRATEGY-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_EX_04,Notes Example,6.4,Intro,"I can critique a selected solution method for efficiency, accuracy, and fit to the equation.","Students will compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",critique_method_efficiency,example-4,COMPARE-COMPETING-METHODS-01,Equation + Prose,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_YTI_04,Notes YTI,6.4,Intro,"I can critique a selected solution method for efficiency, accuracy, and fit to the equation.","Students will compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",critique_method_efficiency,yti-4,COMPARE-COMPETING-METHODS-01,Equation + Prose,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_EX_05,Notes Example,6.4,Intro,I can formulate a solution-method plan based on the structure of a quadratic equation.,"Students will compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",method_selection_table,example-5,COMPARE-EFFICIENCY-CONTEXT-01,Table + Equations,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_YTI_05,Notes YTI,6.4,Intro,I can formulate a solution-method plan based on the structure of a quadratic equation.,"Students will compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",method_selection_table,yti-5,COMPARE-EFFICIENCY-CONTEXT-01,Table + Equations,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_EX_06,Notes Example,6.4,Intro,"I can critique a selected solution method for efficiency, accuracy, and fit to the equation.","Students will compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",exact_vs_approx_method,example-6,COMPARE-EFFICIENCY-CONTEXT-01,Context + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S4_YTI_06,Notes YTI,6.4,Intro,"I can critique a selected solution method for efficiency, accuracy, and fit to the equation.","Students will compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",exact_vs_approx_method,yti-6,COMPARE-EFFICIENCY-CONTEXT-01,Context + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_EX_01,Notes Example,6.5,Intro,"I can construct quadratic models from real-world constraints, data, or key features.","Students will use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",construct_model_zeros_point,example-1,GRAPH-CONSTRUCT-FROM-CONSTRAINTS-01,Equation + Key features,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_YTI_01,Notes YTI,6.5,Intro,"I can construct quadratic models from real-world constraints, data, or key features.","Students will use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",construct_model_zeros_point,yti-1,GRAPH-CONSTRUCT-FROM-CONSTRAINTS-01,Equation + Key features,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_EX_02,Notes Example,6.5,Intro,"I can construct quadratic models from real-world constraints, data, or key features.","Students will use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",construct_model_vertex_point,example-2,GRAPH-CONSTRUCT-FROM-CONSTRAINTS-01,Equation + Key features,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_YTI_02,Notes YTI,6.5,Intro,"I can construct quadratic models from real-world constraints, data, or key features.","Students will use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",construct_model_vertex_point,yti-2,GRAPH-CONSTRUCT-FROM-CONSTRAINTS-01,Equation + Key features,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_EX_03,Notes Example,6.5,Intro,"I can extend quadratic models to predict maximums, minimums, intercepts, and meaningful solution values.","Students will use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",projectile_optimize_graph,example-3,GRAPH-INFER-BEHAVIOR-01,Graph + Context,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_YTI_03,Notes YTI,6.5,Intro,"I can extend quadratic models to predict maximums, minimums, intercepts, and meaningful solution values.","Students will use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",projectile_optimize_graph,yti-3,GRAPH-INFER-BEHAVIOR-01,Graph + Context,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_EX_04,Notes Example,6.5,Intro,"I can extend quadratic models to predict maximums, minimums, intercepts, and meaningful solution values.","Students will use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",area_optimization_context,example-4,OPTIMIZE-CONSTRAINED-ARRANGEMENT-01,Context + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_YTI_04,Notes YTI,6.5,Intro,"I can extend quadratic models to predict maximums, minimums, intercepts, and meaningful solution values.","Students will use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",area_optimization_context,yti-4,OPTIMIZE-CONSTRAINED-ARRANGEMENT-01,Context + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_EX_05,Notes Example,6.5,Intro,"I can construct quadratic models from real-world constraints, data, or key features.","Students will use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",table_to_quadratic_model,example-5,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_YTI_05,Notes YTI,6.5,Intro,"I can construct quadratic models from real-world constraints, data, or key features.","Students will use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",table_to_quadratic_model,yti-5,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_EX_06,Notes Example,6.5,Intro,I can assess whether a quadratic model and its solutions are reasonable for the situation.,"Students will use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",model_reasonableness_domain,example-6,VERIFY-REASONABLENESS-01,Context + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S5_YTI_06,Notes YTI,6.5,Intro,I can assess whether a quadratic model and its solutions are reasonable for the situation.,"Students will use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",model_reasonableness_domain,yti-6,VERIFY-REASONABLENESS-01,Context + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_01,Practice Set 1,6.1,Intro,I can apply the zero product property to solve quadratic equations in factored form.,Students will solve quadratic equations using factored form and interpret solutions.,p_zero_product,p1-01,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_02,Practice Set 1,6.1,Intro,I can apply the zero product property to solve quadratic equations in factored form.,Students will solve quadratic equations using factored form and interpret solutions.,p_zero_product,p1-02,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_03,Practice Set 1,6.1,Intro,I can apply the zero product property to solve quadratic equations in factored form.,Students will solve quadratic equations using factored form and interpret solutions.,p_zero_product,p1-03,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_04,Practice Set 1,6.1,Intro,I can apply the zero product property to solve quadratic equations in factored form.,Students will solve quadratic equations using factored form and interpret solutions.,p_zero_product,p1-04,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_05,Practice Set 1,6.1,Intro,"I can construct factored quadratic equations from given zeros, intercepts, or contextual constraints.",Students will solve quadratic equations using factored form and interpret solutions.,p_construct_factors,p1-05,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_06,Practice Set 1,6.1,Intro,"I can construct factored quadratic equations from given zeros, intercepts, or contextual constraints.",Students will solve quadratic equations using factored form and interpret solutions.,p_construct_factors,p1-06,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_07,Practice Set 1,6.1,Intro,"I can construct factored quadratic equations from given zeros, intercepts, or contextual constraints.",Students will solve quadratic equations using factored form and interpret solutions.,p_construct_factors,p1-07,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_08,Practice Set 1,6.1,Intro,"I can construct factored quadratic equations from given zeros, intercepts, or contextual constraints.",Students will solve quadratic equations using factored form and interpret solutions.,p_construct_factors,p1-08,PROC-DIRECT-EXECUTE-01,Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_09,Practice Set 1,6.1,Intro,I can determine whether solutions make sense in relation to a graph or context.,Students will solve quadratic equations using factored form and interpret solutions.,p_repeated_root,p1-09,FEATURE-EVALUATE-VS-SOLVE-01,Equation + Graph feature,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_10,Practice Set 1,6.1,Intro,I can determine whether solutions make sense in relation to a graph or context.,Students will solve quadratic equations using factored form and interpret solutions.,p_repeated_root,p1-10,FEATURE-EVALUATE-VS-SOLVE-01,Equation + Graph feature,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_11,Practice Set 1,6.1,Intro,I can determine whether solutions make sense in relation to a graph or context.,Students will solve quadratic equations using factored form and interpret solutions.,p_repeated_root,p1-11,FEATURE-EVALUATE-VS-SOLVE-01,Equation + Graph feature,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_12,Practice Set 1,6.1,Intro,I can determine whether solutions make sense in relation to a graph or context.,Students will solve quadratic equations using factored form and interpret solutions.,p_repeated_root,p1-12,FEATURE-EVALUATE-VS-SOLVE-01,Equation + Graph feature,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_13,Practice Set 1,6.1,Intro,I can determine whether solutions make sense in relation to a graph or context.,Students will solve quadratic equations using factored form and interpret solutions.,p_graph_roots,p1-13,GRAPH-INFER-BEHAVIOR-01,Graph,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_14,Practice Set 1,6.1,Intro,"I can construct factored quadratic equations from given zeros, intercepts, or contextual constraints.",Students will solve quadratic equations using factored form and interpret solutions.,p_table_roots,p1-14,REPTRANS-GRAPH-TABLE-EQUATION-01,Table + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_15,Practice Set 1,6.1,Intro,I can determine whether solutions make sense in relation to a graph or context.,Students will solve quadratic equations using factored form and interpret solutions.,p_context_ground_time,p1-15,VERIFY-REASONABLENESS-01,Context + Equation,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_16,Practice Set 1,6.1,Intro,I can apply the zero product property to solve quadratic equations in factored form.,Students will solve quadratic equations using factored form and interpret solutions.,p_error_zero_product,p1-16,ERROR-DIAGNOSE-WORKED-SOLUTION-01,Equation + Prose,constructed/open response,,Unit 6 Assessment Plan + Algebra 1 Framework v6.34,
U6_S1_P1_17,Practice Set 1,6.1,Review,I can use factored form to predict zeros and x-intercepts of quadratic graphs.,"Students will connect factors, zeros, intercepts, and graphs of quadratic functions.",r_factored_zeros,p1-17,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Equation + Graph features,constructed/open response,,Unit 6 Assessment Plan spiral Review route + Algebra 1 Framework source section 5.4,
U6_S1_P1_18,Practice Set 1,6.1,Review,I can formulate quadratic functions in factored form from zeros or intercepts.,"Students will connect factors, zeros, intercepts, and graphs of quadratic functions.",r_zeros_to_factored,p1-18,REPTRANS-GRAPH-TABLE-EQUATION-01,Graph features + Equation,constructed/open response,,Unit 6 Assessment Plan spiral Review route + Algebra 1 Framework source section 5.4,
U6_S1_P1_19,Practice Set 1,6.1,Review,"I can extend connections among factors, zeros, intercepts, and graph behavior.","Students will connect factors, zeros, intercepts, and graphs of quadratic functions.",r_factor_zero_connection,p1-19,FEATURE-EVALUATE-VS-SOLVE-01,Equation + Graph feature,constructed/open response,,Unit 6 Assessment Plan spiral Review route + Algebra 1 Framework source section 5.4,
U6_S1_P1_20,Practice Set 1,6.1,Review,"I can extend connections among factors, zeros, intercepts, and graph behavior.","Students will connect factors, zeros, intercepts, and graphs of quadratic functions.",r_verify_factored,p1-20,VERIFY-REASONABLENESS-01,Equation,constructed/open response,,Unit 6 Assessment Plan spiral Review route + Algebra 1 Framework source section 5.4,
