bank_id,destination,section,label,exact_target,mastery_goal,spiral_stage,question_family_id,variation,task_architecture,representation,response_type,security,summative_version
u5_51_008,Notes Example,5.1,Notes Example 4,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-VERIFY,example-4,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_51_009,Notes YTI,5.1,Notes YTI 4,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-VERIFY,yti-4,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_51_010,Notes Example,5.1,Notes Example 5,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-TERM-TABLE,example-5,REPRESENTATION-CONNECTION-01,Table,constructed/open response,instructional,
u5_51_011,Notes YTI,5.1,Notes YTI 5,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-TERM-TABLE,yti-5,REPRESENTATION-CONNECTION-01,Table,constructed/open response,instructional,
u5_51_012,Notes Example,5.1,Notes Example 6,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-ERROR-GCF,example-6,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_51_013,Notes YTI,5.1,Notes YTI 6,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-ERROR-GCF,yti-6,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_52_002,Notes Example,5.2,Notes Example 1,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC-POS,example-1,direct-procedure,Equation,constructed/open response,instructional,
u5_52_003,Notes YTI,5.2,Notes YTI 1,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC-POS,yti-1,direct-procedure,Equation,constructed/open response,instructional,
u5_52_004,Notes Example,5.2,Notes Example 2,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC-MIX,example-2,direct-procedure,Equation,constructed/open response,instructional,
u5_52_005,Notes YTI,5.2,Notes YTI 2,I can build factored forms of quadratic trinomials using product-sum relationships.,,Intro,S52-MONIC-MIX,yti-2,direct-procedure,Equation,constructed/open response,instructional,
u5_52_006,Notes Example,5.2,Notes Example 3,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,example-3,direct-procedure,Equation,constructed/open response,instructional,
u5_52_007,Notes YTI,5.2,Notes YTI 3,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-NONMONIC,yti-3,direct-procedure,Equation,constructed/open response,instructional,
u5_52_008,Notes Example,5.2,Notes Example 4,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-PRODUCT-SUM-TABLE,example-4,REPRESENTATION-CONNECTION-01,Table,constructed/open response,instructional,
u5_52_009,Notes YTI,5.2,Notes YTI 4,I can use patterns in coefficients and constants to factor quadratic trinomials.,,Intro,S52-PRODUCT-SUM-TABLE,yti-4,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_52_010,Notes Example,5.2,Notes Example 5,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-MISSING-FACTOR,example-5,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_52_011,Notes YTI,5.2,Notes YTI 5,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-MISSING-FACTOR,yti-5,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_52_012,Notes Example,5.2,Notes Example 6,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-ERROR-PRODUCT-SUM,example-6,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_52_013,Notes YTI,5.2,Notes YTI 6,I can predict missing factors or terms by extending product-sum reasoning.,,Intro,S52-ERROR-PRODUCT-SUM,yti-6,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_53_002,Notes Example,5.3,Notes Example 1,I can apply difference-of-squares and perfect-square-trinomial patterns.,,Intro,S53-DIFF-SQUARES,example-1,direct-procedure,Equation,constructed/open response,instructional,
u5_53_003,Notes YTI,5.3,Notes YTI 1,I can apply difference-of-squares and perfect-square-trinomial patterns.,,Intro,S53-DIFF-SQUARES,yti-1,direct-procedure,Equation,constructed/open response,instructional,
u5_53_004,Notes Example,5.3,Notes Example 2,I can apply difference-of-squares and perfect-square-trinomial patterns.,,Intro,S53-PERFECT-SQUARE,example-2,direct-procedure,Equation,constructed/open response,instructional,
u5_53_005,Notes YTI,5.3,Notes YTI 2,I can apply difference-of-squares and perfect-square-trinomial patterns.,,Intro,S53-PERFECT-SQUARE,yti-2,direct-procedure,Equation,constructed/open response,instructional,
u5_53_006,Notes Example,5.3,Notes Example 3,I can assess whether a polynomial fits a special factoring pattern before rewriting it.,,Intro,S53-PATTERN-CHECK,example-3,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_53_007,Notes YTI,5.3,Notes YTI 3,I can assess whether a polynomial fits a special factoring pattern before rewriting it.,,Intro,S53-PATTERN-CHECK,yti-3,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_53_008,Notes Example,5.3,Notes Example 4,I can design a strategy for factoring special polynomial patterns.,,Intro,S53-GCF-THEN-SPECIAL,example-4,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_53_009,Notes YTI,5.3,Notes YTI 4,I can design a strategy for factoring special polynomial patterns.,,Intro,S53-GCF-THEN-SPECIAL,yti-4,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_53_010,Notes Example,5.3,Notes Example 5,I can assess whether a polynomial fits a special factoring pattern before rewriting it.,,Intro,S53-REVERSE-PATTERN,example-5,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_53_011,Notes YTI,5.3,Notes YTI 5,I can assess whether a polynomial fits a special factoring pattern before rewriting it.,,Intro,S53-REVERSE-PATTERN,yti-5,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_53_012,Notes Example,5.3,Notes Example 6,I can design a strategy for factoring special polynomial patterns.,,Intro,S53-LOOKALIKE-COMPARE,example-6,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_53_013,Notes YTI,5.3,Notes YTI 6,I can design a strategy for factoring special polynomial patterns.,,Intro,S53-LOOKALIKE-COMPARE,yti-6,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_54_002,Notes Example,5.4,Notes Example 1,I can use factored form to predict zeros and x-intercepts of quadratic graphs.,,Intro,S54-FACTORS-TO-ZEROS,example-1,direct-procedure,Equation,constructed/open response,instructional,
u5_54_003,Notes YTI,5.4,Notes YTI 1,I can use factored form to predict zeros and x-intercepts of quadratic graphs.,,Intro,S54-FACTORS-TO-ZEROS,yti-1,direct-procedure,Equation,constructed/open response,instructional,
u5_54_004,Notes Example,5.4,Notes Example 2,I can formulate quadratic functions in factored form from zeros or intercepts.,,Intro,S54-ZEROS-TO-FACTORS,example-2,direct-procedure,Equation,constructed/open response,instructional,
u5_54_005,Notes YTI,5.4,Notes YTI 2,I can formulate quadratic functions in factored form from zeros or intercepts.,,Intro,S54-ZEROS-TO-FACTORS,yti-2,direct-procedure,Equation,constructed/open response,instructional,
u5_54_006,Notes Example,5.4,Notes Example 3,"I can extend connections among factors, zeros, intercepts, and graph behavior.",,Intro,S54-GRAPH-TO-FACTORS,example-3,REPRESENTATION-CONNECTION-01,Graph,constructed/open response,instructional,
u5_54_007,Notes YTI,5.4,Notes YTI 3,"I can extend connections among factors, zeros, intercepts, and graph behavior.",,Intro,S54-GRAPH-TO-FACTORS,yti-3,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_54_008,Notes Example,5.4,Notes Example 4,"I can extend connections among factors, zeros, intercepts, and graph behavior.",,Intro,S54-TABLE-ZEROS,example-4,REPRESENTATION-CONNECTION-01,Table,constructed/open response,instructional,
u5_54_009,Notes YTI,5.4,Notes YTI 4,"I can extend connections among factors, zeros, intercepts, and graph behavior.",,Intro,S54-TABLE-ZEROS,yti-4,REPRESENTATION-CONNECTION-01,Table,constructed/open response,instructional,
u5_54_010,Notes Example,5.4,Notes Example 5,I can use factored form to predict zeros and x-intercepts of quadratic graphs.,,Intro,S54-ZERO-PRODUCT,example-5,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_54_011,Notes YTI,5.4,Notes YTI 5,I can use factored form to predict zeros and x-intercepts of quadratic graphs.,,Intro,S54-ZERO-PRODUCT,yti-5,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_54_012,Notes Example,5.4,Notes Example 6,I can formulate quadratic functions in factored form from zeros or intercepts.,,Intro,S54-DETERMINE-A,example-6,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_54_013,Notes YTI,5.4,Notes YTI 6,I can formulate quadratic functions in factored form from zeros or intercepts.,,Intro,S54-DETERMINE-A,yti-6,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_55_002,Notes Example,5.5,Notes Example 1,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",,Intro,S55-VERTEX-FROM-FORM,example-1,direct-procedure,Equation,constructed/open response,instructional,
u5_55_003,Notes YTI,5.5,Notes YTI 1,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",,Intro,S55-VERTEX-FROM-FORM,yti-1,direct-procedure,Equation,constructed/open response,instructional,
u5_55_004,Notes Example,5.5,Notes Example 2,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",,Intro,S55-ZEROS-FROM-FORM,example-2,direct-procedure,Equation,constructed/open response,instructional,
u5_55_005,Notes YTI,5.5,Notes YTI 2,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",,Intro,S55-ZEROS-FROM-FORM,yti-2,direct-procedure,Equation,constructed/open response,instructional,
u5_55_006,Notes Example,5.5,Notes Example 3,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",,Intro,S55-YINTERCEPT-STANDARD,example-3,direct-procedure,Equation,constructed/open response,instructional,
u5_55_007,Notes YTI,5.5,Notes YTI 3,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",,Intro,S55-YINTERCEPT-STANDARD,yti-3,direct-procedure,Equation,constructed/open response,instructional,
u5_55_008,Notes Example,5.5,Notes Example 4,I can construct equivalent quadratic forms to reveal different key features.,,Intro,S55-FACTORED-TO-STANDARD,example-4,direct-procedure,Equation,constructed/open response,instructional,
u5_55_009,Notes YTI,5.5,Notes YTI 4,I can construct equivalent quadratic forms to reveal different key features.,,Intro,S55-FACTORED-TO-STANDARD,yti-4,direct-procedure,Equation,constructed/open response,instructional,
u5_55_010,Notes Example,5.5,Notes Example 5,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",,Intro,S55-FORM-FEATURE-MATCH,example-5,REPRESENTATION-CONNECTION-01,Graph + Equation,constructed/open response,instructional,
u5_55_011,Notes YTI,5.5,Notes YTI 5,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",,Intro,S55-FORM-FEATURE-MATCH,yti-5,REPRESENTATION-CONNECTION-01,Equation,constructed/open response,instructional,
u5_55_012,Notes Example,5.5,Notes Example 6,I can critique which quadratic form best supports a given question or context.,,Intro,S55-CHOOSE-FORM,example-6,REPRESENTATION-CONNECTION-01,Context,constructed/open response,instructional,
u5_55_013,Notes YTI,5.5,Notes YTI 6,I can critique which quadratic form best supports a given question or context.,,Intro,S55-CHOOSE-FORM,yti-6,REPRESENTATION-CONNECTION-01,Context,constructed/open response,instructional,
u5_51_014,Practice Set 1,5.1,Practice Set 1 — 1,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form1-q01,direct-procedure,Equation,constructed/open response,instructional,
u5_51_015,Practice Set 1,5.1,Practice Set 1 — 2,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form1-q02,direct-procedure,Equation,constructed/open response,instructional,
u5_51_016,Practice Set 1,5.1,Practice Set 1 — 3,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form1-q03,direct-procedure,Equation,constructed/open response,instructional,
u5_51_017,Practice Set 1,5.1,Practice Set 1 — 4,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form1-q04,direct-procedure,Equation,constructed/open response,instructional,
u5_51_018,Practice Set 1,5.1,Practice Set 1 — 5,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form1-q05,direct-procedure,Equation,constructed/open response,instructional,
u5_51_019,Practice Set 1,5.1,Practice Set 1 — 6,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form1-q06,direct-procedure,Equation,constructed/open response,instructional,
u5_51_020,Practice Set 1,5.1,Practice Set 1 — 7,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form1-q07,direct-procedure,Equation,constructed/open response,instructional,
u5_51_021,Practice Set 1,5.1,Practice Set 1 — 8,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form1-q08,direct-procedure,Equation,constructed/open response,instructional,
u5_51_022,Practice Set 1,5.1,Practice Set 1 — 9,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form1-q09,direct-procedure,Equation,constructed/open response,instructional,
u5_51_023,Practice Set 1,5.1,Practice Set 1 — 10,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form1-q10,direct-procedure,Equation,constructed/open response,instructional,
u5_51_024,Practice Set 1,5.1,Practice Set 1 — 11,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form1-q11,direct-procedure,Equation,constructed/open response,instructional,
u5_51_025,Practice Set 1,5.1,Practice Set 1 — 12,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form1-q12,direct-procedure,Equation,constructed/open response,instructional,
u5_51_026,Practice Set 1,5.1,Practice Set 1 — 13,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-TERM-TABLE,form1-q13,REPTRANS-TABLE-EQUATION-01,Table,constructed/open response,instructional,
u5_51_027,Practice Set 1,5.1,Practice Set 1 — 14,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-MISSING-FACTOR,form1-q14,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_51_028,Practice Set 1,5.1,Practice Set 1 — 15,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-VERIFY,form1-q15,direct-procedure,Equation,constructed/open response,instructional,
u5_51_029,Practice Set 1,5.1,Practice Set 1 — 16,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-ERROR-GCF,form1-q16,ERROR-DIAGNOSE-WORKED-SOLUTION-01,Equation,constructed/open response,instructional,
u5_51_030,Practice Set 1,5.1,Practice Set 1 — 17,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-NEGATIVE-GCF,form1-q17,direct-procedure,Equation,constructed/open response,instructional,
u5_51_031,Practice Set 1,5.1,Practice Set 1 — 18,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-AREA-STRUCTURE,form1-q18,REPTRANS-CONTEXT-EQUATION-01,Context,constructed/open response,instructional,
u5_51_032,Practice Set 1,5.1,Practice Set 1 — 19,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-COMPARE-FORMS,form1-q19,COMPARE-MODEL-SELECTION-01,Equation,constructed/open response,instructional,
u5_51_033,Practice Set 1,5.1,Practice Set 1 — 20,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-REVERSE-EXPAND,form1-q20,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_51_034,Practice Set 1,5.1,Practice Set 1 — 21,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form1-q21,direct-procedure,Equation,constructed/open response,instructional,
u5_51_035,Practice Set 1,5.1,Practice Set 1 — 22,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-VERIFY,form1-q22,direct-procedure,Equation,constructed/open response,instructional,
u5_51_036,Practice Set 1,5.1,Practice Set 1 — 23,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-SHARED-QUANTITY,form1-q23,REPTRANS-CONTEXT-EQUATION-01,Context,constructed/open response,instructional,
u5_51_037,Practice Set 1,5.1,Practice Set 1 — 24,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-CRITIQUE-GCF,form1-q24,COMPARE-MODEL-SELECTION-01,Equation,constructed/open response,instructional,
u5_51_038,Practice Set 2,5.1,Practice Set 2 — 1,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form2-q01,direct-procedure,Equation,constructed/open response,instructional,
u5_51_039,Practice Set 2,5.1,Practice Set 2 — 2,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form2-q02,direct-procedure,Equation,constructed/open response,instructional,
u5_51_040,Practice Set 2,5.1,Practice Set 2 — 3,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form2-q03,direct-procedure,Equation,constructed/open response,instructional,
u5_51_041,Practice Set 2,5.1,Practice Set 2 — 4,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form2-q04,direct-procedure,Equation,constructed/open response,instructional,
u5_51_042,Practice Set 2,5.1,Practice Set 2 — 5,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form2-q05,direct-procedure,Equation,constructed/open response,instructional,
u5_51_043,Practice Set 2,5.1,Practice Set 2 — 6,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form2-q06,direct-procedure,Equation,constructed/open response,instructional,
u5_51_044,Practice Set 2,5.1,Practice Set 2 — 7,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form2-q07,direct-procedure,Equation,constructed/open response,instructional,
u5_51_045,Practice Set 2,5.1,Practice Set 2 — 8,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form2-q08,direct-procedure,Equation,constructed/open response,instructional,
u5_51_046,Practice Set 2,5.1,Practice Set 2 — 9,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form2-q09,direct-procedure,Equation,constructed/open response,instructional,
u5_51_047,Practice Set 2,5.1,Practice Set 2 — 10,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form2-q10,direct-procedure,Equation,constructed/open response,instructional,
u5_51_048,Practice Set 2,5.1,Practice Set 2 — 11,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form2-q11,direct-procedure,Equation,constructed/open response,instructional,
u5_51_049,Practice Set 2,5.1,Practice Set 2 — 12,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form2-q12,direct-procedure,Equation,constructed/open response,instructional,
u5_51_050,Practice Set 2,5.1,Practice Set 2 — 13,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-TERM-TABLE,form2-q13,REPTRANS-TABLE-EQUATION-01,Table,constructed/open response,instructional,
u5_51_051,Practice Set 2,5.1,Practice Set 2 — 14,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-MISSING-FACTOR,form2-q14,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_51_052,Practice Set 2,5.1,Practice Set 2 — 15,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-VERIFY,form2-q15,direct-procedure,Equation,constructed/open response,instructional,
u5_51_053,Practice Set 2,5.1,Practice Set 2 — 16,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-ERROR-GCF,form2-q16,ERROR-DIAGNOSE-WORKED-SOLUTION-01,Equation,constructed/open response,instructional,
u5_51_054,Practice Set 2,5.1,Practice Set 2 — 17,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-NEGATIVE-GCF,form2-q17,direct-procedure,Equation,constructed/open response,instructional,
u5_51_055,Practice Set 2,5.1,Practice Set 2 — 18,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-AREA-STRUCTURE,form2-q18,REPTRANS-CONTEXT-EQUATION-01,Context,constructed/open response,instructional,
u5_51_056,Practice Set 2,5.1,Practice Set 2 — 19,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-COMPARE-FORMS,form2-q19,COMPARE-MODEL-SELECTION-01,Equation,constructed/open response,instructional,
u5_51_057,Practice Set 2,5.1,Practice Set 2 — 20,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-REVERSE-EXPAND,form2-q20,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
u5_51_058,Practice Set 2,5.1,Practice Set 2 — 21,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form2-q21,direct-procedure,Equation,constructed/open response,instructional,
u5_51_059,Practice Set 2,5.1,Practice Set 2 — 22,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-VERIFY,form2-q22,direct-procedure,Equation,constructed/open response,instructional,
u5_51_060,Practice Set 2,5.1,Practice Set 2 — 23,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-SHARED-QUANTITY,form2-q23,REPTRANS-CONTEXT-EQUATION-01,Context,constructed/open response,instructional,
u5_51_061,Practice Set 2,5.1,Practice Set 2 — 24,I can determine whether a rewritten expression is reasonable by checking common factors and equivalent products.,,Intro,S51-CRITIQUE-GCF,form2-q24,COMPARE-MODEL-SELECTION-01,Equation,constructed/open response,instructional,
u5_51_062,Practice Set 3,5.1,Practice Set 3 — 1,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form3-q01,direct-procedure,Equation,constructed/open response,instructional,
u5_51_063,Practice Set 3,5.1,Practice Set 3 — 2,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form3-q02,direct-procedure,Equation,constructed/open response,instructional,
u5_51_064,Practice Set 3,5.1,Practice Set 3 — 3,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form3-q03,direct-procedure,Equation,constructed/open response,instructional,
u5_51_065,Practice Set 3,5.1,Practice Set 3 — 4,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-2TERM,form3-q04,direct-procedure,Equation,constructed/open response,instructional,
u5_51_066,Practice Set 3,5.1,Practice Set 3 — 5,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form3-q05,direct-procedure,Equation,constructed/open response,instructional,
u5_51_067,Practice Set 3,5.1,Practice Set 3 — 6,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form3-q06,direct-procedure,Equation,constructed/open response,instructional,
u5_51_068,Practice Set 3,5.1,Practice Set 3 — 7,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form3-q07,direct-procedure,Equation,constructed/open response,instructional,
u5_51_069,Practice Set 3,5.1,Practice Set 3 — 8,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-3TERM,form3-q08,direct-procedure,Equation,constructed/open response,instructional,
u5_51_070,Practice Set 3,5.1,Practice Set 3 — 9,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form3-q09,direct-procedure,Equation,constructed/open response,instructional,
u5_51_071,Practice Set 3,5.1,Practice Set 3 — 10,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form3-q10,direct-procedure,Equation,constructed/open response,instructional,
u5_51_072,Practice Set 3,5.1,Practice Set 3 — 11,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form3-q11,direct-procedure,Equation,constructed/open response,instructional,
u5_51_073,Practice Set 3,5.1,Practice Set 3 — 12,I can construct equivalent polynomial expressions by factoring out a greatest common factor.,,Intro,S51-GCF-VARIABLE,form3-q12,direct-procedure,Equation,constructed/open response,instructional,
u5_51_074,Practice Set 3,5.1,Practice Set 3 — 13,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-TERM-TABLE,form3-q13,REPTRANS-TABLE-EQUATION-01,Table,constructed/open response,instructional,
u5_51_075,Practice Set 3,5.1,Practice Set 3 — 14,I can apply structure to rewrite polynomial expressions in a more useful form.,,Intro,S51-MISSING-FACTOR,form3-q14,INVERSE-REVERSE-REASONING-01,Equation,constructed/open response,instructional,
