summative_version,order,bank_id,mastery_goal,exact_target,question_family_id,representation,response_type,estimated_time_sec,source_basis
V3,5,u5_sum_v3_05,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",SUM-MG01-TYPE,Graph,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V3,6,u5_sum_v3_06,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",SUM-INTEGRATED,Context,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V4,1,u5_sum_v4_01,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",SUM-MG04-SYSTEM-INEQ,Graph,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V4,2,u5_sum_v4_02,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",SUM-INTEGRATED,Context,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V4,3,u5_sum_v4_03,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",SUM-MG01-SOLVE,Equation,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V4,4,u5_sum_v4_04,U5-MG03,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,SUM-MG03-INEQ,Graph,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V4,5,u5_sum_v4_05,U5-MG02,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",SUM-MG02-MODEL,Context,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V4,6,u5_sum_v4_06,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",SUM-MG01-TYPE,Graph,constructed/open response,390,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V5,1,u5_sum_v5_01,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",ALT5-MG01-TABLE,Graph,constructed/open response,420,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V5,2,u5_sum_v5_02,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",ALT5-MG04-VERTICES,Graph,constructed/open response,420,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V5,3,u5_sum_v5_03,U5-MG02,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",ALT5-MG02-RATES,Context,constructed/open response,420,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V5,4,u5_sum_v5_04,U5-MG03,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,ALT5-MG03-ERROR,Graph,constructed/open response,420,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V5,5,u5_sum_v5_05,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",ALT5-MG01-METHOD,Equation,constructed/open response,420,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V5,6,u5_sum_v5_06,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",ALT5-MG04-CREATE,Equation,constructed/open response,420,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V6,1,u5_sum_v6_01,U5-MG02,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",ALT6-MG02-MIXTURE,Context,constructed/open response,420,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V6,2,u5_sum_v6_02,U5-MG03,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,ALT6-MG03-TESTPOINT,Graph,constructed/open response,420,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V6,3,u5_sum_v6_03,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",ALT6-MG01-COMPARE,Equation,constructed/open response,420,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V6,4,u5_sum_v6_04,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",ALT6-MG04-CONTEXT,Graph,constructed/open response,420,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V6,5,u5_sum_v6_05,U5-MG01,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",ALT6-MG01-GRAPH,Graph,constructed/open response,420,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
V6,6,u5_sum_v6_06,U5-MG04,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",ALT6-MG04-CRITIQUE,Context,constructed/open response,420,Original Unit 5 Assessment Plan Mastery Goals; current Algebra 1 Framework Summative profile
