bank_id,destination,section,spiral_stage,exact_target,mastery_goal,expected_evidence,representation,security,summative_version
u5_53_130,Exit Ticket A,5.3,Intro,I can design a strategy for factoring special polynomial patterns.,,Intro evidence for I can design a strategy for factoring special polynomial patterns.,Equation,instructional,
u5_53_131,Exit Ticket A,5.3,Intro,I can assess whether a polynomial fits a special factoring pattern before rewriting it.,,Intro evidence for I can assess whether a polynomial fits a special factoring pattern before rewriting it.,Equation,instructional,
u5_53_132,Exit Ticket B,5.3,Review,"Identify common function families from graphs, equations, tables, and contexts.",,"Review evidence: Identify common function families from graphs, equations, tables, and contexts.",Equation,instructional,
u5_53_133,Exit Ticket B,5.3,Review,"Identify common function families from graphs, equations, tables, and contexts.",,"Review evidence: Identify common function families from graphs, equations, tables, and contexts.",Graph,instructional,
u5_53_134,Exit Ticket B,5.3,Review,"Identify common function families from graphs, equations, tables, and contexts.",,"Review evidence: Identify common function families from graphs, equations, tables, and contexts.",Table,instructional,
u5_53_135,Exit Ticket B,5.3,Review,"Identify common function families from graphs, equations, tables, and contexts.",,"Review evidence: Identify common function families from graphs, equations, tables, and contexts.",Context,instructional,
u5_53_136,Exit Ticket C,5.3,Mastery,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",U5-MG02,"Portfolio evidence for U5-MG02: Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",Context,instructional,
u5_53_137,Exit Ticket C,5.3,Mastery,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",U5-MG02,"Portfolio evidence for U5-MG02: Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",Context,instructional,
u5_53_138,Exit Ticket C,5.3,Mastery,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",U5-MG02,"Portfolio evidence for U5-MG02: Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",Context,instructional,
u5_53_139,Exit Ticket C,5.3,Mastery,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",U5-MG02,"Portfolio evidence for U5-MG02: Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",Context,instructional,
u5_54_128,Exit Ticket A,5.4,Intro,I can use factored form to predict zeros and x-intercepts of quadratic graphs.,,Intro evidence for I can use factored form to predict zeros and x-intercepts of quadratic graphs.,Equation,instructional,
u5_54_129,Exit Ticket A,5.4,Intro,I can formulate quadratic functions in factored form from zeros or intercepts.,,Intro evidence for I can formulate quadratic functions in factored form from zeros or intercepts.,Equation,instructional,
u5_54_130,Exit Ticket A,5.4,Intro,I can use factored form to predict zeros and x-intercepts of quadratic graphs.,,Intro evidence for I can use factored form to predict zeros and x-intercepts of quadratic graphs.,Equation,instructional,
u5_54_131,Exit Ticket A,5.4,Intro,"I can extend connections among factors, zeros, intercepts, and graph behavior.",,"Intro evidence for I can extend connections among factors, zeros, intercepts, and graph behavior.",Table,instructional,
u5_54_132,Exit Ticket B,5.4,Review,Graph and write translated functions using key points and key features.,,Review evidence: Graph and write translated functions using key points and key features.,Equation,instructional,
u5_54_133,Exit Ticket B,5.4,Review,Graph and write translated functions using key points and key features.,,Review evidence: Graph and write translated functions using key points and key features.,Equation,instructional,
u5_54_134,Exit Ticket B,5.4,Review,Graph and write translated functions using key points and key features.,,Review evidence: Graph and write translated functions using key points and key features.,Equation,instructional,
u5_54_135,Exit Ticket B,5.4,Review,Graph and write translated functions using key points and key features.,,Review evidence: Graph and write translated functions using key points and key features.,Equation,instructional,
u5_54_136,Exit Ticket C,5.4,Mastery,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,U5-MG03,Portfolio evidence for U5-MG03: Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,Graph,instructional,
u5_54_137,Exit Ticket C,5.4,Mastery,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,U5-MG03,Portfolio evidence for U5-MG03: Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,Equation,instructional,
u5_54_138,Exit Ticket C,5.4,Mastery,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,U5-MG03,Portfolio evidence for U5-MG03: Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,Equation,instructional,
u5_54_139,Exit Ticket C,5.4,Mastery,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,U5-MG03,Portfolio evidence for U5-MG03: Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,Equation,instructional,
u5_55_128,Exit Ticket A,5.5,Intro,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",,"Intro evidence for I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",Equation,instructional,
u5_55_129,Exit Ticket A,5.5,Intro,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",,"Intro evidence for I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",Equation,instructional,
u5_55_130,Exit Ticket A,5.5,Intro,"I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",,"Intro evidence for I can interpret standard, vertex, and factored forms to read key features of quadratic functions.",Equation,instructional,
u5_55_131,Exit Ticket A,5.5,Intro,I can critique which quadratic form best supports a given question or context.,,Intro evidence for I can critique which quadratic form best supports a given question or context.,Equation,instructional,
u5_55_132,Exit Ticket B,5.5,Review,"Analyze and graph transformations involving stretches, compressions, and reflections.",,"Review evidence: Analyze and graph transformations involving stretches, compressions, and reflections.",Equation,instructional,
u5_55_133,Exit Ticket B,5.5,Review,"Analyze and graph transformations involving stretches, compressions, and reflections.",,"Review evidence: Analyze and graph transformations involving stretches, compressions, and reflections.",Equation,instructional,
u5_55_134,Exit Ticket B,5.5,Review,"Analyze and graph transformations involving stretches, compressions, and reflections.",,"Review evidence: Analyze and graph transformations involving stretches, compressions, and reflections.",Equation,instructional,
u5_55_135,Exit Ticket B,5.5,Review,"Analyze and graph transformations involving stretches, compressions, and reflections.",,"Review evidence: Analyze and graph transformations involving stretches, compressions, and reflections.",Equation,instructional,
u5_55_136,Exit Ticket C,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Portfolio evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Graph,instructional,
u5_55_137,Exit Ticket C,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Portfolio evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Equation,instructional,
u5_55_138,Exit Ticket C,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Portfolio evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Equation,instructional,
u5_55_139,Exit Ticket C,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Portfolio evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Context,instructional,
u5_sum_v1_01,Secure Summative,5.5,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Secure summative evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Equation,summative-secure,V1
u5_sum_v1_02,Secure Summative,5.5,Mastery,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",U5-MG02,"Secure summative evidence for U5-MG02: Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",Context,summative-secure,V1
u5_sum_v1_03,Secure Summative,5.5,Mastery,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,U5-MG03,Secure summative evidence for U5-MG03: Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,Graph,summative-secure,V1
u5_sum_v1_04,Secure Summative,5.5,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Secure summative evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Graph,summative-secure,V1
u5_sum_v1_05,Secure Summative,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Secure summative evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Graph,summative-secure,V1
u5_sum_v1_06,Secure Summative,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Secure summative evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Context,summative-secure,V1
u5_sum_v2_01,Secure Summative,5.5,Mastery,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",U5-MG02,"Secure summative evidence for U5-MG02: Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",Context,summative-secure,V2
u5_sum_v2_02,Secure Summative,5.5,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Secure summative evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Graph,summative-secure,V2
u5_sum_v2_03,Secure Summative,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Secure summative evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Graph,summative-secure,V2
u5_sum_v2_04,Secure Summative,5.5,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Secure summative evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Equation,summative-secure,V2
u5_sum_v2_05,Secure Summative,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Secure summative evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Context,summative-secure,V2
u5_sum_v2_06,Secure Summative,5.5,Mastery,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,U5-MG03,Secure summative evidence for U5-MG03: Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,Graph,summative-secure,V2
u5_sum_v3_01,Secure Summative,5.5,Mastery,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,U5-MG03,Secure summative evidence for U5-MG03: Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,Graph,summative-secure,V3
u5_sum_v3_02,Secure Summative,5.5,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Secure summative evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Equation,summative-secure,V3
u5_sum_v3_03,Secure Summative,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Secure summative evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Graph,summative-secure,V3
u5_sum_v3_04,Secure Summative,5.5,Mastery,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",U5-MG02,"Secure summative evidence for U5-MG02: Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",Context,summative-secure,V3
u5_sum_v3_05,Secure Summative,5.5,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Secure summative evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Graph,summative-secure,V3
u5_sum_v3_06,Secure Summative,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Secure summative evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Context,summative-secure,V3
u5_sum_v4_01,Secure Summative,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Secure summative evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Graph,summative-secure,V4
u5_sum_v4_02,Secure Summative,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Secure summative evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Context,summative-secure,V4
u5_sum_v4_03,Secure Summative,5.5,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Secure summative evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Equation,summative-secure,V4
u5_sum_v4_04,Secure Summative,5.5,Mastery,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,U5-MG03,Secure summative evidence for U5-MG03: Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,Graph,summative-secure,V4
u5_sum_v4_05,Secure Summative,5.5,Mastery,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",U5-MG02,"Secure summative evidence for U5-MG02: Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",Context,summative-secure,V4
u5_sum_v4_06,Secure Summative,5.5,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Secure summative evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Graph,summative-secure,V4
u5_sum_v5_01,Secure Summative,5.5,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Secure summative evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Graph,summative-secure,V5
u5_sum_v5_02,Secure Summative,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Secure summative evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Graph,summative-secure,V5
u5_sum_v5_03,Secure Summative,5.5,Mastery,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",U5-MG02,"Secure summative evidence for U5-MG02: Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",Context,summative-secure,V5
u5_sum_v5_04,Secure Summative,5.5,Mastery,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,U5-MG03,Secure summative evidence for U5-MG03: Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,Graph,summative-secure,V5
u5_sum_v5_05,Secure Summative,5.5,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Secure summative evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Equation,summative-secure,V5
u5_sum_v5_06,Secure Summative,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Secure summative evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Equation,summative-secure,V5
u5_sum_v6_01,Secure Summative,5.5,Mastery,"Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",U5-MG02,"Secure summative evidence for U5-MG02: Write and solve systems that model two constraints in a situation, define variables, and interpret the ordered-pair solution.",Context,summative-secure,V6
u5_sum_v6_02,Secure Summative,5.5,Mastery,Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,U5-MG03,Secure summative evidence for U5-MG03: Graph linear inequalities with correct boundary lines and shading and use test points to interpret solution regions.,Graph,summative-secure,V6
u5_sum_v6_03,Secure Summative,5.5,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Secure summative evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Equation,summative-secure,V6
u5_sum_v6_04,Secure Summative,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Secure summative evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Graph,summative-secure,V6
u5_sum_v6_05,Secure Summative,5.5,Mastery,"Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",U5-MG01,"Secure summative evidence for U5-MG01: Solve systems of linear equations graphically and algebraically, choose efficient methods, and interpret one, none, or infinitely many solutions.",Graph,summative-secure,V6
u5_sum_v6_06,Secure Summative,5.5,Mastery,"Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",U5-MG04,"Secure summative evidence for U5-MG04: Represent systems of linear inequalities, identify feasible regions, and interpret feasible and non-feasible solutions in context.",Context,summative-secure,V6
