bank_id,destination,section,exact_target,mastery_goal,evidence_job,representation,response_type
U3-32-EXIT-TICKET-C-003,Exit Ticket C,3.2,"Interpret and rewrite algebraic expressions by identifying structure, meaning, and equivalent forms.",U3-MG03,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Equation,constructed_response
U3-32-EXIT-TICKET-C-004,Exit Ticket C,3.2,"Interpret and rewrite algebraic expressions by identifying structure, meaning, and equivalent forms.",U3-MG03,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Equation,constructed_response
U3-33-EXIT-TICKET-A-001,Exit Ticket A,3.3,"I can design a solution pathway that connects equations, calculations, and a contextual conclusion.",,Independent Intro-stage evidence on the current Unit 3 section I-can.,Context,constructed_response
U3-33-EXIT-TICKET-A-002,Exit Ticket A,3.3,I can predict the meaning of a solution before solving from the context and variables.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Context,constructed_response
U3-33-EXIT-TICKET-A-003,Exit Ticket A,3.3,I can build a system of equations that represents two constraints in a situation.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Table,constructed_response
U3-33-EXIT-TICKET-A-004,Exit Ticket A,3.3,"I can design a solution pathway that connects equations, calculations, and a contextual conclusion.",,Independent Intro-stage evidence on the current Unit 3 section I-can.,Context,constructed_response
U3-33-EXIT-TICKET-B-001,Exit Ticket B,3.3,Use linear models to represent and interpret real-world data.,,Independent Review-stage evidence on the authoritative spiral target.,Context,constructed_response
U3-33-EXIT-TICKET-B-002,Exit Ticket B,3.3,Use linear models to represent and interpret real-world data.,,Independent Review-stage evidence on the authoritative spiral target.,Context,constructed_response
U3-33-EXIT-TICKET-B-003,Exit Ticket B,3.3,Use linear models to represent and interpret real-world data.,,Independent Review-stage evidence on the authoritative spiral target.,Context,constructed_response
U3-33-EXIT-TICKET-B-004,Exit Ticket B,3.3,Use linear models to represent and interpret real-world data.,,Independent Review-stage evidence on the authoritative spiral target.,Context,constructed_response
U3-33-EXIT-TICKET-C-001,Exit Ticket C,3.3,"Write, solve, and interpret equations that model situations.",U3-MG04,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Context,constructed_response
U3-33-EXIT-TICKET-C-002,Exit Ticket C,3.3,"Write, solve, and interpret equations that model situations.",U3-MG04,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Context,constructed_response
U3-33-EXIT-TICKET-C-003,Exit Ticket C,3.3,"Write, solve, and interpret equations that model situations.",U3-MG04,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Context,constructed_response
U3-33-EXIT-TICKET-C-004,Exit Ticket C,3.3,"Write, solve, and interpret equations that model situations.",U3-MG04,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Context,constructed_response
U3-34-EXIT-TICKET-A-001,Exit Ticket A,3.4,"I can critique a graph of a linear inequality using the boundary, shading, and solution region.",,Independent Intro-stage evidence on the current Unit 3 section I-can.,Graph,constructed_response
U3-34-EXIT-TICKET-A-002,Exit Ticket A,3.4,I can construct a boundary line and shaded region for a linear inequality.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Graph,constructed_response
U3-34-EXIT-TICKET-A-003,Exit Ticket A,3.4,"I can critique a graph of a linear inequality using the boundary, shading, and solution region.",,Independent Intro-stage evidence on the current Unit 3 section I-can.,Graph,constructed_response
U3-34-EXIT-TICKET-A-004,Exit Ticket A,3.4,I can use test points to interpret which region satisfies an inequality.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Test Point + Equation,constructed_response
U3-34-EXIT-TICKET-B-001,Exit Ticket B,3.4,Interpret slope as a measure of constant rate of change.,,Independent Review-stage evidence on the authoritative spiral target.,Equation,constructed_response
U3-34-EXIT-TICKET-B-002,Exit Ticket B,3.4,Interpret slope as a measure of constant rate of change.,,Independent Review-stage evidence on the authoritative spiral target.,Equation,constructed_response
U3-34-EXIT-TICKET-B-003,Exit Ticket B,3.4,Interpret slope as a measure of constant rate of change.,,Independent Review-stage evidence on the authoritative spiral target.,Equation,constructed_response
U3-34-EXIT-TICKET-B-004,Exit Ticket B,3.4,Interpret slope as a measure of constant rate of change.,,Independent Review-stage evidence on the authoritative spiral target.,Equation,constructed_response
U3-34-EXIT-TICKET-C-001,Exit Ticket C,3.4,"Recognize common function families from graphs, tables, equations, and contexts.",U3-MG02,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Table,constructed_response
U3-34-EXIT-TICKET-C-002,Exit Ticket C,3.4,"Recognize common function families from graphs, tables, equations, and contexts.",U3-MG02,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Table,constructed_response
U3-34-EXIT-TICKET-C-003,Exit Ticket C,3.4,"Recognize common function families from graphs, tables, equations, and contexts.",U3-MG02,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Table,constructed_response
U3-34-EXIT-TICKET-C-004,Exit Ticket C,3.4,"Recognize common function families from graphs, tables, equations, and contexts.",U3-MG02,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Table,constructed_response
U3-35-EXIT-TICKET-A-001,Exit Ticket A,3.5,I can extend graphing strategies to represent overlapping solution regions.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Graph,constructed_response
U3-35-EXIT-TICKET-A-002,Exit Ticket A,3.5,I can extend graphing strategies to represent overlapping solution regions.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Graph,constructed_response
U3-35-EXIT-TICKET-A-003,Exit Ticket A,3.5,I can formulate a system of inequalities that represents multiple constraints.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Context,constructed_response
U3-35-EXIT-TICKET-A-004,Exit Ticket A,3.5,I can apply feasible-region reasoning to interpret possible solutions in context.,,Independent Intro-stage evidence on the current Unit 3 section I-can.,Context,constructed_response
U3-35-EXIT-TICKET-B-001,Exit Ticket B,3.5,Analyze and compare linear relationships using multiple representations.,,Independent Review-stage evidence on the authoritative spiral target.,Table,constructed_response
U3-35-EXIT-TICKET-B-002,Exit Ticket B,3.5,Analyze and compare linear relationships using multiple representations.,,Independent Review-stage evidence on the authoritative spiral target.,Table,constructed_response
U3-35-EXIT-TICKET-B-003,Exit Ticket B,3.5,Analyze and compare linear relationships using multiple representations.,,Independent Review-stage evidence on the authoritative spiral target.,Table,constructed_response
U3-35-EXIT-TICKET-B-004,Exit Ticket B,3.5,Analyze and compare linear relationships using multiple representations.,,Independent Review-stage evidence on the authoritative spiral target.,Table,constructed_response
U3-35-EXIT-TICKET-C-001,Exit Ticket C,3.5,Interpret functions as rules that connect inputs and outputs without relying on formal domain and range language.,U3-MG02,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Context,constructed_response
U3-35-EXIT-TICKET-C-002,Exit Ticket C,3.5,Interpret functions as rules that connect inputs and outputs without relying on formal domain and range language.,U3-MG02,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Context,constructed_response
U3-35-EXIT-TICKET-C-003,Exit Ticket C,3.5,Interpret functions as rules that connect inputs and outputs without relying on formal domain and range language.,U3-MG02,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Context,constructed_response
U3-35-EXIT-TICKET-C-004,Exit Ticket C,3.5,Interpret functions as rules that connect inputs and outputs without relying on formal domain and range language.,U3-MG02,Independent Mastery/portfolio evidence; mapped only where the stage skill supports the named Mastery Goal.,Context,constructed_response
U3-SUM-SECURE-SUMMATIVE-V1-001,Secure Summative V1,,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",U3-MG01,Secure independent evidence for the full Mastery Goal.,Table,constructed_response
U3-SUM-SECURE-SUMMATIVE-V1-002,Secure Summative V1,,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",U3-MG02,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V1-003,Secure Summative V1,,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",U3-MG03,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V1-004,Secure Summative V1,,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",U3-MG04,Secure independent evidence for the full Mastery Goal.,Context,constructed_response
U3-SUM-SECURE-SUMMATIVE-V1-005,Secure Summative V1,,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",U3-MG01,Secure independent evidence for the full Mastery Goal.,Graph,constructed_response
U3-SUM-SECURE-SUMMATIVE-V1-006,Secure Summative V1,,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",U3-MG02,Secure independent evidence for the full Mastery Goal.,Table,constructed_response
U3-SUM-SECURE-SUMMATIVE-V1-007,Secure Summative V1,,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",U3-MG03,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V1-008,Secure Summative V1,,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",U3-MG04,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V2-001,Secure Summative V2,,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",U3-MG03,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V2-002,Secure Summative V2,,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",U3-MG01,Secure independent evidence for the full Mastery Goal.,Graph,constructed_response
U3-SUM-SECURE-SUMMATIVE-V2-003,Secure Summative V2,,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",U3-MG04,Secure independent evidence for the full Mastery Goal.,Context,constructed_response
U3-SUM-SECURE-SUMMATIVE-V2-004,Secure Summative V2,,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",U3-MG02,Secure independent evidence for the full Mastery Goal.,Table,constructed_response
U3-SUM-SECURE-SUMMATIVE-V2-005,Secure Summative V2,,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",U3-MG01,Secure independent evidence for the full Mastery Goal.,Table,constructed_response
U3-SUM-SECURE-SUMMATIVE-V2-006,Secure Summative V2,,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",U3-MG04,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V2-007,Secure Summative V2,,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",U3-MG02,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V2-008,Secure Summative V2,,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",U3-MG03,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V3-001,Secure Summative V3,,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",U3-MG02,Secure independent evidence for the full Mastery Goal.,Table,constructed_response
U3-SUM-SECURE-SUMMATIVE-V3-002,Secure Summative V3,,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",U3-MG04,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V3-003,Secure Summative V3,,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",U3-MG01,Secure independent evidence for the full Mastery Goal.,Table,constructed_response
U3-SUM-SECURE-SUMMATIVE-V3-004,Secure Summative V3,,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",U3-MG03,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V3-005,Secure Summative V3,,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",U3-MG04,Secure independent evidence for the full Mastery Goal.,Context,constructed_response
U3-SUM-SECURE-SUMMATIVE-V3-006,Secure Summative V3,,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",U3-MG03,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V3-007,Secure Summative V3,,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",U3-MG01,Secure independent evidence for the full Mastery Goal.,Graph,constructed_response
U3-SUM-SECURE-SUMMATIVE-V3-008,Secure Summative V3,,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",U3-MG02,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V4-001,Secure Summative V4,,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",U3-MG04,Secure independent evidence for the full Mastery Goal.,Context,constructed_response
U3-SUM-SECURE-SUMMATIVE-V4-002,Secure Summative V4,,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",U3-MG02,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V4-003,Secure Summative V4,,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",U3-MG03,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V4-004,Secure Summative V4,,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",U3-MG01,Secure independent evidence for the full Mastery Goal.,Graph,constructed_response
U3-SUM-SECURE-SUMMATIVE-V4-005,Secure Summative V4,,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",U3-MG03,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V4-006,Secure Summative V4,,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",U3-MG01,Secure independent evidence for the full Mastery Goal.,Table,constructed_response
U3-SUM-SECURE-SUMMATIVE-V4-007,Secure Summative V4,,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",U3-MG04,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V4-008,Secure Summative V4,,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",U3-MG02,Secure independent evidence for the full Mastery Goal.,Table,constructed_response
U3-SUM-SECURE-SUMMATIVE-V5-001,Secure Summative V5,,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",U3-MG01,Secure independent evidence for the full Mastery Goal.,Table + Context,constructed_response
U3-SUM-SECURE-SUMMATIVE-V5-002,Secure Summative V5,,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",U3-MG02,Secure independent evidence for the full Mastery Goal.,Ordered pairs,constructed_response
U3-SUM-SECURE-SUMMATIVE-V5-003,Secure Summative V5,,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",U3-MG03,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V5-004,Secure Summative V5,,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",U3-MG04,Secure independent evidence for the full Mastery Goal.,Context,constructed_response
U3-SUM-SECURE-SUMMATIVE-V5-005,Secure Summative V5,,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",U3-MG01,Secure independent evidence for the full Mastery Goal.,Table + Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V5-006,Secure Summative V5,,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",U3-MG02,Secure independent evidence for the full Mastery Goal.,Table,constructed_response
U3-SUM-SECURE-SUMMATIVE-V5-007,Secure Summative V5,,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",U3-MG03,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V5-008,Secure Summative V5,,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",U3-MG04,Secure independent evidence for the full Mastery Goal.,Context,constructed_response
U3-SUM-SECURE-SUMMATIVE-V6-001,Secure Summative V6,,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",U3-MG02,Secure independent evidence for the full Mastery Goal.,Context + Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V6-002,Secure Summative V6,,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",U3-MG03,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V6-003,Secure Summative V6,,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",U3-MG01,Secure independent evidence for the full Mastery Goal.,Table + Graph reasoning,constructed_response
U3-SUM-SECURE-SUMMATIVE-V6-004,Secure Summative V6,,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",U3-MG04,Secure independent evidence for the full Mastery Goal.,Context,constructed_response
U3-SUM-SECURE-SUMMATIVE-V6-005,Secure Summative V6,,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",U3-MG03,Secure independent evidence for the full Mastery Goal.,Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V6-006,Secure Summative V6,,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",U3-MG01,Secure independent evidence for the full Mastery Goal.,Context + Table,constructed_response
U3-SUM-SECURE-SUMMATIVE-V6-007,Secure Summative V6,,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",U3-MG04,Secure independent evidence for the full Mastery Goal.,Context + Equation,constructed_response
U3-SUM-SECURE-SUMMATIVE-V6-008,Secure Summative V6,,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",U3-MG02,Secure independent evidence for the full Mastery Goal.,Table,constructed_response
