bank_id,destination,section,exact_target,mastery_goal_id,expected_evidence,representation,response_type,source_basis
U8-S2-ETA-02,Exit Ticket A,8.2,I can use key points and key features to graph transformations across multiple function families.,,transformed key points and key feature sufficient to anchor the graph,Table + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S2-ETA-03,Exit Ticket A,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,,key point transformation,Table,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S2-ETA-04,Exit Ticket A,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",,correct transformed rule connected to parameter effects,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S2-ETB-01,Exit Ticket B,8.2,Graph exponential functions and analyze key features.,,exponential table features,Table,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S2-ETB-02,Exit Ticket B,8.2,Graph exponential functions and analyze key features.,,exponential graph features,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S2-ETB-03,Exit Ticket B,8.2,Graph exponential functions and analyze key features.,,exponential graph analysis,Graph,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S2-ETB-04,Exit Ticket B,8.2,Graph exponential functions and analyze key features.,,exponential table features,Table,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S2-ETC-01,Exit Ticket C,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,U8-MG02,complete square to solve,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S2-ETC-02,Exit Ticket C,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,U8-MG02,vertex connection,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S2-ETC-03,Exit Ticket C,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,U8-MG02,perfect square structure,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S2-ETC-04,Exit Ticket C,8.2,Solve quadratic equations by completing the square and connect the process to vertex form.,U8-MG02,complete square to solve,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S3-ETA-01,Exit Ticket A,8.3,"I can design an absolute value or piecewise representation for situations with distance, change in direction, or two-part behavior.",,student-designed absolute-value model plus vertex interpretation,Context + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S3-ETA-02,Exit Ticket A,8.3,"I can apply key features of absolute value graphs to interpret vertex, intercepts, and rate of change.",,table symmetry,Table,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S3-ETA-03,Exit Ticket A,8.3,I can predict outputs and intervals from absolute value and piecewise rules in context.,,interval-conditioned output,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S3-ETA-04,Exit Ticket A,8.3,"I can design an absolute value or piecewise representation for situations with distance, change in direction, or two-part behavior.",,piecewise model,Context + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S3-ETB-01,Exit Ticket B,8.3,"Identify exponential relationships from patterns, tables, graphs, and situations.",,context exponential identification,Context,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S3-ETB-02,Exit Ticket B,8.3,"Identify exponential relationships from patterns, tables, graphs, and situations.",,identify exponential pattern,Table,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S3-ETB-03,Exit Ticket B,8.3,"Identify exponential relationships from patterns, tables, graphs, and situations.",,identify exponential equation,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S3-ETB-04,Exit Ticket B,8.3,"Identify exponential relationships from patterns, tables, graphs, and situations.",,context exponential identification,Context,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S3-ETC-01,Exit Ticket C,8.3,Solve quadratic equations using factored form and interpret solutions.,U8-MG01,factored solve/interpret,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S3-ETC-02,Exit Ticket C,8.3,Solve quadratic equations using factored form and interpret solutions.,U8-MG01,factor and solve,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S3-ETC-03,Exit Ticket C,8.3,Solve quadratic equations using factored form and interpret solutions.,U8-MG01,interpret factored solutions,Context + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S3-ETC-04,Exit Ticket C,8.3,Solve quadratic equations using factored form and interpret solutions.,U8-MG01,factored solve/interpret,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S4-ETA-01,Exit Ticket A,8.4,I can formulate a mathematical model from real-world data and state the assumptions used.,,quadratic model formulated from plotted data plus a stated prediction assumption,Scatter plot + Equation + Context,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S4-ETA-02,Exit Ticket A,8.4,I can extend a model to make predictions within a reasonable domain.,,prediction in domain,Equation + Context,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S4-ETA-03,Exit Ticket A,8.4,"I can critique how well a model fits data, constraints, and the situation being studied.",,domain limitation,Context,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S4-ETA-04,Exit Ticket A,8.4,I can formulate a mathematical model from real-world data and state the assumptions used.,,model formulated from data plus a stated operating assumption,Context + Table + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S4-ETB-01,Exit Ticket B,8.4,Create and analyze exponential models using real-world data.,,exponential prediction,Equation + Context,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S4-ETB-02,Exit Ticket B,8.4,Create and analyze exponential models using real-world data.,,build exponential model,Context + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S4-ETB-03,Exit Ticket B,8.4,Create and analyze exponential models using real-world data.,,analyze exponential model,Equation + Context,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S4-ETB-04,Exit Ticket B,8.4,Create and analyze exponential models using real-world data.,,exponential prediction,Equation + Context,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S4-ETC-01,Exit Ticket C,8.4,"Use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",U8-MG05,quadratic maximum interpretation,Context + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S4-ETC-02,Exit Ticket C,8.4,"Use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",U8-MG05,quadratic intercept interpretation,Context + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S4-ETC-03,Exit Ticket C,8.4,"Use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",U8-MG05,build quadratic model,Context,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S4-ETC-04,Exit Ticket C,8.4,"Use quadratic functions to model real-world situations and interpret maximums, minimums, and intercepts.",U8-MG05,quadratic maximum interpretation,Context + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S5-ETA-01,Exit Ticket A,8.5,"I can construct a solution pathway that connects equations, graphs, tables, and contexts across function families.",,connected pathway from context/table evidence to equation and confirming graph feature,Context + Table + Equation + Graph connection,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S5-ETA-02,Exit Ticket A,8.5,I can use multiple representations to solve complex function problems and interpret results.,,"multi-representation model comparison, prediction, and contextual interpretation",Equation + Table + Context,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S5-ETA-03,Exit Ticket A,8.5,I can assess competing solution strategies and choose the representation that best supports the conclusion.,,representation consistency,Multiple representations,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S5-ETA-04,Exit Ticket A,8.5,"I can construct a solution pathway that connects equations, graphs, tables, and contexts across function families.",,table-to-equation-to-graph pathway with a defensible exact-versus-approximate judgment,Equation + Table + Context + Graph connection,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S5-ETB-01,Exit Ticket B,8.5,"Write exponential equations from tables, graphs, and situations.",,write an exponential equation from an actual growth graph,Graph + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S5-ETB-02,Exit Ticket B,8.5,"Write exponential equations from tables, graphs, and situations.",,write exponential from table,Table + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S5-ETB-03,Exit Ticket B,8.5,"Write exponential equations from tables, graphs, and situations.",,write exponential from context,Context + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S5-ETB-04,Exit Ticket B,8.5,"Write exponential equations from tables, graphs, and situations.",,write an exponential equation from an actual decay graph,Graph + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S5-ETC-01,Exit Ticket C,8.5,Solve quadratic equations using the quadratic formula and interpret solutions.,U8-MG03,quadratic formula solve,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S5-ETC-02,Exit Ticket C,8.5,Solve quadratic equations using the quadratic formula and interpret solutions.,U8-MG03,formula + interpretation,Context + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S5-ETC-03,Exit Ticket C,8.5,Solve quadratic equations using the quadratic formula and interpret solutions.,U8-MG03,discriminant interpretation,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S5-ETC-04,Exit Ticket C,8.5,Solve quadratic equations using the quadratic formula and interpret solutions.,U8-MG03,quadratic formula solve,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-SUM-V1-Q01,Secure Summative V1,SUM,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,U8-MG01,Secure evidence for U8-MG01: Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,Equation + Graph connection,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V1-Q02,Secure Summative V1,SUM,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,U8-MG01,Secure evidence for U8-MG01: Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,Context + Factored equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V1-Q03,Secure Summative V1,SUM,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,U8-MG02,Secure evidence for U8-MG02: Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V1-Q04,Secure Summative V1,SUM,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,U8-MG02,Secure evidence for U8-MG02: Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,Equation + Graph features,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V1-Q05,Secure Summative V1,SUM,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,U8-MG03,Secure evidence for U8-MG03: Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V1-Q06,Secure Summative V1,SUM,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,U8-MG03,Secure evidence for U8-MG03: Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V1-Q07,Secure Summative V1,SUM,"Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",U8-MG04,"Secure evidence for U8-MG04: Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",Equation set + Written reasoning,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V1-Q08,Secure Summative V1,SUM,"Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",U8-MG05,"Secure evidence for U8-MG05: Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",Context + Equation + Graph,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V2-Q01,Secure Summative V2,SUM,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,U8-MG02,Secure evidence for U8-MG02: Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V2-Q02,Secure Summative V2,SUM,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,U8-MG01,Secure evidence for U8-MG01: Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,Equation + Graph connection,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V2-Q03,Secure Summative V2,SUM,"Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",U8-MG04,"Secure evidence for U8-MG04: Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",Equation set + Written reasoning,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V2-Q04,Secure Summative V2,SUM,"Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",U8-MG05,"Secure evidence for U8-MG05: Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",Context + Equation + Graph,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V2-Q05,Secure Summative V2,SUM,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,U8-MG03,Secure evidence for U8-MG03: Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V2-Q06,Secure Summative V2,SUM,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,U8-MG01,Secure evidence for U8-MG01: Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,Context + Factored equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V2-Q07,Secure Summative V2,SUM,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,U8-MG03,Secure evidence for U8-MG03: Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V2-Q08,Secure Summative V2,SUM,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,U8-MG02,Secure evidence for U8-MG02: Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,Equation + Graph features,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V3-Q01,Secure Summative V3,SUM,"Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",U8-MG05,"Secure evidence for U8-MG05: Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",Context + Equation + Graph,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V3-Q02,Secure Summative V3,SUM,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,U8-MG03,Secure evidence for U8-MG03: Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V3-Q03,Secure Summative V3,SUM,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,U8-MG02,Secure evidence for U8-MG02: Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V3-Q04,Secure Summative V3,SUM,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,U8-MG01,Secure evidence for U8-MG01: Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,Equation + Graph connection,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V3-Q05,Secure Summative V3,SUM,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,U8-MG02,Secure evidence for U8-MG02: Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,Equation + Graph features,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V3-Q06,Secure Summative V3,SUM,"Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",U8-MG04,"Secure evidence for U8-MG04: Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",Equation set + Written reasoning,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V3-Q07,Secure Summative V3,SUM,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,U8-MG01,Secure evidence for U8-MG01: Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,Context + Factored equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V3-Q08,Secure Summative V3,SUM,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,U8-MG03,Secure evidence for U8-MG03: Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V4-Q01,Secure Summative V4,SUM,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,U8-MG03,Secure evidence for U8-MG03: Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V4-Q02,Secure Summative V4,SUM,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,U8-MG01,Secure evidence for U8-MG01: Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,Context + Factored equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V4-Q03,Secure Summative V4,SUM,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,U8-MG02,Secure evidence for U8-MG02: Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,Equation + Graph features,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V4-Q04,Secure Summative V4,SUM,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,U8-MG01,Secure evidence for U8-MG01: Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,Equation + Graph connection,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V4-Q05,Secure Summative V4,SUM,"Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",U8-MG04,"Secure evidence for U8-MG04: Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",Equation set + Written reasoning,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V4-Q06,Secure Summative V4,SUM,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,U8-MG02,Secure evidence for U8-MG02: Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V4-Q07,Secure Summative V4,SUM,"Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",U8-MG05,"Secure evidence for U8-MG05: Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",Context + Equation + Graph,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V4-Q08,Secure Summative V4,SUM,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,U8-MG03,Secure evidence for U8-MG03: Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V5-Q01,Secure Summative V5,SUM,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,U8-MG01,Secure evidence for U8-MG01: Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,Equation + Graph connection,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V5-Q02,Secure Summative V5,SUM,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,U8-MG01,Secure evidence for U8-MG01: Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V5-Q03,Secure Summative V5,SUM,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,U8-MG02,Secure evidence for U8-MG02: Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,Area model + Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V5-Q04,Secure Summative V5,SUM,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,U8-MG02,Secure evidence for U8-MG02: Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,Equation + Graph features,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V5-Q05,Secure Summative V5,SUM,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,U8-MG03,Secure evidence for U8-MG03: Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V5-Q06,Secure Summative V5,SUM,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,U8-MG03,Secure evidence for U8-MG03: Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,Coefficient map + Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V5-Q07,Secure Summative V5,SUM,"Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",U8-MG04,"Secure evidence for U8-MG04: Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",Written reasoning,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V5-Q08,Secure Summative V5,SUM,"Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",U8-MG05,"Secure evidence for U8-MG05: Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",Context + Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V6-Q01,Secure Summative V6,SUM,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,U8-MG01,Secure evidence for U8-MG01: Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,Table + Equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
U8-SUM-V6-Q02,Secure Summative V6,SUM,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,U8-MG01,Secure evidence for U8-MG01: Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,Context + Factored equation,constructed/open response,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
