bank_id,destination,section,representation,figure,sha256,bytes
U8-S2-P1-20,Practice Set 1,8.2,Graph,figures/u8_s2_p1_20_exp_pair.png,d6124f0d2535fbb026ad3873ca0af7afd49dbdc5cd1068c58b80fc8a55eff2f8,22675
U8-S2-P2-05,Practice Set 2,8.2,Graph,figures/u8_s2_p2_05_abs_pair.png,d1d359e53148d61b23aec5eba688b0fa521ba4748231ce3da8c922cc57ffcfb3,28419
U8-S2-P2-15,Practice Set 2,8.2,Graph,figures/u8_s2_p2_15_exp_pair.png,ba01becd94e718e4c2ae893640bd73e743d39f5202317cc8383d1e8368db3e9f,22730
U8-S2-P2-20,Practice Set 2,8.2,Graph,figures/u8_s2_p2_20_exp_pair.png,34706cc8f67c6804e42d4317a735d9e944f2b8cd192cf7ab829cc5f33ce5058b,21869
U8-S2-P3-05,Practice Set 3,8.2,Graph,figures/u8_s2_p3_05_abs_pair.png,ffd101827fe6876e7be4b2ae54cc0b0bb1d02a7931043a2315c7c5de4949f5fc,31128
U8-S2-P3-15,Practice Set 3,8.2,Graph,figures/u8_s2_p3_15_exp_pair.png,f273dd6f66ef902f5ca77d855e7a16c8abbc56369714bc78d3334a43ebf2d814,23041
U8-S2-P3-20,Practice Set 3,8.2,Graph,figures/u8_s2_p3_20_exp_pair.png,b41f59c28b2ca34b3c3f1076fa786bde4cf51c6753f89dc81105f551139afa8a,22280
U8-S2-PX-05,Extra Practice,8.2,Graph,figures/u8_s2_px_05_abs_pair.png,37f95013eb794699a3298c07081b6412c1edf190ec4bd2623893ce8eed9e465e,29320
U8-S2-PX-15,Extra Practice,8.2,Graph,figures/u8_s2_px_15_exp_pair.png,bd0b069eddcc20af95ec80d4c2d11b433ed43d2f75fe23af9950f60087566c2c,22167
U8-S2-PX-20,Extra Practice,8.2,Graph,figures/u8_s2_px_20_exp_pair.png,93749574c039f2fdef48593cea484b232897ace3f05ba5158bf9a2e5ca70fc4c,22632
U8-S2-CYU-05,CYU,8.2,Graph,figures/u8_s2_cyu_05_exp_pair.png,68e430cd6a6b82271380f27a201769fe1e87eebc37895a9e0b0da6d731842edd,22043
U8-S2-WU1-01,Warm-Up 1,8.2,Diamond,figures/u8_s2_diamond.png,a5218b1d5d2c634b6fe852ebc1a75f36047396f57ebadc2454ce00d8f028475e,6424
U8-S2-WU1-02,Warm-Up 1,8.2,Graph,figures/u8_s2_wu1_02_exp_pair.png,fd60cb1b9030fbf86183ca509e7fa492096d1bed6887da88e3ce0c615a458edf,21871
U8-S2-ETB-03,Exit Ticket B,8.2,Graph,figures/u8_s2_etb_03_exp_pair.png,67bdaad1626cefa9d85f29e06c3ea477f2f111d022fd657e4a9b946a49b50c1a,21500
U8-S3-P1-06,Practice Set 1,8.3,Graph,figures/u8_s3_abs_graph.png,283198c4dc6c99c1cfdf4389638f7a46386f4fe4eaf82f68a05f9d5aa5697cd4,26893
U8-S3-P1-16,Practice Set 1,8.3,Graph,figures/u8_s3_p1_16_abs_graph.png,d645750ee82f6802fe99fc11589c22581375d5fbedd4d2931c687d0041a16941,26720
U8-S3-P2-06,Practice Set 2,8.3,Graph,figures/u8_s3_p2_06_abs_graph.png,62be8ac539dce6f571af01edd642481502a557740d56d654073886a42d49bb51,26353
U8-S3-P2-16,Practice Set 2,8.3,Graph,figures/u8_s3_p2_16_abs_graph.png,0792d581ce70b9e8dc92b39d8fa270298458ae5c1308af9e9a46534331f753ec,26836
U8-S3-P3-06,Practice Set 3,8.3,Graph,figures/u8_s3_p3_06_abs_graph.png,acb56e197b4e714788295d5df9cd9d8324e883e291ee8e908e7a5d6f9c77c9ac,27360
U8-S3-P3-16,Practice Set 3,8.3,Graph,figures/u8_s3_p3_16_abs_graph.png,4cccd966f8a3e9d1e3c55359110218de83d1e71d817473501973f47fedaaf4a4,24193
U8-S3-PX-06,Extra Practice,8.3,Graph,figures/u8_s3_px_06_abs_graph.png,e6c600f83d3c1c7b738f742c21a324aa05737ffb52eb121a1dc6f2f330e592fc,26852
U8-S3-PX-16,Extra Practice,8.3,Graph,figures/u8_s3_px_16_abs_graph.png,f6e031597c4ae41377ebdd03afd5fbbbb282764ad783e23f17c8cf92cd694765,29149
U8-S3-CYU-06,CYU,8.3,Graph,figures/u8_s3_cyu_06_abs_graph.png,36eef5ee8a3534e4089bab1650f52ef39e9bba518974529e3ea776b9c73f42e7,26362
U8-S3-WU1-01,Warm-Up 1,8.3,Diamond,figures/u8_s3_diamond.png,981dc053d59aa500a1b536d998aeb53383dca6e8bff79036126e88d649080bbe,6250
U8-S4-WTC-001,WTC,8.4,Table + Scatter plot,figures/u8_s4_scatter_linear.png,3d542ec3a6324fe4b245fc5f7939536fc94363b4789a6e3df6506c80f5d941e3,28247
U8-S4-EX-02,Notes Example,8.4,Scatter plot,figures/u8_s4_scatter_quad.png,dc610f310b22be1cab26e935ee3f04e5036c9c4f7e97d6d12830beb35c04dd2c,12475
U8-S4-YTI-02,Notes YTI,8.4,Scatter plot,figures/u8_s4_scatter_exp.png,81876bbb2f0002ac59d51896da18ecabbf0c8a87ff5e6acde29ac538f36e769f,15773
U8-S4-P1-01,Practice Set 1,8.4,Scatter plot,figures/u8_s4_p1_01_scatter_linear.png,4c9fe74313c77cd1de7fc3f079914c431c95e62a3c9125f74fe60280daffee64,26599
U8-S4-P1-11,Practice Set 1,8.4,Scatter plot,figures/u8_s4_p1_11_scatter_quad.png,6831cd674f1972e707681f7f081844aa71a016a19a1b2cc5d392754acbc2678e,14817
U8-S4-P2-01,Practice Set 2,8.4,Scatter plot,figures/u8_s4_p2_01_scatter_linear.png,73fb6fdfc77d7f674ea2336e2f27a8af6db0a29d1d111454f88afb1d32ea17c7,23808
U8-S4-P2-11,Practice Set 2,8.4,Scatter plot,figures/u8_s4_p2_11_scatter_quad.png,8ca77a84f3c9bfd865950b3aaeab4529b5242fd6752db40b24ecdb23a6b3542f,15666
U8-S4-P3-01,Practice Set 3,8.4,Scatter plot,figures/u8_s4_p3_01_scatter_linear.png,68f5596086ee366a539aa39a02b16a38e8a588957eb08375a864bc2f1fa49cd1,26609
U8-S4-P3-11,Practice Set 3,8.4,Scatter plot,figures/u8_s4_p3_11_scatter_quad.png,535d1b66f70be865b72f5fd7b728be7b1dcd0cb75a9a5f614a977fc896f4d9b1,13844
U8-S4-PX-01,Extra Practice,8.4,Scatter plot,figures/u8_s4_px_01_scatter_linear.png,08c9b9d128973960c025990834011c4ac991b5eaee827d08edcb26b6d1d30a76,26142
U8-S4-PX-11,Extra Practice,8.4,Scatter plot,figures/u8_s4_px_11_scatter_quad.png,1d4755031594380d3de741e3349984ea6060aed30d727e555d5f29fe557441ef,14918
U8-S4-CYU-01,CYU,8.4,Scatter plot,figures/u8_s4_cyu_01_scatter_quad.png,cea7575e0157b6a8dbaad9bcee21d9b1035fcd14b8c7a1956a3ef4757e7e0254,14726
U8-S4-WU1-01,Warm-Up 1,8.4,Diamond,figures/u8_s4_diamond.png,9bbffa6c9e311741ac065cd2fd025e6cb58f57517938f6678f6f2350655d1608,6496
U8-S4-WU2-01,Warm-Up 2,8.4,Scatter plot,figures/u8_s4_wu2_01_scatter_quad.png,fde332b8aaaf1e0b9f909a554ee5ca0b8555ce10de73629a4c30a106d81d0539,14280
U8-S4-WU3-01,Warm-Up 3,8.4,Scatter plot,figures/u8_s4_wu3_01_scatter_exp.png,9bdad8a14bb00ce2dcacd6d8acb8d79ac1b50b5ea44e65e87414bd043f87a964,15479
U8-S4-ETA-01,Exit Ticket A,8.4,Scatter plot + Equation + Context,figures/u8_s4_eta_01_scatter_quad.png,04f54d73a5b6244eee0d06d77b4b44ed9496e8a7ea8ba776bbbe5b42051a7723,13916
U8-S5-WTC-001,WTC,8.5,Graph + Strategy,figures/u8_s5_family_gallery.png,fd327a4228cdcc07dce9b031f56ee9b17782cb25cefe1710b8fed8a69d25787e,30269
U8-S5-P1-09,Practice Set 1,8.5,Graph,figures/u8_s5_p1_09_family_gallery.png,d970f46445892acd4211ace4b6c15f0428ca612ca1fe5494959ee96ed481158b,31142
U8-S5-P2-09,Practice Set 2,8.5,Graph,figures/u8_s5_p2_09_family_gallery.png,c46b9e90f600059e956480867b14c1fa273de6f7ba2b858ceada451041702e43,29421
U8-S5-P3-09,Practice Set 3,8.5,Graph,figures/u8_s5_p3_09_family_gallery.png,b32157524cb3d51db82a0da5233744c94a9d9c7649c61006ef069fdfb3f96b5a,30504
U8-S5-PX-09,Extra Practice,8.5,Graph,figures/u8_s5_px_09_family_gallery.png,8c277c11248ceea5a9b6bc6cab3e7ccfa76c44e65a17786de3c4e1bde95262d3,30373
U8-S5-WU1-01,Warm-Up 1,8.5,Diamond,figures/u8_s5_diamond.png,a3f531a1e845477339bf78b5cfe7e582983869310885666c1bc6d634237ac755,6361
U8-S5-ETB-01,Exit Ticket B,8.5,Graph + Equation,figures/u8_s5_etb_01_exp_graph.png,3e242687ecec361cdab1eb4c4f6386479a20eae2234dfb511581f0e813087bdf,20060
U8-S5-ETB-04,Exit Ticket B,8.5,Graph + Equation,figures/u8_s5_etb_04_exp_graph.png,816ad41be3ddc5fddc794cb900cd41483faf481f8bb815d62d5e71ecda73c509,20224
U8-SUM-V1-Q08,Secure Summative V1,SUM,Context + Equation + Graph,figures/u8_sum_v1_q08_parabola_context.png,254026d125634a03e8b19c47ce19b0f35b9347ecb59852e11aafecf83403725d,31256
U8-SUM-V2-Q04,Secure Summative V2,SUM,Context + Equation + Graph,figures/u8_sum_v2_q04_parabola_context.png,4b37b8ad0ccfbb143caeeb84aa0135f8991420744345aadde15b067bc5d8f49d,32571
U8-SUM-V3-Q01,Secure Summative V3,SUM,Context + Equation + Graph,figures/u8_sum_v3_q01_parabola_context.png,323a8e3d5642b4d536452fc52c378389dba54959a5dd71cfe4628f6c4e1363a6,31773
U8-SUM-V4-Q07,Secure Summative V4,SUM,Context + Equation + Graph,figures/u8_sum_v4_q07_parabola_context.png,a1f86df513285dbd80a2d2393c073386317a96e99644937f31399396e28346be,33072
