version,bank_id,question_family_id,mastery_goal_id,exact_mastery_goal,response_type,representation,estimated_time_sec,source_basis
V3,U8-SUM-V3-Q01,SUM-QUAD-MODEL,U8-MG05,"Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",constructed/open response,Context + Equation + Graph,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U8-SUM-V3-Q02,SUM-FORMULA-SOLVE,U8-MG03,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U8-SUM-V3-Q03,SUM-COMPLETE-SOLVE,U8-MG02,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U8-SUM-V3-Q04,SUM-FACTOR-INTERPRET,U8-MG01,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,constructed/open response,Equation + Graph connection,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U8-SUM-V3-Q05,SUM-COMPLETE-VERTEX,U8-MG02,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,constructed/open response,Equation + Graph features,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U8-SUM-V3-Q06,SUM-METHOD-SELECT,U8-MG04,"Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",constructed/open response,Equation set + Written reasoning,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U8-SUM-V3-Q07,SUM-FACTOR-CONTEXT,U8-MG01,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,constructed/open response,Context + Factored equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V3,U8-SUM-V3-Q08,SUM-DISCRIMINANT,U8-MG03,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U8-SUM-V4-Q01,SUM-DISCRIMINANT,U8-MG03,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U8-SUM-V4-Q02,SUM-FACTOR-CONTEXT,U8-MG01,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,constructed/open response,Context + Factored equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U8-SUM-V4-Q03,SUM-COMPLETE-VERTEX,U8-MG02,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,constructed/open response,Equation + Graph features,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U8-SUM-V4-Q04,SUM-FACTOR-INTERPRET,U8-MG01,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,constructed/open response,Equation + Graph connection,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U8-SUM-V4-Q05,SUM-METHOD-SELECT,U8-MG04,"Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",constructed/open response,Equation set + Written reasoning,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U8-SUM-V4-Q06,SUM-COMPLETE-SOLVE,U8-MG02,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U8-SUM-V4-Q07,SUM-QUAD-MODEL,U8-MG05,"Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",constructed/open response,Context + Equation + Graph,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V4,U8-SUM-V4-Q08,SUM-FORMULA-SOLVE,U8-MG03,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U8-SUM-V5-Q01,ALT5-ZEROS-BUILD,U8-MG01,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,constructed/open response,Equation + Graph connection,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U8-SUM-V5-Q02,ALT5-FACTOR-SETZERO,U8-MG01,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U8-SUM-V5-Q03,ALT5-AREA-SQUARE,U8-MG02,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,constructed/open response,Area model + Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U8-SUM-V5-Q04,ALT5-CS-CONTEXT,U8-MG02,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,constructed/open response,Equation + Graph features,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U8-SUM-V5-Q05,ALT5-DISC-THEN-SOLVE,U8-MG03,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U8-SUM-V5-Q06,ALT5-FORMULA-MAP,U8-MG03,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,constructed/open response,Coefficient map + Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U8-SUM-V5-Q07,ALT5-CRITIQUE-METHOD,U8-MG04,"Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",constructed/open response,Written reasoning,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V5,U8-SUM-V5-Q08,ALT5-MODEL-GARDEN,U8-MG05,"Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",constructed/open response,Context + Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U8-SUM-V6-Q01,ALT6-TABLE-ZEROS,U8-MG01,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,constructed/open response,Table + Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U8-SUM-V6-Q02,ALT6-CONTEXT-ROOTS,U8-MG01,Solve quadratic equations by factoring and the zero product property and interpret solutions in graphs and contexts.,constructed/open response,Context + Factored equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U8-SUM-V6-Q03,ALT6-CS-EQUALITY,U8-MG02,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U8-SUM-V6-Q04,ALT6-VERTEX-SYMMETRY,U8-MG02,Complete the square to solve quadratic equations and connect equivalent forms to vertex and symmetry.,constructed/open response,Table + Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U8-SUM-V6-Q05,ALT6-DISC-GRAPH,U8-MG03,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,constructed/open response,Equation + Graph interpretation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U8-SUM-V6-Q06,ALT6-QF-APPROX,U8-MG03,Use the quadratic formula and discriminant to solve quadratic equations and predict the number and type of real solutions.,constructed/open response,Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U8-SUM-V6-Q07,ALT6-STRATEGY-PLAN,U8-MG04,"Select and defend an efficient quadratic solution method based on equation structure, accuracy, and fit.",constructed/open response,Method-selection plan,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
V6,U8-SUM-V6-Q08,ALT6-MODEL-REVENUE,U8-MG05,"Build and interpret quadratic models, including maximums, minimums, intercepts, and contextually meaningful solutions.",constructed/open response,Context + Equation,330,Original Unit 8 Assessment Plan — Summative Evidence Plan + current Algebra Framework
