order,bank_id,destination,section,i_can,stage,question_family_id,variation,representation,response_type,summative_version,mastery_goal_id
35,U8-S1-P1-22,Practice Set 1,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-FORMULA,P1-22,Equation,constructed/open response,,
36,U8-S1-P1-23,Practice Set 1,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-COMPARE,P1-23,Equation set,constructed/open response,,
37,U8-S1-P1-24,Practice Set 1,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-METHOD,P1-24,Equation,constructed/open response,,
38,U8-S1-P2-01,Practice Set 2,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-TABLE-QUADRATIC,P2-1,Table,constructed/open response,,
39,U8-S1-P2-02,Practice Set 2,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-TABLE-EXP,P2-2,Table,constructed/open response,,
40,U8-S1-P2-03,Practice Set 2,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-EQUATION-FAMILY,P2-3,Equation,constructed/open response,,
41,U8-S1-P2-04,Practice Set 2,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-CONTEXT-MODEL,P2-4,Context,constructed/open response,,
42,U8-S1-P2-05,Practice Set 2,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-GRAPH-FAMILY,P2-5,Graph,constructed/open response,,
43,U8-S1-P2-06,Practice Set 2,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-REVISE-MODEL,P2-6,Context + Table data,constructed/open response,,
44,U8-S1-P2-07,Practice Set 2,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-ERROR-PATTERN,P2-7,Verbal + Table pattern,constructed/open response,,
45,U8-S1-P2-08,Practice Set 2,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-MODEL-REASONABLE,P2-8,Equation + Context,constructed/open response,,
46,U8-S1-P2-09,Practice Set 2,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-DIAGNOSTIC-PATTERN,P2-9,Table,constructed/open response,,
47,U8-S1-P2-10,Practice Set 2,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-TABLE-LINEAR,P2-10,Table,constructed/open response,,
48,U8-S1-P2-11,Practice Set 2,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-TABLE-QUADRATIC,P2-11,Table,constructed/open response,,
49,U8-S1-P2-12,Practice Set 2,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-TABLE-EXP,P2-12,Table,constructed/open response,,
50,U8-S1-P2-13,Practice Set 2,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-EQUATION-FAMILY,P2-13,Equation,constructed/open response,,
51,U8-S1-P2-14,Practice Set 2,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-CONTEXT-MODEL,P2-14,Context,constructed/open response,,
52,U8-S1-P2-15,Practice Set 2,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-GRAPH-FAMILY,P2-15,Graph,constructed/open response,,
53,U8-S1-P2-16,Practice Set 2,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-REVISE-MODEL,P2-16,Context + Table data,constructed/open response,,
54,U8-S1-P2-17,Practice Set 2,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-ERROR-PATTERN,P2-17,Verbal + Table pattern,constructed/open response,,
55,U8-S1-P2-18,Practice Set 2,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-MODEL-REASONABLE,P2-18,Equation + Context,constructed/open response,,
56,U8-S1-P2-19,Practice Set 2,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-COMPARE,P2-19,Equation + Table data,constructed/open response,,
57,U8-S1-P2-20,Practice Set 2,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-FEATURES,P2-20,Equation,constructed/open response,,
58,U8-S1-P2-21,Practice Set 2,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-MATCH,P2-21,Verbal/Table pattern,constructed/open response,,
59,U8-S1-P2-22,Practice Set 2,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-METHOD,P2-22,Equation,constructed/open response,,
60,U8-S1-P2-23,Practice Set 2,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-COMPLETE,P2-23,Equation,constructed/open response,,
61,U8-S1-P2-24,Practice Set 2,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-FORMULA,P2-24,Equation,constructed/open response,,
62,U8-S1-P3-01,Practice Set 3,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-TABLE-QUADRATIC,P3-1,Table,constructed/open response,,
63,U8-S1-P3-02,Practice Set 3,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-TABLE-EXP,P3-2,Table,constructed/open response,,
64,U8-S1-P3-03,Practice Set 3,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-EQUATION-FAMILY,P3-3,Equation,constructed/open response,,
65,U8-S1-P3-04,Practice Set 3,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-CONTEXT-MODEL,P3-4,Context,constructed/open response,,
66,U8-S1-P3-05,Practice Set 3,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-GRAPH-FAMILY,P3-5,Graph,constructed/open response,,
67,U8-S1-P3-06,Practice Set 3,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-REVISE-MODEL,P3-6,Context + Table data,constructed/open response,,
68,U8-S1-P3-07,Practice Set 3,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-ERROR-PATTERN,P3-7,Verbal + Table pattern,constructed/open response,,
69,U8-S1-P3-08,Practice Set 3,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-MODEL-REASONABLE,P3-8,Equation + Context,constructed/open response,,
70,U8-S1-P3-09,Practice Set 3,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-DIAGNOSTIC-PATTERN,P3-9,Table,constructed/open response,,
71,U8-S1-P3-10,Practice Set 3,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-TABLE-LINEAR,P3-10,Table,constructed/open response,,
72,U8-S1-P3-11,Practice Set 3,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-TABLE-QUADRATIC,P3-11,Table,constructed/open response,,
73,U8-S1-P3-12,Practice Set 3,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-TABLE-EXP,P3-12,Table,constructed/open response,,
74,U8-S1-P3-13,Practice Set 3,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-EQUATION-FAMILY,P3-13,Equation,constructed/open response,,
75,U8-S1-P3-14,Practice Set 3,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-CONTEXT-MODEL,P3-14,Context,constructed/open response,,
76,U8-S1-P3-15,Practice Set 3,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-GRAPH-FAMILY,P3-15,Graph,constructed/open response,,
77,U8-S1-P3-16,Practice Set 3,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-REVISE-MODEL,P3-16,Context + Table data,constructed/open response,,
78,U8-S1-P3-17,Practice Set 3,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-ERROR-PATTERN,P3-17,Verbal + Table pattern,constructed/open response,,
79,U8-S1-P3-18,Practice Set 3,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-MODEL-REASONABLE,P3-18,Equation + Context,constructed/open response,,
80,U8-S1-P3-19,Practice Set 3,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-COMPARE,P3-19,Equation + Table data,constructed/open response,,
81,U8-S1-P3-20,Practice Set 3,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-FEATURES,P3-20,Equation,constructed/open response,,
82,U8-S1-P3-21,Practice Set 3,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-MATCH,P3-21,Verbal/Table pattern,constructed/open response,,
83,U8-S1-P3-22,Practice Set 3,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-FORMULA,P3-22,Equation,constructed/open response,,
84,U8-S1-P3-23,Practice Set 3,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-COMPARE,P3-23,Equation set,constructed/open response,,
85,U8-S1-P3-24,Practice Set 3,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-METHOD,P3-24,Equation,constructed/open response,,
86,U8-S1-PX-01,Extra Practice,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-TABLE-QUADRATIC,PX-1,Table,constructed/open response,,
87,U8-S1-PX-02,Extra Practice,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-TABLE-EXP,PX-2,Table,constructed/open response,,
88,U8-S1-PX-03,Extra Practice,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-EQUATION-FAMILY,PX-3,Equation,constructed/open response,,
89,U8-S1-PX-04,Extra Practice,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-CONTEXT-MODEL,PX-4,Context,constructed/open response,,
90,U8-S1-PX-05,Extra Practice,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-GRAPH-FAMILY,PX-5,Graph,constructed/open response,,
91,U8-S1-PX-06,Extra Practice,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-REVISE-MODEL,PX-6,Context + Table data,constructed/open response,,
92,U8-S1-PX-07,Extra Practice,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-ERROR-PATTERN,PX-7,Verbal + Table pattern,constructed/open response,,
93,U8-S1-PX-08,Extra Practice,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-MODEL-REASONABLE,PX-8,Equation + Context,constructed/open response,,
94,U8-S1-PX-09,Extra Practice,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-DIAGNOSTIC-PATTERN,PX-9,Table,constructed/open response,,
95,U8-S1-PX-10,Extra Practice,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-TABLE-LINEAR,PX-10,Table,constructed/open response,,
96,U8-S1-PX-11,Extra Practice,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-TABLE-QUADRATIC,PX-11,Table,constructed/open response,,
97,U8-S1-PX-12,Extra Practice,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-TABLE-EXP,PX-12,Table,constructed/open response,,
98,U8-S1-PX-13,Extra Practice,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-EQUATION-FAMILY,PX-13,Equation,constructed/open response,,
99,U8-S1-PX-14,Extra Practice,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-CONTEXT-MODEL,PX-14,Context,constructed/open response,,
100,U8-S1-PX-15,Extra Practice,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-GRAPH-FAMILY,PX-15,Graph,constructed/open response,,
101,U8-S1-PX-16,Extra Practice,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-REVISE-MODEL,PX-16,Context + Table data,constructed/open response,,
102,U8-S1-PX-17,Extra Practice,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-ERROR-PATTERN,PX-17,Verbal + Table pattern,constructed/open response,,
103,U8-S1-PX-18,Extra Practice,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-MODEL-REASONABLE,PX-18,Equation + Context,constructed/open response,,
104,U8-S1-PX-19,Extra Practice,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-COMPARE,PX-19,Equation + Table data,constructed/open response,,
105,U8-S1-PX-20,Extra Practice,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-FEATURES,PX-20,Equation,constructed/open response,,
106,U8-S1-PX-21,Extra Practice,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-MATCH,PX-21,Verbal/Table pattern,constructed/open response,,
107,U8-S1-PX-22,Extra Practice,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-METHOD,PX-22,Equation,constructed/open response,,
108,U8-S1-PX-23,Extra Practice,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-COMPLETE,PX-23,Equation,constructed/open response,,
109,U8-S1-PX-24,Extra Practice,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-FORMULA,PX-24,Equation,constructed/open response,,
110,U8-S1-CYU-01,CYU,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-TABLE-QUADRATIC,CYU-1,Table,constructed/open response,,
111,U8-S1-CYU-02,CYU,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-TABLE-EXP,CYU-2,Table,constructed/open response,,
112,U8-S1-CYU-03,CYU,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-EQUATION-FAMILY,CYU-3,Equation,constructed/open response,,
113,U8-S1-CYU-04,CYU,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-CONTEXT-MODEL,CYU-4,Context,constructed/open response,,
114,U8-S1-CYU-05,CYU,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-GRAPH-FAMILY,CYU-5,Graph,constructed/open response,,
115,U8-S1-CYU-06,CYU,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-REVISE-MODEL,CYU-6,Context + Table data,constructed/open response,,
116,U8-S1-WU1-01,Warm-Up 1,8.1,Accurately perform operations with integers while using the Diamond Problem relationship.,Prior/Review,DIAMOND,S1,Diamond,constructed/open response,,
117,U8-S1-WU1-02,Warm-Up 1,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-FEATURES,WU1-2,Equation,constructed/open response,,
118,U8-S1-WU1-03,Warm-Up 1,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-MATCH,WU1-3,Verbal/Table pattern,constructed/open response,,
119,U8-S1-WU1-04,Warm-Up 1,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-COMPARE,WU1-4,Equation + Table data,constructed/open response,,
120,U8-S1-WU2-01,Warm-Up 2,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-TABLE-QUADRATIC,WU2-1,Table,constructed/open response,,
121,U8-S1-WU2-02,Warm-Up 2,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-TABLE-EXP,WU2-2,Table,constructed/open response,,
122,U8-S1-WU2-03,Warm-Up 2,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-COMPARE,WU2-3,Equation + Table data,constructed/open response,,
123,U8-S1-WU2-04,Warm-Up 2,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-METHOD,WU2-4,Equation,constructed/open response,,
124,U8-S1-WU3-01,Warm-Up 3,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-TABLE-QUADRATIC,WU3-1,Table,constructed/open response,,
125,U8-S1-WU3-02,Warm-Up 3,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-COMPARE,WU3-2,Equation + Table data,constructed/open response,,
126,U8-S1-WU3-03,Warm-Up 3,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-COMPLETE,WU3-3,Equation,constructed/open response,,
127,U8-S1-WU3-04,Warm-Up 3,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery Retrieval,S1-MAS-FORMULA,WU3-4,Equation,constructed/open response,,
128,U8-S1-ETA-01,Exit Ticket A,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-TABLE-QUADRATIC,ETA-1,Table,constructed/open response,,
129,U8-S1-ETA-02,Exit Ticket A,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",Intro,S1-TABLE-EXP,ETA-2,Table,constructed/open response,,
130,U8-S1-ETA-03,Exit Ticket A,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,Intro,S1-EQUATION-FAMILY,ETA-3,Context + Table + Equation,constructed/open response,,
131,U8-S1-ETA-04,Exit Ticket A,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",Intro,S1-CONTEXT-MODEL,ETA-4,Context,constructed/open response,,
132,U8-S1-ETB-01,Exit Ticket B,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-MATCH,ETB-1,Table,constructed/open response,,
133,U8-S1-ETB-02,Exit Ticket B,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-COMPARE,ETB-2,Equation + Table,constructed/open response,,
134,U8-S1-ETB-03,Exit Ticket B,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-FEATURES,ETB-3,Equation,constructed/open response,,
135,U8-S1-ETB-04,Exit Ticket B,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",Review,S1-REV-MATCH,ETB-4,Table,constructed/open response,,
136,U8-S1-ETC-01,Exit Ticket C,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery/Portfolio,S1-MAS-COMPARE,ETC-1,Equation set,constructed/open response,,U8-MG04
137,U8-S1-ETC-02,Exit Ticket C,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery/Portfolio,S1-MAS-METHOD,ETC-2,Equation,constructed/open response,,U8-MG04
138,U8-S1-ETC-03,Exit Ticket C,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery/Portfolio,S1-MAS-COMPLETE,ETC-3,Equation,constructed/open response,,U8-MG04
139,U8-S1-ETC-04,Exit Ticket C,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",Mastery/Portfolio,S1-MAS-FORMULA,ETC-4,Equation,constructed/open response,,U8-MG04
140,U8-S2-WTC-001,WTC,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-WTC-TRANSFORM,WTC,Graph,constructed/open response,,
141,U8-S2-EX-01,Notes Example,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-RULE-QUAD,EX1,Equation,constructed/open response,,
142,U8-S2-YTI-01,Notes YTI,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-RULE-QUAD,YTI1,Equation,constructed/open response,,
143,U8-S2-EX-02,Notes Example,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-DESCRIBE-ABS,EX2,Equation,constructed/open response,,
144,U8-S2-YTI-02,Notes YTI,8.2,I can use key points and key features to graph transformations across multiple function families.,Intro,S2-DESCRIBE-ABS,YTI2,Equation,constructed/open response,,
145,U8-S2-EX-03,Notes Example,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-RULE-EXP,EX3,Equation,constructed/open response,,
146,U8-S2-YTI-03,Notes YTI,8.2,I can formulate a transformation description that connects parameter changes to key point shifts across function families.,Intro,S2-RULE-EXP,YTI3,Equation,constructed/open response,,
147,U8-S2-EX-04,Notes Example,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",Intro,S2-KEY-POINTS,EX4,Table,constructed/open response,,
